Season,Team ID,Team ABV,Team,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
2014,14,LAL,Los Angeles Lakers,Jodie Meeks,26.0,77.0,2556.0,0.46,0.51,0.4,0.55,0.86,0.6,0.29,0.45,102.0,105.0,111.0,111.0,113.0,111.0,102.0,175.0,94.1,121.3
2014,14,LAL,Los Angeles Lakers,Nick Young,28.0,64.0,1810.0,0.44,0.47,0.39,0.51,0.82,0.56,0.32,0.39,96.0,96.0,107.0,102.0,109.0,104.0,113.0,152.0,18.1,46.7
2014,14,LAL,Los Angeles Lakers,Pau Gasol,33.0,60.0,1884.0,0.48,0.48,0.29,0.48,0.74,0.52,0.29,0.02,106.0,99.0,79.0,96.0,97.0,97.0,101.0,6.0,-32.9,-37.2
2014,14,LAL,Los Angeles Lakers,Wesley Johnson,26.0,79.0,2240.0,0.42,0.47,0.37,0.5,0.79,0.52,0.12,0.42,94.0,96.0,103.0,100.0,105.0,97.0,42.0,160.0,1.6,-25.9
2014,14,LAL,Los Angeles Lakers,Jordan Hill,26.0,72.0,1500.0,0.55,0.55,0.0,0.55,0.68,0.58,0.35,0.0,121.0,113.0,,110.0,91.0,107.0,122.0,1.0,49.9,46.3
2014,14,LAL,Los Angeles Lakers,Ryan Kelly,22.0,59.0,1312.0,0.42,0.48,0.34,0.49,0.82,0.55,0.36,0.38,93.0,98.0,94.0,97.0,108.0,101.0,128.0,148.0,-9.8,6.4
2014,14,LAL,Los Angeles Lakers,Xavier Henry,22.0,43.0,908.0,0.42,0.44,0.35,0.46,0.66,0.51,0.51,0.24,92.0,90.0,96.0,91.0,87.0,94.0,181.0,90.0,-29.7,-25.4
2014,14,LAL,Los Angeles Lakers,Kendall Marshall,22.0,54.0,1564.0,0.41,0.41,0.4,0.49,0.53,0.49,0.09,0.42,89.0,84.0,111.0,98.0,70.0,91.0,30.0,164.0,-8.9,-40.4
2014,14,LAL,Los Angeles Lakers,Jordan Farmar,27.0,41.0,912.0,0.42,0.4,0.44,0.51,0.75,0.53,0.16,0.44,91.0,81.0,122.0,102.0,99.0,99.0,57.0,169.0,7.2,-5.8
2014,14,LAL,Los Angeles Lakers,Chris Kaman,31.0,39.0,736.0,0.51,0.51,0.0,0.51,0.76,0.54,0.2,0.01,112.0,105.0,,102.0,101.0,99.0,69.0,3.0,5.3,-2.6
2014,14,LAL,Los Angeles Lakers,Robert Sacre,24.0,65.0,1089.0,0.48,0.48,,0.48,0.68,0.51,0.31,0.0,105.0,98.0,,95.0,90.0,95.0,110.0,,-14.6,-19.3
2014,14,LAL,Los Angeles Lakers,Kent Bazemore,24.0,23.0,643.0,0.45,0.5,0.37,0.52,0.64,0.54,0.3,0.36,99.0,102.0,103.0,103.0,85.0,100.0,104.0,139.0,8.5,1.1
2014,14,LAL,Los Angeles Lakers,Steve Blake,33.0,27.0,891.0,0.38,0.35,0.4,0.49,0.8,0.52,0.15,0.56,83.0,72.0,110.0,98.0,106.0,95.0,53.0,217.0,-5.5,-12.7
2014,14,LAL,Los Angeles Lakers,Shawne Williams,27.0,36.0,751.0,0.38,0.49,0.33,0.49,0.7,0.5,0.1,0.67,84.0,101.0,91.0,98.0,93.0,93.0,37.0,259.0,-4.4,-15.2
2014,14,LAL,Los Angeles Lakers,MarShon Brooks,25.0,18.0,228.0,0.49,0.46,0.58,0.55,0.69,0.58,0.3,0.22,108.0,95.0,161.0,110.0,92.0,107.0,104.0,83.0,8.8,7.4
2014,14,LAL,Los Angeles Lakers,Steve Nash,39.0,15.0,313.0,0.38,0.4,0.33,0.43,0.92,0.49,0.26,0.26,84.0,82.0,93.0,85.0,121.0,90.0,90.0,98.0,-14.2,-11.1
2014,14,LAL,Los Angeles Lakers,Kobe Bryant,35.0,6.0,177.0,0.42,0.49,0.19,0.44,0.86,0.5,0.29,0.22,93.0,101.0,52.0,89.0,113.0,93.0,101.0,84.0,-8.2,-6.0
2014,14,LAL,Los Angeles Lakers,Manny Harris,24.0,9.0,180.0,0.4,0.42,0.35,0.45,0.83,0.48,0.17,0.29,88.0,86.0,97.0,90.0,110.0,90.0,60.0,110.0,-7.2,-8.4
2014,14,LAL,Los Angeles Lakers,Elias Harris,24.0,2.0,11.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,-1.0,-1.1
2014,14,LAL,Los Angeles Lakers,Team,,,,0.45,0.48,0.38,0.5,0.76,0.54,0.26,0.28,99.0,99.0,105.0,101.0,101.0,100.0,93.0,108.0,45.2,22.1
2014,14,LAL,Los Angeles Lakers,League Average,,,,0.45,0.49,0.36,0.5,0.76,0.54,0.28,0.26,,,,,,,,,,
