Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014,18,MIN,Minnesota Timberwolves,Kevin Love,25.0,77,77.0,2797,650,1421,0.46,190,505,0.38,460,916,0.5,0.52,520,633,0.82,224,739,963,341,59,35,196,136,2010,1779
2014,18,MIN,Minnesota Timberwolves,Ricky Rubio,23.0,82,82.0,2638,255,670,0.38,44,133,0.33,211,537,0.39,0.41,227,283,0.8,61,281,342,704,191,11,221,218,781,2522
2014,18,MIN,Minnesota Timberwolves,Corey Brewer,27.0,81,81.0,2609,388,807,0.48,59,211,0.28,329,596,0.55,0.52,163,227,0.72,63,144,207,135,151,30,105,210,998,342
2014,18,MIN,Minnesota Timberwolves,Kevin Martin,30.0,68,68.0,2177,440,1023,0.43,115,297,0.39,325,726,0.45,0.49,303,340,0.89,34,169,203,121,66,6,106,123,1298,1861
2014,18,MIN,Minnesota Timberwolves,Nikola Pekovic,28.0,54,54.0,1663,379,701,0.54,0,0,,379,701,0.54,0.54,186,249,0.75,206,262,468,50,30,23,84,129,944,2275
2014,18,MIN,Minnesota Timberwolves,Dante Cunningham,26.0,81,7.0,1635,236,509,0.46,0,5,0.0,236,504,0.47,0.46,38,67,0.57,112,218,330,83,62,58,42,146,510,646
2014,18,MIN,Minnesota Timberwolves,J.J. Barea,29.0,79,1.0,1471,254,656,0.39,73,231,0.32,181,425,0.43,0.44,79,100,0.79,16,138,154,303,26,0,125,129,660,163
2014,18,MIN,Minnesota Timberwolves,Gorgui Dieng,24.0,60,15.0,818,113,227,0.5,1,1,1.0,112,226,0.5,0.5,59,93,0.63,103,197,300,39,30,50,54,108,286,746
2014,18,MIN,Minnesota Timberwolves,Luc Mbah a Moute,27.0,55,2.0,807,72,161,0.45,3,14,0.21,69,147,0.47,0.46,37,54,0.68,47,72,119,21,21,9,36,50,184,1889
2014,18,MIN,Minnesota Timberwolves,Chase Budinger,25.0,41,8.0,751,100,254,0.39,42,120,0.35,58,134,0.43,0.48,32,39,0.82,19,84,103,31,19,2,24,58,274,416
2014,18,MIN,Minnesota Timberwolves,Alexey Shved,25.0,63,0.0,664,76,237,0.32,30,102,0.29,46,135,0.34,0.38,68,90,0.76,21,60,81,68,26,16,48,36,250,2621
2014,18,MIN,Minnesota Timberwolves,Robbie Hummel,24.0,53,5.0,655,67,177,0.38,32,89,0.36,35,88,0.4,0.47,15,16,0.94,35,97,132,23,16,2,10,57,181,1357
2014,18,MIN,Minnesota Timberwolves,Ronny Turiaf,31.0,31,10.0,606,64,107,0.6,0,0,,64,107,0.6,0.6,21,50,0.42,55,119,174,24,8,50,24,65,149,2919
2014,18,MIN,Minnesota Timberwolves,Shabazz Muhammad,21.0,37,0.0,290,57,124,0.46,3,11,0.27,54,113,0.48,0.47,26,40,0.65,24,29,53,6,8,1,16,24,143,2072
2014,18,MIN,Minnesota Timberwolves,Derrick Williams,22.0,11,0.0,162,19,54,0.35,2,15,0.13,17,39,0.44,0.37,14,16,0.88,3,23,26,1,4,4,6,9,54,3133
2014,18,MIN,Minnesota Timberwolves,A.J. Price,27.0,28,0.0,99,19,46,0.41,6,22,0.27,13,24,0.54,0.48,0,2,0.0,1,9,10,13,1,0,7,5,44,2358
2014,18,MIN,Minnesota Timberwolves,Othyus Jeffers,28.0,2,0.0,13,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,0,3,3,0,0,0,1,1,2,1439
