Season,Team ID,Team ABV,Team,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
2015,26,SAC,Sacramento Kings,Rudy Gay,28.0,68.0,2408.0,0.46,0.48,0.36,0.49,0.86,0.56,0.35,0.2,101.0,99.0,103.0,99.0,114.0,104.0,129.0,73.0,-11.8,55.0
2015,26,SAC,Sacramento Kings,DeMarcus Cousins,24.0,59.0,2013.0,0.47,0.47,0.25,0.47,0.78,0.55,0.51,0.01,104.0,97.0,71.0,94.0,104.0,102.0,186.0,3.0,-59.2,27.8
2015,26,SAC,Sacramento Kings,Ben McLemore,21.0,82.0,2670.0,0.44,0.51,0.36,0.52,0.81,0.55,0.19,0.47,97.0,104.0,102.0,105.0,108.0,103.0,70.0,175.0,41.9,33.0
2015,26,SAC,Sacramento Kings,Darren Collison,27.0,45.0,1565.0,0.47,0.51,0.37,0.53,0.79,0.57,0.34,0.29,105.0,106.0,106.0,106.0,105.0,108.0,122.0,109.0,34.5,50.9
2015,26,SAC,Sacramento Kings,Derrick Williams,23.0,74.0,1462.0,0.45,0.51,0.31,0.5,0.68,0.54,0.4,0.32,100.0,105.0,90.0,100.0,91.0,101.0,148.0,120.0,2.0,6.7
2015,26,SAC,Sacramento Kings,Omri Casspi,26.0,67.0,1416.0,0.49,0.51,0.4,0.53,0.73,0.58,0.45,0.2,109.0,105.0,115.0,107.0,98.0,109.0,164.0,76.0,29.5,47.0
2015,26,SAC,Sacramento Kings,Carl Landry,31.0,70.0,1192.0,0.52,0.52,,0.52,0.82,0.58,0.41,0.0,115.0,106.0,,104.0,109.0,108.0,149.0,,14.0,38.3
2015,26,SAC,Sacramento Kings,Ray McCallum,23.0,68.0,1436.0,0.44,0.48,0.31,0.47,0.68,0.5,0.18,0.24,98.0,99.0,88.0,96.0,90.0,93.0,65.0,88.0,-20.1,-38.6
2015,26,SAC,Sacramento Kings,Jason Thompson,28.0,81.0,1991.0,0.47,0.47,0.0,0.47,0.62,0.5,0.33,0.0,105.0,97.0,,95.0,83.0,94.0,122.0,1.0,-22.5,-33.5
2015,26,SAC,Sacramento Kings,Nik Stauskas,21.0,73.0,1127.0,0.36,0.41,0.32,0.45,0.86,0.49,0.22,0.5,81.0,84.0,92.0,90.0,115.0,92.0,79.0,188.0,-29.6,-27.3
2015,26,SAC,Sacramento Kings,Ramon Sessions,28.0,36.0,642.0,0.34,0.37,0.21,0.36,0.73,0.44,0.48,0.15,77.0,76.0,61.0,73.0,97.0,83.0,176.0,57.0,-49.5,-40.9
2015,26,SAC,Sacramento Kings,Reggie Evans,34.0,47.0,764.0,0.42,0.43,0.0,0.42,0.62,0.49,0.71,0.02,94.0,89.0,,85.0,82.0,92.0,259.0,5.0,-19.9,-16.0
2015,26,SAC,Sacramento Kings,Andre Miller,38.0,30.0,622.0,0.46,0.51,0.23,0.48,0.79,0.52,0.26,0.18,102.0,105.0,66.0,97.0,105.0,98.0,94.0,65.0,-4.8,-4.0
2015,26,SAC,Sacramento Kings,Ryan Hollins,30.0,46.0,441.0,0.65,0.65,,0.65,0.57,0.65,0.66,0.0,144.0,133.0,,130.0,77.0,121.0,241.0,,24.7,24.0
2015,26,SAC,Sacramento Kings,Quincy Miller,22.0,6.0,61.0,0.22,0.27,0.14,0.25,0.73,0.37,0.61,0.39,50.0,56.0,41.0,50.0,97.0,70.0,224.0,145.0,-8.9,-7.4
2015,26,SAC,Sacramento Kings,David Stockton,23.0,3.0,33.0,0.33,0.25,0.5,0.42,0.5,0.46,1.0,0.33,74.0,52.0,143.0,84.0,67.0,87.0,366.0,124.0,-1.0,-1.2
2015,26,SAC,Sacramento Kings,Sim Bhullar,22.0,3.0,3.0,0.5,0.5,,0.5,,0.5,0.0,0.0,111.0,103.0,,101.0,,94.0,,,0.0,-0.1
2015,26,SAC,Sacramento Kings,Eric Moreland,23.0,3.0,2.0,1.0,1.0,,1.0,,1.0,0.0,0.0,223.0,206.0,,202.0,,187.0,,,1.0,0.9
2015,26,SAC,Sacramento Kings,David Wear,24.0,2.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,,,,,,,,186.0,-2.0,-2.1
2015,26,SAC,Sacramento Kings,Team,,,,0.46,0.49,0.35,0.49,0.76,0.55,0.36,0.21,102.0,100.0,99.0,100.0,102.0,102.0,132.0,77.0,-18.3,164.9
2015,26,SAC,Sacramento Kings,League Average,,,,0.45,0.48,0.35,0.5,0.75,0.53,0.27,0.27,,,,,,,,,,
