Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,7,DAL,Dallas Mavericks,Wesley Matthews,29,78,78,33.9,4.2,10.9,0.39,2.4,6.7,0.36,1.8,4.2,0.43,0.5,1.6,1.9,0.86,0.3,2.7,3.1,1.9,1.0,0.2,1.0,2.3,12.5,1874
2016,7,DAL,Dallas Mavericks,Deron Williams,31,65,63,32.4,4.9,11.9,0.41,1.5,4.3,0.34,3.4,7.6,0.45,0.48,2.8,3.2,0.87,0.3,2.6,2.9,5.8,0.9,0.2,2.3,2.4,14.1,3132
2016,7,DAL,Dallas Mavericks,Dirk Nowitzki,37,75,75,31.5,6.6,14.8,0.45,1.7,4.6,0.37,5.0,10.3,0.48,0.5,3.3,3.7,0.89,0.7,5.8,6.5,1.8,0.7,0.7,1.1,2.1,18.3,2161
2016,7,DAL,Dallas Mavericks,Chandler Parsons,27,61,51,29.5,5.2,10.7,0.49,1.7,4.1,0.41,3.5,6.6,0.54,0.57,1.5,2.2,0.68,0.5,4.2,4.7,2.8,0.8,0.3,1.6,1.9,13.7,2250
2016,7,DAL,Dallas Mavericks,Raymond Felton,31,80,31,27.4,3.5,8.5,0.41,0.8,2.7,0.28,2.7,5.9,0.46,0.45,1.9,2.2,0.85,0.5,2.8,3.2,3.6,0.9,0.2,1.5,1.8,9.5,903
2016,7,DAL,Dallas Mavericks,Zaza Pachulia,31,76,69,26.4,2.9,6.2,0.47,0.0,0.0,0.0,2.9,6.1,0.47,0.47,2.8,3.6,0.77,3.3,6.2,9.4,1.7,0.8,0.3,1.6,2.4,8.6,2231
2016,7,DAL,Dallas Mavericks,J.J. Barea,31,74,16,22.5,4.3,9.6,0.45,1.4,3.5,0.38,2.9,6.1,0.48,0.52,1.0,1.3,0.77,0.4,1.7,2.1,4.1,0.4,0.0,1.5,1.5,10.9,163
2016,7,DAL,Dallas Mavericks,Devin Harris,32,64,0,20.0,2.6,5.8,0.45,0.8,2.5,0.33,1.8,3.4,0.53,0.52,1.6,2.2,0.72,0.3,1.9,2.2,1.8,0.9,0.2,1.0,1.9,7.6,1199
2016,7,DAL,Dallas Mavericks,David Lee,32,25,1,17.3,3.6,5.7,0.64,0.0,0.0,,3.6,5.7,0.64,0.64,1.2,1.7,0.74,2.4,4.6,7.0,1.2,0.4,0.6,1.1,2.5,8.5,1720
2016,7,DAL,Dallas Mavericks,Dwight Powell,24,69,2,14.4,2.1,4.3,0.49,0.0,0.2,0.12,2.1,4.1,0.51,0.5,1.5,2.1,0.74,1.2,2.7,4.0,0.6,0.5,0.3,0.6,1.7,5.8,2348
2016,7,DAL,Dallas Mavericks,Justin Anderson,22,55,9,11.8,1.3,3.2,0.41,0.4,1.5,0.26,0.9,1.7,0.53,0.47,0.8,1.0,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8,76
2016,7,DAL,Dallas Mavericks,Salah Mejri,29,34,6,11.7,1.4,2.3,0.63,0.0,0.0,0.0,1.4,2.3,0.64,0.63,0.8,1.4,0.59,1.2,2.4,3.6,0.3,0.2,1.1,0.7,1.6,3.7,1964
2016,7,DAL,Dallas Mavericks,JaVale McGee,28,34,2,10.9,2.3,3.9,0.57,0.0,0.0,0.0,2.3,3.9,0.58,0.57,0.5,1.1,0.5,1.6,2.4,3.9,0.1,0.1,0.8,0.6,1.4,5.1,1930
2016,7,DAL,Dallas Mavericks,Charlie Villanueva,31,62,4,10.7,2.0,5.3,0.38,0.8,2.8,0.27,1.3,2.5,0.5,0.45,0.4,0.4,0.92,0.4,2.1,2.5,0.4,0.3,0.2,0.5,1.1,5.1,2970
2016,7,DAL,Dallas Mavericks,John Jenkins,24,21,1,9.2,1.4,3.3,0.41,0.1,0.9,0.16,1.2,2.4,0.51,0.44,0.4,0.4,0.89,0.2,0.9,1.0,0.4,0.1,0.0,0.5,0.5,3.3,1449
2016,7,DAL,Dallas Mavericks,Jeremy Evans,28,30,2,8.4,0.9,1.6,0.54,0.1,0.5,0.25,0.7,1.1,0.69,0.58,0.5,0.7,0.71,0.4,1.4,1.8,0.1,0.2,0.3,0.2,0.6,2.4,877
