Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017,11,369,HOU,Houston Rockets,Bobby Brown,32,25,0,123,6.7,17.6,0.38,4.1,10.2,0.4,2.6,7.3,0.36,0.6,0.6,1.0,0.0,1.8,1.8,4.1,0.3,0.0,1.5,1.5,18.1
2017,11,2210,HOU,Houston Rockets,Chinanu Onuaku,20,5,1,52,3.5,4.8,0.71,0.0,0.0,,3.5,4.8,0.71,2.8,2.8,1.0,1.4,5.5,6.9,2.1,2.1,0.7,2.8,4.2,9.7
2017,11,467,HOU,Houston Rockets,Clint Capela,22,65,59,1551,8.4,13.1,0.64,0.0,0.0,,8.4,13.1,0.64,2.2,4.1,0.53,4.1,8.1,12.2,1.5,0.8,1.8,2.0,4.2,19.0
2017,11,342,HOU,Houston Rockets,Corey Brewer,30,58,8,923,3.7,8.9,0.41,0.9,3.7,0.23,2.8,5.2,0.54,1.2,1.7,0.73,0.8,3.6,4.4,2.4,1.4,0.5,1.4,4.1,9.4
2017,11,1063,HOU,Houston Rockets,Eric Gordon,28,75,15,2323,6.4,15.7,0.41,3.8,10.2,0.37,2.6,5.5,0.47,2.3,2.7,0.84,0.4,2.7,3.1,2.9,0.7,0.6,1.9,2.3,18.9
2017,11,2811,HOU,Houston Rockets,Isaiah Taylor,22,4,0,52,0.7,4.8,0.14,0.0,1.4,0.0,0.7,3.5,0.2,0.7,1.4,0.5,0.7,1.4,2.1,2.1,0.7,0.7,0.0,4.2,2.1
2017,11,1182,HOU,Houston Rockets,James Harden,27,81,81,2947,8.2,18.7,0.44,3.2,9.2,0.35,5.0,9.5,0.53,9.1,10.8,0.85,1.2,6.9,8.1,11.1,1.5,0.5,5.7,2.6,28.8
2017,11,1920,HOU,Houston Rockets,K.J. McDaniels,23,29,0,212,5.3,11.5,0.46,1.5,4.6,0.33,3.7,7.0,0.54,1.5,1.7,0.9,1.0,4.1,5.1,0.7,1.2,1.4,1.7,4.1,13.6
2017,11,3201,HOU,Houston Rockets,Kyle Wiltjer,24,14,0,44,3.3,11.5,0.29,3.3,10.6,0.31,0.0,0.8,0.0,0.8,1.6,0.5,3.3,4.9,8.2,1.6,2.5,0.8,4.1,3.3,10.6
2017,11,3157,HOU,Houston Rockets,Lou Williams,30,23,0,591,6.2,16.1,0.39,2.5,7.9,0.32,3.7,8.2,0.45,6.0,6.9,0.87,0.7,3.5,4.3,3.4,0.9,0.5,2.4,1.5,20.9
2017,11,1193,HOU,Houston Rockets,Montrezl Harrell,23,58,14,1064,7.6,11.7,0.65,0.0,0.2,0.14,7.6,11.4,0.66,2.6,4.1,0.63,2.7,4.7,7.4,2.2,0.7,1.4,1.5,4.3,17.8
2017,11,1286,HOU,Houston Rockets,Nene Hilario,34,67,8,1198,7.4,11.9,0.62,0.1,0.3,0.33,7.3,11.7,0.62,3.5,5.9,0.59,2.9,5.6,8.5,2.0,1.7,1.2,2.2,4.9,18.3
2017,11,235,HOU,Houston Rockets,Patrick Beverley,28,67,67,2058,4.0,9.5,0.42,1.9,5.0,0.38,2.1,4.5,0.46,1.3,1.7,0.77,1.7,5.2,6.9,4.9,1.7,0.4,1.7,3.9,11.2
2017,11,83,HOU,Houston Rockets,Ryan Anderson,28,72,72,2116,5.5,13.2,0.42,3.5,8.6,0.4,2.0,4.5,0.45,2.2,2.6,0.86,1.9,3.7,5.6,1.2,0.5,0.2,0.9,2.4,16.7
2017,11,720,HOU,Houston Rockets,Sam Dekker,22,77,2,1419,5.2,10.9,0.47,1.5,4.7,0.32,3.6,6.1,0.59,1.0,1.7,0.56,2.4,4.8,7.2,1.9,1.0,0.5,1.0,2.1,12.8
2017,11,105,HOU,Houston Rockets,Trevor Ariza,31,80,80,2773,4.2,10.4,0.41,2.5,7.2,0.34,1.8,3.2,0.56,1.2,1.6,0.74,0.7,5.2,5.9,2.3,1.9,0.3,0.9,1.7,12.2
2017,11,3183,HOU,Houston Rockets,Troy Williams,22,6,3,139,5.7,11.4,0.5,2.1,5.4,0.38,3.6,6.0,0.61,1.6,1.8,0.86,2.3,3.9,6.2,1.6,0.8,0.3,1.6,4.7,15.0
2017,11,867,HOU,Houston Rockets,Tyler Ennis,22,31,0,196,4.6,11.8,0.39,1.1,2.9,0.38,3.5,8.8,0.4,0.4,0.6,0.67,0.7,2.8,3.5,6.2,1.1,0.0,4.4,5.3,10.7
