Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
2017,22,ORL,Orlando Magic,Elfrid Payton,22,82,58,2412,8.8,18.7,0.47,0.8,3.0,0.27,8.0,15.7,0.51,3.0,4.3,0.69,1.8,6.1,8.0,10.9,1.8,0.8,3.7,3.6,21.5,107,111,2269
2017,22,ORL,Orlando Magic,Aaron Gordon,21,80,72,2298,8.5,18.7,0.45,1.7,5.8,0.29,6.8,12.9,0.53,3.4,4.7,0.72,2.5,6.2,8.7,3.2,1.4,0.9,1.9,3.7,22.0,107,111,1060
2017,22,ORL,Orlando Magic,Evan Fournier,24,68,66,2234,9.1,20.6,0.44,2.8,8.0,0.36,6.2,12.6,0.49,4.9,6.1,0.8,1.0,3.7,4.6,4.5,1.5,0.1,3.1,4.0,25.9,106,114,948
2017,22,ORL,Orlando Magic,Nikola Vucevic,26,75,55,2163,11.1,23.6,0.47,0.5,1.7,0.31,10.5,21.9,0.48,2.5,3.7,0.67,4.0,13.8,17.9,4.8,1.7,1.7,2.7,4.1,25.1,103,105,2985
2017,22,ORL,Orlando Magic,Bismack Biyombo,24,81,27,1793,4.9,9.4,0.53,0.0,0.0,,4.9,9.4,0.53,3.5,6.5,0.53,4.3,11.3,15.7,2.0,0.7,2.5,2.6,5.6,13.4,106,108,249
2017,22,ORL,Orlando Magic,Serge Ibaka,27,56,56,1710,9.9,20.4,0.49,2.4,6.2,0.39,7.5,14.2,0.53,2.2,2.6,0.85,2.9,8.2,11.1,1.7,1.0,2.6,1.9,4.0,24.5,111,109,1375
2017,22,ORL,Orlando Magic,D.J. Augustin,29,78,20,1538,6.3,16.7,0.38,3.1,8.8,0.35,3.2,7.8,0.41,4.2,5.2,0.81,0.5,3.3,3.8,6.7,1.0,0.0,2.9,3.3,19.9,104,115,119
2017,22,ORL,Orlando Magic,Jeff Green,30,69,11,1534,7.1,18.0,0.39,1.7,6.2,0.28,5.4,11.8,0.46,4.7,5.4,0.86,1.3,5.7,6.9,2.6,1.2,0.4,2.4,3.3,20.6,99,113,1106
2017,22,ORL,Orlando Magic,C.J. Watson,32,62,9,1012,4.7,12.1,0.39,1.6,5.1,0.3,3.1,7.0,0.45,2.8,3.2,0.86,0.8,3.6,4.4,5.6,2.1,0.1,2.3,4.1,13.8,103,112,3040
2017,22,ORL,Orlando Magic,Mario Hezonja,21,65,2,960,6.0,17.0,0.36,2.2,7.4,0.3,3.8,9.6,0.4,2.1,2.6,0.8,1.0,6.5,7.5,3.2,1.5,0.8,3.0,3.8,16.4,87,111,1274
2017,22,ORL,Orlando Magic,Terrence Ross,25,24,24,748,7.6,17.7,0.43,3.0,8.9,0.34,4.6,8.7,0.52,1.5,1.8,0.85,0.3,4.2,4.5,2.8,2.3,0.9,2.3,4.0,19.8,99,110,2510
2017,22,ORL,Orlando Magic,Jodie Meeks,29,36,10,738,6.9,17.2,0.4,3.8,9.2,0.41,3.2,8.0,0.4,4.4,5.0,0.88,0.3,4.8,5.2,3.0,2.3,0.3,2.4,2.8,22.0,107,111,1962
2017,22,ORL,Orlando Magic,Damjan Rudez,30,45,0,314,4.9,13.9,0.35,3.2,10.1,0.31,1.7,3.8,0.46,0.0,0.0,,0.8,3.2,3.9,3.2,1.9,0.2,1.4,4.9,12.9,95,113,2525
2017,22,ORL,Orlando Magic,C.J. Wilcox,26,22,0,108,3.7,14.2,0.26,1.4,6.9,0.2,2.3,7.3,0.31,0.9,0.9,1.0,1.8,3.7,5.5,5.5,0.9,0.5,2.8,3.7,9.6,77,114,3110
2017,22,ORL,Orlando Magic,Stephen Zimmerman,20,19,0,108,4.6,14.2,0.32,0.0,0.0,,4.6,14.2,0.32,1.4,2.3,0.6,5.0,11.0,16.1,1.8,0.9,2.3,1.4,7.8,10.6,86,108,3274
2017,22,ORL,Orlando Magic,Marcus Georges-Hunt,22,5,0,48,2.1,7.2,0.29,1.0,2.1,0.5,1.0,5.2,0.2,9.3,10.3,0.9,1.0,8.3,9.3,3.1,1.0,0.0,2.1,5.2,14.5,121,112,1021
2017,22,ORL,Orlando Magic,Patricio Garino,23,5,0,43,0.0,8.1,0.0,0.0,5.8,0.0,0.0,2.3,0.0,0.0,0.0,,1.2,6.9,8.1,0.0,0.0,0.0,3.5,4.6,0.0,8,115,991
2017,22,ORL,Orlando Magic,Arinze Onuaku,29,8,0,28,3.5,7.1,0.5,0.0,0.0,,3.5,7.1,0.5,0.0,0.0,,3.5,7.1,10.6,3.5,0.0,1.8,3.5,5.3,7.1,90,113,2209
2017,22,ORL,Orlando Magic,Anthony Brown,24,2,0,16,12.4,27.9,0.44,3.1,9.3,0.33,9.3,18.6,0.5,0.0,0.0,,6.2,15.5,21.7,6.2,0.0,0.0,3.1,6.2,27.9,104,110,368
