SEASON,TEAM ID,TEAM,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
2018,9,DET,Andre Drummond,24.0,78.0,2625.0,0.53,0.54,0.0,0.53,0.6,0.56,0.45,0.01,115.0,105.0,,101.0,79.0,100.0,178.0,4.0,13.7,-2.2
2018,9,DET,Ish Smith,29.0,82.0,2043.0,0.49,0.51,0.35,0.51,0.7,0.52,0.14,0.13,106.0,99.0,96.0,97.0,91.0,94.0,57.0,37.0,-21.9,-53.7
2018,9,DET,Tobias Harris,25.0,48.0,1563.0,0.45,0.48,0.41,0.53,0.85,0.56,0.19,0.39,98.0,94.0,113.0,102.0,110.0,101.0,76.0,116.0,14.0,12.8
2018,9,DET,Anthony Tolliver,32.0,79.0,1757.0,0.46,0.56,0.44,0.63,0.8,0.66,0.28,0.77,101.0,110.0,120.0,121.0,104.0,119.0,112.0,229.0,105.0,112.9
2018,9,DET,Reggie Bullock,26.0,62.0,1732.0,0.49,0.54,0.44,0.6,0.8,0.62,0.09,0.52,106.0,105.0,123.0,116.0,104.0,111.0,36.0,153.0,89.9,66.7
2018,9,DET,Reggie Jackson,27.0,45.0,1201.0,0.43,0.48,0.31,0.47,0.84,0.52,0.23,0.29,93.0,93.0,85.0,90.0,109.0,93.0,92.0,87.0,-57.4,-51.4
2018,9,DET,Avery Bradley,27.0,40.0,1268.0,0.41,0.42,0.38,0.47,0.76,0.5,0.14,0.34,89.0,83.0,105.0,91.0,99.0,89.0,56.0,101.0,-54.1,-72.2
2018,9,DET,Stanley Johnson,21.0,69.0,1894.0,0.38,0.44,0.29,0.44,0.77,0.48,0.26,0.42,81.0,86.0,79.0,83.0,101.0,86.0,103.0,124.0,-96.7,-94.8
2018,9,DET,Luke Kennard,21.0,73.0,1463.0,0.44,0.46,0.42,0.53,0.86,0.56,0.16,0.42,96.0,91.0,115.0,102.0,112.0,101.0,65.0,124.0,8.3,3.6
2018,9,DET,Blake Griffin,28.0,25.0,831.0,0.43,0.47,0.35,0.49,0.78,0.53,0.27,0.32,94.0,93.0,96.0,94.0,102.0,96.0,105.0,96.0,-26.7,-23.3
2018,9,DET,Langston Galloway,26.0,58.0,863.0,0.37,0.42,0.34,0.48,0.8,0.5,0.12,0.64,81.0,82.0,95.0,92.0,105.0,90.0,48.0,190.0,-27.4,-38.2
2018,9,DET,Dwight Buycks,28.0,29.0,427.0,0.41,0.44,0.33,0.45,0.88,0.5,0.21,0.23,90.0,86.0,92.0,87.0,114.0,89.0,82.0,67.0,-27.4,-25.3
2018,9,DET,James Ennis,27.0,27.0,551.0,0.46,0.57,0.3,0.52,0.77,0.56,0.26,0.43,99.0,112.0,84.0,100.0,100.0,100.0,105.0,126.0,0.1,0.8
2018,9,DET,Henry Ellenson,21.0,38.0,329.0,0.36,0.38,0.33,0.43,0.86,0.48,0.2,0.41,79.0,75.0,92.0,83.0,112.0,86.0,79.0,122.0,-26.2,-25.6
2018,9,DET,Eric Moreland,26.0,67.0,805.0,0.54,0.54,,0.54,0.38,0.53,0.24,0.0,118.0,106.0,,104.0,49.0,95.0,94.0,,4.8,-6.9
2018,9,DET,Boban Marjanovic,29.0,19.0,171.0,0.52,0.52,,0.52,0.8,0.6,0.57,0.0,113.0,102.0,,100.0,104.0,107.0,226.0,,-0.3,8.1
2018,9,DET,Jon Leuer,28.0,8.0,136.0,0.42,0.46,0.0,0.42,0.87,0.5,0.42,0.08,91.0,89.0,,80.0,113.0,91.0,165.0,25.0,-7.5,-4.4
2018,9,DET,Jameer Nelson,35.0,7.0,116.0,0.28,0.4,0.07,0.3,1.0,0.32,0.08,0.36,61.0,78.0,20.0,57.0,130.0,58.0,31.0,107.0,-17.7,-18.8
2018,9,DET,Reggie Hearn,26.0,3.0,7.0,0.5,,0.5,0.75,,0.75,0.0,1.0,109.0,,138.0,144.0,,135.0,,297.0,0.9,0.8
2018,9,DET,Kay Felder,22.0,2.0,6.0,0.25,0.33,0.0,0.25,,0.25,0.0,0.25,54.0,65.0,,48.0,,45.0,,74.0,-2.2,-2.4
2018,9,DET,Willie Reed,27.0,3.0,9.0,1.0,1.0,,1.0,,1.0,0.0,0.0,217.0,196.0,,192.0,,180.0,,,1.0,0.9
2018,9,DET,Luis Montero,24.0,2.0,8.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,-1.0,-1.1
2018,9,DET,Team,,,,0.46,0.5,0.37,0.52,0.72,0.55,0.23,0.33,99.0,97.0,103.0,99.0,94.0,98.0,93.0,97.0,-43.0,-119.7
2018,9,DET,League Average,,,,0.46,0.51,0.36,0.52,0.77,0.56,0.25,0.34,,,,,,,,,,
