Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018,14,LAL,Los Angeles Lakers,Lonzo Ball,20,52,50,34.2,3.9,10.8,0.36,1.7,5.7,0.3,2.2,5.2,0.42,0.44,0.6,1.4,0.45,1.3,5.6,6.9,7.2,1.7,0.8,2.6,2.3,10.2,153
2018,14,LAL,Los Angeles Lakers,Brandon Ingram,20,59,59,33.5,6.1,12.9,0.47,0.7,1.8,0.39,5.4,11.1,0.48,0.5,3.3,4.8,0.68,1.0,4.4,5.3,3.9,0.8,0.7,2.5,2.8,16.1,1384
2018,14,LAL,Los Angeles Lakers,Kentavious Caldwell-Pope,24,74,74,33.2,4.6,10.8,0.43,2.1,5.6,0.38,2.4,5.2,0.47,0.53,2.1,2.6,0.79,0.8,4.4,5.2,2.2,1.4,0.2,1.3,2.0,13.4,455
2018,14,LAL,Los Angeles Lakers,Andre Ingram,32,2,0,32.0,4.0,8.5,0.47,2.5,4.5,0.56,1.5,4.0,0.38,0.62,1.5,1.5,1.0,0.5,2.5,3.0,3.5,1.5,1.5,1.5,1.5,12.0,1383
2018,14,LAL,Los Angeles Lakers,Kyle Kuzma,22,77,37,31.2,6.1,13.5,0.45,2.1,5.6,0.37,4.0,7.9,0.51,0.53,1.9,2.7,0.71,1.1,5.1,6.3,1.8,0.6,0.4,1.8,2.1,16.1,1667
2018,14,LAL,Los Angeles Lakers,Isaiah Thomas,28,17,1,26.8,5.1,13.4,0.38,1.9,5.9,0.33,3.2,7.4,0.43,0.46,3.4,3.7,0.92,0.6,1.5,2.1,5.0,0.4,0.1,3.2,1.9,15.6,2846
2018,14,LAL,Los Angeles Lakers,Julius Randle,23,82,49,26.7,6.1,11.0,0.56,0.1,0.5,0.22,6.0,10.5,0.57,0.56,3.7,5.2,0.72,2.2,5.8,8.0,2.6,0.5,0.5,2.6,3.3,16.1,2392
2018,14,LAL,Los Angeles Lakers,Jordan Clarkson,25,53,2,23.7,5.6,12.6,0.45,1.3,4.0,0.32,4.4,8.6,0.5,0.5,2.0,2.5,0.8,0.8,2.2,3.0,3.3,0.7,0.1,1.8,1.2,14.5,546
2018,14,LAL,Los Angeles Lakers,Brook Lopez,29,74,72,23.4,5.0,10.7,0.46,1.5,4.4,0.34,3.5,6.3,0.55,0.54,1.5,2.1,0.7,1.0,3.0,4.0,1.7,0.4,1.3,1.3,2.6,13.0,1774
2018,14,LAL,Los Angeles Lakers,Josh Hart,22,63,23,23.2,2.8,6.0,0.47,1.2,3.1,0.4,1.6,2.8,0.55,0.57,1.0,1.5,0.7,0.7,3.5,4.2,1.3,0.7,0.3,0.7,1.7,7.9,1216
2018,14,LAL,Los Angeles Lakers,Channing Frye,34,9,0,16.7,2.2,4.8,0.46,1.0,2.8,0.36,1.2,2.0,0.61,0.57,0.3,0.4,0.75,0.2,2.6,2.8,1.1,0.1,0.1,0.4,1.7,5.8,967
2018,14,LAL,Los Angeles Lakers,Alex Caruso,23,37,7,15.2,1.4,3.1,0.43,0.4,1.2,0.3,1.0,2.0,0.51,0.49,0.6,0.8,0.7,0.4,1.4,1.8,2.0,0.6,0.3,1.1,1.4,3.6,496
2018,14,LAL,Los Angeles Lakers,Travis Wear,27,17,0,13.4,1.5,4.2,0.35,1.0,2.8,0.36,0.5,1.5,0.32,0.46,0.5,0.5,1.0,0.0,2.2,2.2,0.4,0.2,0.3,0.4,1.8,4.4,3046
