Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018,20,0,NYK,New York Knicks,Courtney Lee,32,76,69,30.4,4.5,9.9,0.45,1.5,3.7,0.41,3.0,6.3,0.48,0.53,1.5,1.6,0.92,0.4,2.6,2.9,2.4,1.1,0.2,1.1,1.4,12.0
2018,20,0,NYK,New York Knicks,Damyean Dotson,23,44,2,10.8,1.6,3.7,0.45,0.5,1.5,0.32,1.1,2.1,0.54,0.52,0.4,0.5,0.7,0.2,1.7,1.9,0.7,0.3,0.0,0.4,0.8,4.1
2018,20,0,NYK,New York Knicks,Doug McDermott,26,55,1,21.3,2.7,6.0,0.46,1.0,2.5,0.39,1.8,3.5,0.51,0.54,0.7,1.0,0.76,0.6,1.8,2.4,0.9,0.2,0.2,0.6,1.3,7.2
2018,20,0,NYK,New York Knicks,Emmanuel Mudiay,21,22,14,22.4,3.4,9.3,0.37,0.4,2.1,0.2,3.0,7.2,0.42,0.39,1.6,2.3,0.69,0.5,2.2,2.6,3.9,0.9,0.3,1.9,1.5,8.8
2018,20,0,NYK,New York Knicks,Enes Kanter,25,71,71,25.8,5.9,10.0,0.59,0.0,0.0,0.0,5.9,10.0,0.59,0.59,2.2,2.6,0.85,3.8,7.1,11.0,1.5,0.5,0.5,1.7,2.6,14.1
2018,20,0,NYK,New York Knicks,Frank Ntilikina,19,78,9,21.9,2.3,6.4,0.36,0.6,2.0,0.32,1.7,4.4,0.38,0.41,0.6,0.9,0.72,0.5,1.8,2.3,3.2,0.8,0.2,1.7,2.3,5.9
2018,20,0,NYK,New York Knicks,Isaiah Hicks,23,18,0,13.3,1.8,4.0,0.46,0.1,0.5,0.22,1.7,3.5,0.49,0.47,0.7,1.0,0.67,0.6,1.7,2.3,0.9,0.1,0.2,0.9,2.5,4.4
2018,20,0,NYK,New York Knicks,Jarrett Jack,34,62,56,25.0,3.0,7.1,0.43,0.4,1.4,0.29,2.6,5.8,0.46,0.46,1.0,1.2,0.84,0.4,2.7,3.1,5.6,0.6,0.1,1.9,1.6,7.5
2018,20,0,NYK,New York Knicks,Joakim Noah,32,7,0,5.7,0.7,1.4,0.5,0.0,0.0,,0.7,1.4,0.5,0.5,0.3,0.6,0.5,0.9,1.1,2.0,0.6,0.3,0.3,0.6,0.7,1.7
2018,20,0,NYK,New York Knicks,Kristaps Porzingis,22,48,48,32.4,8.1,18.5,0.44,1.9,4.8,0.4,6.3,13.8,0.45,0.49,4.5,5.7,0.79,1.3,5.3,6.6,1.2,0.8,2.4,1.9,2.9,22.7
2018,20,0,NYK,New York Knicks,Kyle O'Quinn,27,77,10,18.0,2.9,5.0,0.58,0.1,0.2,0.24,2.9,4.8,0.6,0.59,1.3,1.6,0.77,1.6,4.5,6.1,2.1,0.5,1.3,1.3,2.5,7.1
2018,20,0,NYK,New York Knicks,Lance Thomas,29,73,31,18.5,1.4,3.7,0.38,0.7,1.7,0.4,0.7,2.0,0.36,0.48,0.6,0.7,0.83,0.6,1.8,2.4,0.6,0.4,0.2,0.5,1.8,4.1
2018,20,0,NYK,New York Knicks,Luke Kornet,22,20,1,16.3,2.5,6.3,0.39,1.4,4.0,0.35,1.1,2.3,0.46,0.5,0.4,0.6,0.73,0.6,2.7,3.2,1.3,0.3,0.8,0.6,1.4,6.7
2018,20,0,NYK,New York Knicks,Michael Beasley,29,74,30,22.3,5.5,10.9,0.51,0.5,1.2,0.4,5.1,9.7,0.52,0.53,1.7,2.1,0.78,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2.0,13.2
2018,20,0,NYK,New York Knicks,Mindaugas Kuzminskas,28,1,0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,20,0,NYK,New York Knicks,Ramon Sessions,31,13,3,12.8,1.3,4.1,0.32,0.2,0.8,0.18,1.2,3.2,0.36,0.34,0.9,1.2,0.8,0.1,1.3,1.4,2.1,0.5,0.1,1.2,1.1,3.7
2018,20,0,NYK,New York Knicks,Ron Baker,24,29,1,13.3,0.7,2.0,0.34,0.4,1.1,0.33,0.3,0.9,0.35,0.43,0.7,0.9,0.77,0.2,0.9,1.0,1.6,0.9,0.2,0.6,1.1,2.4
2018,20,1181,NYK,New York Knicks,Tim Hardaway Jr.,25,57,54,33.1,6.3,15.0,0.42,2.3,7.2,0.32,4.0,7.8,0.52,0.5,2.6,3.1,0.82,0.6,3.4,3.9,2.7,1.1,0.2,1.6,2.2,17.5
2018,20,0,NYK,New York Knicks,Trey Burke,25,36,9,21.8,5.4,10.7,0.5,1.1,2.9,0.36,4.3,7.8,0.56,0.55,1.0,1.6,0.65,0.4,1.6,2.0,4.7,0.7,0.1,1.2,1.2,12.8
2018,20,0,NYK,New York Knicks,Troy Williams,23,17,1,17.1,2.9,5.9,0.49,0.6,1.9,0.33,2.2,3.9,0.57,0.55,1.1,1.6,0.7,1.2,2.2,3.5,0.9,1.1,0.2,1.1,1.9,7.5
2018,20,0,NYK,New York Knicks,Willy Hernangomez,23,26,0,9.0,1.9,3.1,0.6,0.0,0.2,0.2,1.8,2.9,0.63,0.61,0.5,1.1,0.43,0.8,1.7,2.6,0.8,0.3,0.3,1.0,1.2,4.3
