Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018,17,1450,MIL,Milwaukee Bucks,Brandon Jennings,28.0,14,0.0,205,27,72,0.38,9,33,0.27,18,39,0.46,0.44,10,10,1.0,5,26,31,44,6,4,18,11,73
2018,17,3193,MIL,Milwaukee Bucks,D.J. Wilson,21.0,22,0.0,71,9,16,0.56,2,5,0.4,7,11,0.64,0.62,1,2,0.5,2,8,10,3,3,1,4,7,21
2018,17,1751,MIL,Milwaukee Bucks,DeAndre Liggins,29.0,31,1.0,480,22,65,0.34,11,36,0.31,11,29,0.38,0.42,2,5,0.4,5,44,49,27,27,10,13,61,57
2018,17,267,MIL,Milwaukee Bucks,Eric Bledsoe,28.0,71,71.0,2239,452,949,0.48,121,347,0.35,331,602,0.55,0.54,241,303,0.8,48,229,277,361,145,40,206,179,1266
2018,17,2271,MIL,Milwaukee Bucks,Gary Payton II,25.0,12,6.0,106,13,33,0.39,2,12,0.17,11,21,0.52,0.42,2,3,0.67,4,13,17,9,3,1,3,17,30
2018,17,90,MIL,Milwaukee Bucks,Giannis Antetokounmpo,23.0,75,75.0,2756,742,1402,0.53,43,140,0.31,699,1262,0.55,0.55,487,641,0.76,156,597,753,361,109,106,223,231,2014
2018,17,2029,MIL,Milwaukee Bucks,Greg Monroe,27.0,5,0.0,79,16,33,0.48,0,0,,16,33,0.48,0.48,2,4,0.5,6,19,25,5,0,0,6,7,34
2018,17,2245,MIL,Milwaukee Bucks,Jabari Parker,22.0,31,3.0,743,160,332,0.48,31,81,0.38,129,251,0.51,0.53,40,54,0.74,42,109,151,59,25,10,45,50,391
2018,17,2832,MIL,Milwaukee Bucks,Jason Terry,40.0,51,4.0,814,59,154,0.38,40,115,0.35,19,39,0.49,0.51,8,9,0.89,5,43,48,59,42,13,25,52,166
2018,17,285,MIL,Milwaukee Bucks,Joel Bolomboy,24.0,6,0.0,38,3,6,0.5,0,1,0.0,3,5,0.6,0.5,3,6,0.5,6,4,10,0,2,0,2,3,9
2018,17,1263,MIL,Milwaukee Bucks,John Henson,27.0,76,69.0,1970,287,502,0.57,1,7,0.14,286,495,0.58,0.57,90,158,0.57,150,363,513,114,45,109,84,202,665
2018,17,1979,MIL,Milwaukee Bucks,Khris Middleton,26.0,82,82.0,2982,593,1272,0.47,146,407,0.36,447,865,0.52,0.52,320,362,0.88,45,384,429,328,119,21,191,270,1652
2018,17,360,MIL,Milwaukee Bucks,Malcolm Brogdon,25.0,48,20.0,1436,244,503,0.48,62,161,0.38,182,342,0.53,0.55,75,85,0.88,23,133,156,152,41,13,66,128,625
2018,17,2318,MIL,Milwaukee Bucks,Marshall Plumlee,25.0,8,0.0,52,1,3,0.33,0,0,,1,3,0.33,0.33,12,16,0.75,4,13,17,2,0,1,3,10,14
2018,17,727,MIL,Milwaukee Bucks,Matthew Dellavedova,27.0,38,3.0,712,55,152,0.36,29,78,0.37,26,74,0.35,0.46,25,27,0.93,14,50,64,145,14,0,49,67,164
2018,17,2825,MIL,Milwaukee Bucks,Mirza Teletovic,32.0,10,0.0,159,25,57,0.44,21,45,0.47,4,12,0.33,0.62,0,0,,3,20,23,10,4,1,7,14,71
2018,17,2964,MIL,Milwaukee Bucks,Rashad Vaughn,21.0,22,0.0,173,21,50,0.42,13,35,0.37,8,15,0.53,0.55,4,6,0.67,2,15,17,12,4,3,4,12,59
2018,17,1610,MIL,Milwaukee Bucks,Sean Kilpatrick,28.0,23,0.0,205,31,82,0.38,13,46,0.28,18,36,0.5,0.46,18,19,0.95,1,24,25,15,5,1,9,15,93
2018,17,2072,MIL,Milwaukee Bucks,Shabazz Muhammad,25.0,11,0.0,117,37,67,0.55,3,8,0.38,34,59,0.58,0.57,17,19,0.9,8,23,31,7,4,1,1,7,94
2018,17,399,MIL,Milwaukee Bucks,Sterling Brown,22.0,54,4.0,776,82,205,0.4,32,91,0.35,50,114,0.44,0.48,21,24,0.88,27,116,143,25,31,13,25,80,217
2018,17,1819,MIL,Milwaukee Bucks,Thon Maker,20.0,74,12.0,1238,130,316,0.41,31,104,0.3,99,212,0.47,0.46,65,93,0.7,75,150,225,46,38,53,44,162,356
2018,17,2712,MIL,Milwaukee Bucks,Tony Snell,26.0,75,59.0,2053,185,425,0.44,108,268,0.4,77,157,0.49,0.56,38,48,0.79,9,132,141,98,47,28,36,115,516
2018,17,3268,MIL,Milwaukee Bucks,Tyler Zeller,28.0,24,1.0,406,62,105,0.59,0,2,0.0,62,103,0.6,0.59,17,19,0.9,47,64,111,19,7,14,12,48,141
2018,17,2077,MIL,Milwaukee Bucks,Xavier Munford,25.0,6,0.0,21,1,6,0.17,0,2,0.0,1,4,0.25,0.17,1,2,0.5,1,0,1,4,1,0,2,4,3
