Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019,10,1946,GSW,Golden State Warriors,Alfonzo McKinnie,26,72,5,1003,4.8,9.9,0.49,1.5,4.2,0.36,3.3,5.6,0.59,1.0,1.7,0.56,2.9,6.0,8.9,1.1,0.6,0.5,1.1,4.8,12.1
2019,10,1376,GSW,Golden State Warriors,Andre Iguodala,35,68,13,1578,3.4,6.9,0.5,1.1,3.3,0.33,2.3,3.6,0.65,0.9,1.5,0.58,1.1,4.7,5.7,4.9,1.4,1.2,1.2,2.2,8.9
2019,10,279,GSW,Golden State Warriors,Andrew Bogut,34,11,5,134,4.8,9.7,0.5,0.0,0.0,,4.8,9.7,0.5,0.8,0.8,1.0,3.2,11.6,14.8,3.0,0.8,2.1,2.1,5.9,10.5
2019,10,1533,GSW,Golden State Warriors,Damian Jones,23,24,22,410,4.7,6.5,0.72,0.0,0.0,,4.7,6.5,0.72,2.1,3.2,0.65,2.7,3.9,6.6,2.5,1.1,2.2,1.4,5.5,11.4
2019,10,1719,GSW,Golden State Warriors,Damion Lee,26,32,0,375,5.4,12.2,0.44,2.6,6.5,0.4,2.8,5.7,0.49,1.8,2.1,0.86,0.8,5.4,6.1,1.2,1.2,0.0,1.1,2.7,15.2
2019,10,618,GSW,Golden State Warriors,DeMarcus Cousins,28,30,30,771,8.3,17.3,0.48,1.2,4.4,0.27,7.1,12.9,0.55,4.9,6.7,0.74,2.0,9.5,11.5,5.0,1.9,2.1,3.4,5.1,22.8
2019,10,1101,GSW,Golden State Warriors,Draymond Green,28,66,66,2065,3.3,7.4,0.44,0.8,2.9,0.28,2.5,4.5,0.55,1.1,1.6,0.69,1.0,7.3,8.4,7.9,1.7,1.2,2.9,3.4,8.5
2019,10,875,GSW,Golden State Warriors,Jacob Evans,21,30,1,204,3.2,9.4,0.34,0.7,2.6,0.27,2.5,6.7,0.37,0.0,0.2,0.0,1.1,3.4,4.4,4.1,0.9,0.5,1.9,4.9,7.1
2019,10,1454,GSW,Golden State Warriors,Jonas Jerebko,31,73,6,1218,4.8,10.5,0.46,2.0,5.6,0.37,2.8,4.9,0.56,1.9,2.4,0.8,2.1,6.4,8.5,2.8,0.8,0.5,1.3,4.0,13.6
2019,10,210,GSW,Golden State Warriors,Jordan Bell,24,68,3,788,4.5,8.8,0.52,0.0,0.1,0.0,4.5,8.7,0.52,1.1,1.9,0.61,2.5,5.9,8.4,3.5,0.9,2.3,1.9,3.7,10.2
2019,10,806,GSW,Golden State Warriors,Kevin Durant,30,78,78,2702,9.6,18.4,0.52,1.8,5.2,0.35,7.8,13.3,0.59,6.0,6.7,0.88,0.4,6.2,6.6,6.1,0.8,1.1,3.0,2.1,27.0
2019,10,1773,GSW,Golden State Warriors,Kevon Looney,22,80,24,1481,5.3,8.4,0.62,0.0,0.2,0.1,5.3,8.2,0.64,1.6,2.6,0.62,4.7,5.4,10.1,3.0,1.1,1.3,1.2,5.1,12.2
2019,10,2870,GSW,Golden State Warriors,Klay Thompson,28,78,78,2652,8.9,19.0,0.47,3.3,8.1,0.4,5.6,10.9,0.52,1.8,2.1,0.82,0.5,3.6,4.1,2.5,1.1,0.6,1.6,2.1,22.8
2019,10,734,GSW,Golden State Warriors,Marcus Derrickson,22,11,0,67,8.6,17.7,0.48,5.4,10.7,0.5,3.2,7.0,0.46,2.1,2.7,0.8,4.3,2.7,7.0,0.5,0.0,0.5,1.6,4.8,24.7
2019,10,596,GSW,Golden State Warriors,Quinn Cook,25,74,10,1059,6.9,14.9,0.46,2.8,6.8,0.4,4.2,8.1,0.52,0.7,0.9,0.77,0.7,4.6,5.3,3.9,0.7,0.1,1.7,3.1,17.3
2019,10,1758,GSW,Golden State Warriors,Shaun Livingston,33,64,0,967,4.1,7.8,0.52,0.0,0.1,0.0,4.1,7.7,0.52,1.5,1.9,0.78,1.6,2.8,4.4,4.2,1.2,1.0,1.4,2.8,9.6
2019,10,657,GSW,Golden State Warriors,Stephen Curry,30,69,69,2331,9.8,20.7,0.47,5.5,12.5,0.44,4.3,8.2,0.52,4.1,4.4,0.92,0.7,5.0,5.7,5.6,1.4,0.4,3.0,2.6,29.1
