Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019,21,0,OKC,Oklahoma City Thunder,Abdel Nader,25,61,1,694,4.7,11.2,0.42,1.7,5.2,0.32,3.1,6.0,0.51,1.4,1.9,0.75,0.7,5.3,6.0,1.0,1.0,0.6,1.3,3.5,12.5
2019,21,0,OKC,Oklahoma City Thunder,Alex Abrines,25,31,2,588,3.4,9.6,0.36,2.5,7.8,0.32,0.9,1.8,0.5,0.7,0.8,0.92,0.3,2.6,2.9,1.2,1.0,0.4,0.9,3.2,10.1
2019,21,0,OKC,Oklahoma City Thunder,Dennis Schroder,25,79,14,2314,7.1,17.2,0.41,1.9,5.7,0.34,5.2,11.5,0.45,2.9,3.5,0.82,0.6,3.8,4.4,5.0,1.0,0.2,2.7,2.9,19.0
2019,21,0,OKC,Oklahoma City Thunder,Deonte Burton,25,32,0,240,5.0,12.3,0.4,1.2,4.1,0.3,3.7,8.2,0.46,1.2,1.8,0.67,0.6,3.6,4.2,1.4,0.9,1.2,1.4,4.6,12.3
2019,21,0,OKC,Oklahoma City Thunder,Donte Grantham,23,3,0,2,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,21,0,OKC,Oklahoma City Thunder,Hamidou Diallo,20,51,3,526,5.1,11.3,0.46,0.3,1.6,0.17,4.9,9.7,0.5,2.5,4.0,0.61,2.6,4.0,6.6,1.2,1.4,0.7,1.6,5.3,13.0
2019,21,0,OKC,Oklahoma City Thunder,Jawun Evans,22,1,0,1,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,21,0,OKC,Oklahoma City Thunder,Jerami Grant,24,80,77,2612,5.6,11.3,0.5,1.6,4.0,0.39,4.1,7.3,0.56,2.2,3.0,0.71,1.3,4.4,5.7,1.1,0.8,1.4,0.9,2.9,15.0
2019,21,0,OKC,Oklahoma City Thunder,Markieff Morris,29,24,1,387,5.7,14.5,0.39,1.9,5.5,0.34,3.8,9.0,0.42,1.3,1.8,0.74,1.9,6.6,8.5,1.8,1.0,0.2,0.7,5.4,14.5
2019,21,0,OKC,Oklahoma City Thunder,Nerlens Noel,24,77,2,1055,5.5,9.4,0.59,0.0,0.0,,5.5,9.4,0.59,1.8,2.7,0.68,4.3,6.8,11.1,1.5,2.3,3.3,1.6,5.7,12.9
2019,21,0,OKC,Oklahoma City Thunder,Patrick Patterson,29,63,5,861,3.4,9.2,0.37,1.9,5.7,0.34,1.5,3.4,0.44,0.8,1.3,0.63,1.8,4.4,6.1,1.3,0.7,0.5,0.9,1.9,9.6
2019,21,0,OKC,Oklahoma City Thunder,Paul George,28,77,77,2841,9.0,20.5,0.44,3.7,9.6,0.39,5.3,10.9,0.48,5.7,6.8,0.84,1.3,6.6,8.0,4.0,2.2,0.4,2.6,2.7,27.4
2019,21,0,OKC,Oklahoma City Thunder,Raymond Felton,34,33,0,379,5.2,12.8,0.41,1.9,5.8,0.33,3.3,7.0,0.47,1.1,1.2,0.92,0.4,2.8,3.2,4.9,0.9,0.6,1.3,2.8,13.5
2019,21,0,OKC,Oklahoma City Thunder,Russell Westbrook,30,73,73,2630,8.6,20.2,0.43,1.6,5.6,0.29,7.0,14.5,0.48,4.1,6.2,0.66,1.5,9.6,11.0,10.7,1.9,0.5,4.4,3.4,22.9
2019,21,0,OKC,Oklahoma City Thunder,Steven Adams,25,80,80,2669,6.5,10.9,0.6,0.0,0.0,0.0,6.5,10.9,0.6,2.0,3.9,0.5,5.3,5.0,10.3,1.7,1.6,1.0,1.8,2.8,14.9
2019,21,0,OKC,Oklahoma City Thunder,Terrance Ferguson,20,74,74,1931,3.4,8.0,0.43,2.0,5.4,0.37,1.5,2.6,0.56,0.7,1.0,0.72,0.6,2.0,2.6,1.3,0.7,0.3,0.9,4.3,9.6
2019,21,0,OKC,Oklahoma City Thunder,Timothe Luwawu-Cabarrot,23,21,1,123,3.8,12.6,0.3,1.5,6.4,0.23,2.3,6.1,0.38,1.2,1.8,0.67,1.2,4.1,5.3,1.2,1.2,0.3,1.5,4.1,10.2
2019,21,0,OKC,Oklahoma City Thunder,Tyler Davis,21,1,0,1,0.0,36.0,0.0,0.0,0.0,,0.0,36.0,0.0,0.0,0.0,,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
