SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019,7,DAL,Luka Doncic,19.0,72,72.0,2318,506,1186,0.43,168,514,0.33,338,672,0.5,0.5,346,485,0.71,86,477,563,429,77,25,247,137,1526
2019,7,DAL,Dorian Finney-Smith,25.0,81,26.0,1985,228,528,0.43,79,254,0.31,149,274,0.54,0.51,73,103,0.71,138,251,389,95,69,36,74,186,608
2019,7,DAL,Dwight Powell,27.0,77,22.0,1662,290,486,0.6,39,127,0.31,251,359,0.7,0.64,196,254,0.77,140,271,411,112,44,50,67,201,815
2019,7,DAL,Jalen Brunson,22.0,73,38.0,1591,264,565,0.47,63,181,0.35,201,384,0.52,0.52,87,120,0.72,25,144,169,230,37,4,88,127,678
2019,7,DAL,Harrison Barnes,26.0,49,49.0,1584,290,717,0.4,121,311,0.39,169,406,0.42,0.49,165,198,0.83,36,171,207,62,33,11,68,79,866
2019,7,DAL,DeAndre Jordan,30.0,50,50.0,1554,208,323,0.64,0,0,,208,323,0.64,0.64,135,198,0.68,161,525,686,99,33,53,111,125,551
2019,7,DAL,Maxi Kleber,27.0,71,18.0,1502,175,386,0.45,77,218,0.35,98,168,0.58,0.55,58,74,0.78,90,239,329,70,36,78,54,143,485
2019,7,DAL,Wesley Matthews,32.0,44,44.0,1312,194,469,0.41,100,263,0.38,94,206,0.46,0.52,87,110,0.79,20,82,102,100,33,12,58,102,575
2019,7,DAL,Devin Harris,35.0,68,2.0,1071,132,347,0.38,62,200,0.31,70,147,0.48,0.47,102,134,0.76,12,100,112,122,35,16,56,133,428
2019,7,DAL,Dennis Smith,21.0,32,32.0,908,157,357,0.44,43,125,0.34,114,232,0.49,0.5,57,82,0.7,18,79,97,138,40,11,100,82,414
2019,7,DAL,Dirk Nowitzki,40.0,51,20.0,795,135,376,0.36,64,205,0.31,71,171,0.42,0.44,39,50,0.78,5,153,158,35,9,18,18,76,373
2019,7,DAL,J.J. Barea,34.0,38,0.0,752,161,385,0.42,38,128,0.3,123,257,0.48,0.47,55,78,0.7,13,82,95,211,22,1,72,50,415
2019,7,DAL,Tim Hardaway,26.0,19,17.0,558,108,267,0.4,45,140,0.32,63,127,0.5,0.49,33,43,0.77,7,54,61,37,12,2,24,35,294
2019,7,DAL,Justin Jackson,23.0,29,11.0,531,92,190,0.48,32,86,0.37,60,104,0.58,0.57,21,29,0.72,19,47,66,28,9,1,7,32,237
2019,7,DAL,Ryan Broekhoff,28.0,42,0.0,453,57,126,0.45,38,93,0.41,19,33,0.58,0.6,15,19,0.79,8,55,63,22,6,4,16,35,167
2019,7,DAL,Trey Burke,26.0,25,1.0,436,88,190,0.46,26,73,0.36,62,117,0.53,0.53,41,49,0.84,13,24,37,65,12,2,20,25,243
2019,7,DAL,Salah Mejri,32.0,36,4.0,399,55,112,0.49,11,34,0.32,44,78,0.56,0.54,20,32,0.62,36,95,131,35,10,26,21,55,141
2019,7,DAL,Courtney Lee,33.0,22,4.0,268,32,82,0.39,11,39,0.28,21,43,0.49,0.46,5,7,0.71,3,24,27,21,13,1,9,19,80
2019,7,DAL,Daryl Macon,23.0,8,0.0,90,10,27,0.37,5,11,0.46,5,16,0.31,0.46,4,7,0.57,2,10,12,7,1,0,6,8,29
2019,7,DAL,Kostas Antetokounmpo,21.0,2,0.0,11,0,3,0.0,0,0,,0,3,0.0,0.0,2,4,0.5,0,1,1,0,2,0,1,0,2
2019,7,DAL,Ray Spalding,21.0,1,0.0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
2019,7,DAL,Team Totals,,82,,19780,3182,7122,0.45,1022,3002,0.34,2160,4120,0.52,0.52,1541,2076,0.74,832,2884,3716,1918,533,351,1167,1650,8927
