Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020,6,CLE,Cleveland Cavaliers,Collin Sexton,21,65,65,33.0,7.9,16.7,0.47,1.5,3.9,0.38,6.4,12.8,0.5,0.52,3.5,4.1,0.85,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8,2601
2020,6,CLE,Cleveland Cavaliers,Kevin Love,31,56,56,31.8,5.8,13.0,0.45,2.6,7.0,0.37,3.2,6.0,0.54,0.55,3.3,3.9,0.85,1.0,8.8,9.8,3.2,0.6,0.3,2.5,1.6,17.6,1779
2020,6,CLE,Cleveland Cavaliers,Darius Garland,20,59,59,30.9,4.7,11.8,0.4,1.8,5.0,0.36,3.0,6.8,0.43,0.48,1.1,1.2,0.88,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3,992
2020,6,CLE,Cleveland Cavaliers,Tristan Thompson,28,57,51,30.2,5.1,9.9,0.51,0.2,0.4,0.39,4.9,9.5,0.52,0.52,1.7,2.8,0.62,4.0,6.2,10.1,2.1,0.6,0.9,1.8,2.2,12.0,2876
2020,6,CLE,Cleveland Cavaliers,Cedi Osman,24,65,65,29.4,4.1,9.4,0.44,1.9,4.9,0.38,2.2,4.4,0.5,0.54,1.0,1.4,0.67,0.6,3.0,3.6,2.4,0.8,0.2,1.4,2.5,11.0,2214
2020,6,CLE,Cleveland Cavaliers,Andre Drummond,26,8,8,28.1,7.3,13.1,0.55,0.5,1.8,0.29,6.8,11.4,0.59,0.57,2.5,4.9,0.51,3.0,8.1,11.1,1.8,1.5,1.4,3.6,3.1,17.5,790
2020,6,CLE,Cleveland Cavaliers,Jordan Clarkson,27,29,0,23.0,5.0,11.2,0.44,2.0,5.5,0.37,2.9,5.8,0.51,0.53,2.6,3.0,0.88,0.7,1.7,2.4,2.4,0.6,0.3,1.3,1.1,14.6,546
2020,6,CLE,Cleveland Cavaliers,Dante Exum,24,24,1,16.8,1.9,4.0,0.48,0.5,1.5,0.35,1.4,2.5,0.56,0.55,1.3,1.7,0.73,0.4,1.9,2.3,1.4,0.5,0.3,0.9,1.3,5.6,885
2020,6,CLE,Cleveland Cavaliers,Brandon Knight,28,16,0,15.1,1.8,5.4,0.33,1.2,4.0,0.3,0.6,1.4,0.41,0.44,0.3,0.8,0.31,0.2,1.1,1.3,1.9,0.3,0.1,1.0,1.3,4.9,1636
2020,6,CLE,Cleveland Cavaliers,Alfonzo McKinnie,27,40,1,14.8,1.8,4.3,0.43,0.4,1.6,0.22,1.5,2.7,0.56,0.47,0.6,0.8,0.71,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,4.6,1946
2020,6,CLE,Cleveland Cavaliers,Matthew Dellavedova,29,57,4,14.4,1.1,3.1,0.35,0.4,1.6,0.23,0.7,1.5,0.49,0.41,0.6,0.6,0.86,0.3,1.0,1.3,3.2,0.4,0.0,1.0,1.4,3.1,727
2020,6,CLE,Cleveland Cavaliers,John Henson,29,29,2,14.2,2.1,4.1,0.51,0.2,1.1,0.19,1.9,3.1,0.62,0.53,0.6,1.1,0.52,1.1,2.8,3.9,1.5,0.6,1.1,0.7,1.9,5.0,1263
2020,6,CLE,Cleveland Cavaliers,Ante Zizic,23,22,0,10.0,1.9,3.3,0.57,0.0,0.0,,1.9,3.3,0.57,0.57,0.6,0.9,0.74,0.8,2.2,3.0,0.3,0.3,0.2,0.5,1.2,4.4,3276
2020,6,CLE,Cleveland Cavaliers,Dean Wade,23,12,0,5.9,0.8,1.1,0.69,0.2,0.3,0.5,0.6,0.8,0.78,0.77,0.0,0.1,0.0,0.3,1.3,1.6,0.2,0.2,0.3,0.3,0.7,1.7,2988
2020,6,CLE,Cleveland Cavaliers,Matt Mooney,22,4,0,4.8,0.3,1.0,0.25,0.0,0.5,0.0,0.3,0.5,0.5,0.25,0.0,0.0,,0.0,0.8,0.8,0.3,0.5,0.3,0.0,0.3,0.5,2034
2020,6,CLE,Cleveland Cavaliers,Malik Newman,22,1,0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2137
2020,6,CLE,Cleveland Cavaliers,Tyler Cook,22,11,0,3.2,0.6,0.9,0.7,0.0,0.0,,0.6,0.9,0.7,0.7,0.5,0.5,0.83,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7,597
2020,6,CLE,Cleveland Cavaliers,Marques Bolden,21,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,284
2020,6,CLE,Cleveland Cavaliers,J.P. Macura,24,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1806
