Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020,21,OKC,Oklahoma City Thunder,Shai Gilgeous-Alexander,21,70,70,34.7,6.8,14.5,0.47,1.2,3.6,0.35,5.6,10.9,0.51,0.51,4.1,5.1,0.81,0.7,5.2,5.9,3.3,1.1,0.7,1.9,1.7,19.0,1033
2020,21,OKC,Oklahoma City Thunder,Chris Paul,34,70,70,31.5,6.2,12.7,0.49,1.6,4.3,0.36,4.6,8.3,0.55,0.55,3.6,4.0,0.91,0.4,4.6,5.0,6.7,1.6,0.2,2.3,2.3,17.6,2261
2020,21,OKC,Oklahoma City Thunder,Dennis Schroder,26,65,2,30.8,7.0,14.8,0.47,1.9,5.0,0.38,5.0,9.8,0.51,0.53,3.0,3.6,0.84,0.3,3.3,3.6,4.0,0.7,0.2,2.6,2.2,18.9,2576
2020,21,OKC,Oklahoma City Thunder,Danilo Gallinari,31,62,62,29.6,5.8,13.2,0.44,2.9,7.1,0.4,2.9,6.1,0.48,0.55,4.3,4.8,0.89,0.5,4.6,5.2,1.9,0.7,0.1,1.2,1.2,18.7,983
2020,21,OKC,Oklahoma City Thunder,Steven Adams,26,63,63,26.7,4.5,7.6,0.59,0.0,0.0,0.33,4.5,7.5,0.59,0.59,1.9,3.2,0.58,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,17
2020,21,OKC,Oklahoma City Thunder,Luguentz Dort,20,36,28,22.8,2.4,6.1,0.39,0.8,2.8,0.3,1.6,3.3,0.48,0.46,1.2,1.5,0.79,0.7,1.6,2.3,0.8,0.9,0.1,0.6,2.7,6.8,764
2020,21,OKC,Oklahoma City Thunder,Terrance Ferguson,21,56,38,22.4,1.4,3.9,0.36,0.9,3.0,0.29,0.5,0.9,0.56,0.47,0.3,0.4,0.75,0.4,0.9,1.3,0.9,0.5,0.3,0.6,2.8,3.9,905
2020,21,OKC,Oklahoma City Thunder,Hamidou Diallo,21,46,3,19.5,2.9,6.4,0.45,0.3,1.2,0.28,2.5,5.2,0.48,0.47,0.8,1.4,0.6,1.0,2.7,3.6,0.8,0.8,0.2,1.1,2.2,6.9,738
2020,21,OKC,Oklahoma City Thunder,Darius Bazley,19,61,9,18.5,2.0,5.2,0.39,0.8,2.3,0.35,1.2,2.9,0.43,0.47,0.7,1.0,0.69,0.5,3.5,4.0,0.7,0.4,0.7,0.7,0.9,5.6,199
2020,21,OKC,Oklahoma City Thunder,Nerlens Noel,25,61,7,18.5,3.0,4.4,0.68,0.0,0.0,0.33,3.0,4.4,0.69,0.69,1.3,1.7,0.76,1.5,3.4,4.9,0.9,1.0,1.5,1.1,2.7,7.4,2151
2020,21,OKC,Oklahoma City Thunder,Abdel Nader,26,55,6,15.8,2.2,4.8,0.47,0.9,2.3,0.38,1.4,2.5,0.56,0.56,0.9,1.2,0.77,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3,2106
2020,21,OKC,Oklahoma City Thunder,Andre Roberson,28,7,0,12.4,1.1,4.1,0.28,0.4,2.0,0.21,0.7,2.1,0.33,0.33,0.1,0.3,0.5,1.0,2.9,3.9,0.6,0.1,0.4,0.3,1.9,2.9,2456
2020,21,OKC,Oklahoma City Thunder,Mike Muscala,28,47,2,12.2,1.6,4.0,0.41,1.1,3.0,0.38,0.5,1.0,0.5,0.55,0.4,0.5,0.82,0.3,2.0,2.3,0.9,0.2,0.3,0.4,1.2,4.8,2095
2020,21,OKC,Oklahoma City Thunder,Deonte Burton,26,39,0,9.1,1.1,3.2,0.34,0.3,1.4,0.19,0.8,1.8,0.46,0.38,0.2,0.4,0.57,0.2,1.3,1.5,0.4,0.2,0.3,0.5,0.9,2.7,432
2020,21,OKC,Oklahoma City Thunder,Devon Hall,24,11,0,7.4,0.5,2.7,0.2,0.4,1.5,0.24,0.2,1.2,0.15,0.27,0.4,0.7,0.5,0.2,0.5,0.6,1.2,0.4,0.1,0.5,0.5,1.8,1151
2020,21,OKC,Oklahoma City Thunder,Kevin Hervey,23,10,0,5.2,0.7,2.7,0.26,0.3,2.0,0.15,0.4,0.7,0.57,0.32,0.0,0.0,,0.1,1.1,1.2,0.5,0.1,0.1,0.0,0.4,1.7,1273
2020,21,OKC,Oklahoma City Thunder,Justin Patton,22,5,0,4.8,0.8,2.0,0.4,0.2,0.8,0.25,0.6,1.2,0.5,0.45,0.0,0.0,,0.2,0.8,1.0,0.4,0.0,0.0,0.4,0.8,1.8,2259
2020,21,OKC,Oklahoma City Thunder,Isaiah Roby,21,3,0,3.7,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,0.0,2492
