Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020,1,ATL,Atlanta Hawks,Trae Young,21,60,60,2120,9.3,21.2,0.44,3.5,9.6,0.36,5.8,11.6,0.5,8.2,9.5,0.86,0.5,3.8,4.3,9.5,1.1,0.1,4.9,1.8,30.2,3264
2020,1,ATL,Atlanta Hawks,De'Andre Hunter,22,63,62,2018,5.0,12.2,0.41,1.9,5.4,0.36,3.1,6.8,0.45,2.0,2.6,0.76,0.8,4.3,5.1,2.0,0.8,0.3,1.8,3.2,13.9,1365
2020,1,ATL,Atlanta Hawks,Kevin Huerter,21,56,48,1760,5.2,12.5,0.41,2.6,6.8,0.38,2.6,5.6,0.45,1.1,1.3,0.83,0.7,3.9,4.7,4.4,1.0,0.6,1.8,2.8,14.0,1348
2020,1,ATL,Atlanta Hawks,Cam Reddish,20,58,34,1551,4.9,12.9,0.38,1.9,5.8,0.33,3.0,7.1,0.43,2.3,2.9,0.8,0.8,4.2,5.0,2.0,1.4,0.6,2.2,3.1,14.2,2410
2020,1,ATL,Atlanta Hawks,John Collins,22,41,41,1363,9.3,16.0,0.58,1.6,3.9,0.4,7.8,12.1,0.64,3.2,4.0,0.8,3.1,7.9,11.0,1.6,0.8,1.7,2.0,3.6,23.4,573
2020,1,ATL,Atlanta Hawks,DeAndre' Bembry,25,43,4,915,4.1,9.0,0.46,0.6,2.6,0.23,3.5,6.4,0.55,1.0,1.9,0.54,1.3,4.6,6.0,3.2,2.2,0.7,2.4,3.3,9.8,213
2020,1,ATL,Atlanta Hawks,Damian Jones,24,55,27,887,4.9,7.2,0.68,0.1,0.4,0.22,4.8,6.9,0.7,2.5,3.4,0.74,3.0,5.4,8.4,1.4,1.1,1.6,1.1,6.0,12.4,1533
2020,1,ATL,Atlanta Hawks,Vince Carter,43,60,0,876,4.4,12.5,0.35,2.5,8.3,0.3,1.9,4.2,0.45,0.9,1.2,0.79,0.7,4.4,5.1,2.0,0.9,1.0,1.4,3.7,12.2,492
2020,1,ATL,Atlanta Hawks,Jabari Parker,24,32,23,837,8.5,16.9,0.5,1.3,4.9,0.27,7.2,12.0,0.6,2.3,3.1,0.74,2.3,5.9,8.2,2.5,1.8,0.6,2.6,4.0,20.6,2245
2020,1,ATL,Atlanta Hawks,Alex Len,26,40,9,745,6.9,12.6,0.55,0.7,2.7,0.25,6.2,9.9,0.63,2.5,3.9,0.63,3.3,7.8,11.1,2.0,1.0,1.6,1.9,4.5,16.9,1730
2020,1,ATL,Atlanta Hawks,Bruno Fernando,21,56,13,713,5.2,10.0,0.52,0.3,1.9,0.14,4.9,8.2,0.6,1.5,2.6,0.57,3.4,6.6,10.0,2.5,0.9,0.9,2.1,5.4,12.1,907
2020,1,ATL,Atlanta Hawks,Allen Crabbe,27,28,1,522,3.6,9.9,0.36,2.1,6.4,0.32,1.5,3.4,0.44,0.6,0.8,0.75,0.7,3.8,4.5,1.9,1.0,0.3,0.8,2.5,9.9,622
2020,1,ATL,Atlanta Hawks,Jeff Teague,31,25,4,519,4.7,11.4,0.41,0.7,2.1,0.33,4.0,9.4,0.43,3.3,3.7,0.89,0.8,2.9,3.7,6.9,1.3,0.4,2.8,2.5,13.4,2823
2020,1,ATL,Atlanta Hawks,Brandon Goodwin,24,34,1,430,6.4,15.9,0.4,2.2,7.3,0.3,4.2,8.6,0.48,2.3,2.5,0.93,0.9,5.1,6.0,4.3,1.0,0.3,2.4,3.6,17.2,1059
2020,1,ATL,Atlanta Hawks,Treveon Graham,26,22,0,266,3.4,9.1,0.37,1.8,5.0,0.35,1.6,4.1,0.4,1.2,2.6,0.47,3.0,3.8,6.8,2.0,0.9,0.5,1.4,4.9,9.7,1074
2020,1,ATL,Atlanta Hawks,Evan Turner,31,19,0,251,3.6,9.6,0.37,0.0,0.7,0.0,3.6,8.9,0.4,1.7,2.0,0.86,1.1,4.3,5.5,5.5,1.3,1.1,3.7,2.9,8.9,2924
2020,1,ATL,Atlanta Hawks,Dewayne Dedmon,30,10,8,233,5.1,13.0,0.39,1.2,5.6,0.22,3.9,7.4,0.52,1.1,1.2,0.88,2.2,10.5,12.7,1.1,1.5,2.3,1.5,6.2,12.5,717
2020,1,ATL,Atlanta Hawks,Tyrone Wallace,25,14,0,160,3.2,9.9,0.32,0.2,3.4,0.07,2.9,6.5,0.45,2.5,3.8,0.65,0.7,4.3,5.0,2.9,1.6,0.2,2.3,4.3,9.0,3012
2020,1,ATL,Atlanta Hawks,Chandler Parsons,31,5,0,54,3.3,12.0,0.28,2.7,9.3,0.29,0.7,2.7,0.25,0.0,0.0,,0.7,4.0,4.7,2.0,2.7,0.7,2.0,2.0,9.3,2250
2020,1,ATL,Atlanta Hawks,Charlie Brown,22,10,0,40,5.4,17.1,0.32,2.7,8.1,0.33,2.7,9.0,0.3,4.5,4.5,1.0,1.8,1.8,3.6,1.8,1.8,1.8,2.7,2.7,18.0,371
2020,1,ATL,Atlanta Hawks,Paul Watson,25,2,0,17,0.0,14.8,0.0,0.0,6.4,0.0,0.0,8.5,0.0,0.0,0.0,,0.0,4.2,4.2,6.4,2.1,0.0,0.0,2.1,0.0,3043
