Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1995,7,366,DAL,Dallas Mavericks,1,Scott Brooks,PG,5-11,165,"July 31, 1965",US,6,"TCU, University of California, Irvine"
1995,7,700,DAL,Dallas Mavericks,43,Terry Davis,PF,6-9,225,"June 17, 1967",US,5,Virginia Union University
1995,7,799,DAL,Dallas Mavericks,7,Tony Dumas,SG,6-6,190,"August 25, 1972",US,R,Missouri-Kansas City
1995,7,1204,DAL,Dallas Mavericks,30,Lucious Harris,SG,6-5,190,"December 18, 1970",US,1,Cal State Long Beach
1995,7,1302,DAL,Dallas Mavericks,35,Donald Hodge,C,7-0,230,"February 25, 1969",US,3,Temple
1995,7,1403,DAL,Dallas Mavericks,24,Jim Jackson,SG,6-6,220,"October 14, 1970",US,2,Ohio State
1995,7,1557,DAL,Dallas Mavericks,54,Popeye Jones,PF,6-8,250,"June 17, 1970",US,1,Murray State
1995,7,1604,DAL,Dallas Mavericks,5,Jason Kidd,PG,6-4,205,"March 23, 1973",US,R,California
1995,7,1863,DAL,Dallas Mavericks,32,Jamal Mashburn,SF,6-8,240,"November 29, 1972",US,1,Kentucky
1995,7,1904,DAL,Dallas Mavericks,21,George McCloud,SF,6-6,205,"May 27, 1967",US,4,Florida State
1995,7,2676,DAL,Dallas Mavericks,34,Doug Smith,PF,6-10,220,"September 17, 1969",US,3,Missouri
1995,7,2803,DAL,Dallas Mavericks,42,Roy Tarpley,C,6-11,230,"November 28, 1964",US,5,Michigan
1995,7,3114,DAL,Dallas Mavericks,20,Morlon Wiley,PG,6-4,185,"September 24, 1966",US,6,Cal State Long Beach
1995,7,3156,DAL,Dallas Mavericks,44,Lorenzo Williams,C,6-9,200,"July 15, 1969",US,2,Stetson University
