Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1995,8,DEN,Denver Nuggets,1,Mahmoud Abdul-Rauf,PG,6-1,162,1969-03-09,US,4,LSU
1995,8,DEN,Denver Nuggets,8,Bison Dele,C,6-9,235,1969-04-06,US,3,"Maryland, Arizona"
1995,8,DEN,Denver Nuggets,3,Dale Ellis,SF,6-7,205,1960-08-06,US,11,Tennessee
1995,8,DEN,Denver Nuggets,20,LaPhonso Ellis,PF,6-8,240,1970-05-05,US,2,Notre Dame
1995,8,DEN,Denver Nuggets,9,Greg Grant,PG,5-7,140,1966-08-29,US,4,Trenton State University
1995,8,DEN,Denver Nuggets,21,Tom Hammonds,PF,6-9,215,1967-03-27,US,5,Georgia Tech
1995,8,DEN,Denver Nuggets,53,Cliff Levingston,PF,6-8,210,1961-01-04,US,10,Wichita State
1995,8,DEN,Denver Nuggets,4,Darnell Mee,SG,6-5,175,1971-02-11,US,1,Western Kentucky
1995,8,DEN,Denver Nuggets,55,Dikembe Mutombo,C,7-2,245,1966-06-25,CD,3,Georgetown
1995,8,DEN,Denver Nuggets,14,Robert Pack,PG,6-2,180,1969-02-03,US,3,USC
1995,8,DEN,Denver Nuggets,42,Mark Randall,PF,6-8,235,1967-09-30,US,3,Kansas
1995,8,DEN,Denver Nuggets,7,Eldridge Recasner,SG,6-3,190,1967-12-14,US,R,Washington
1995,8,DEN,Denver Nuggets,54,Rodney Rogers,PF,6-7,235,1971-06-20,US,1,Wake Forest
1995,8,DEN,Denver Nuggets,5,Jalen Rose,SF,6-8,210,1973-01-30,US,R,Michigan
1995,8,DEN,Denver Nuggets,35,Reggie Slater,PF,6-7,215,1970-08-27,US,R,Wyoming
1995,8,DEN,Denver Nuggets,23,Bryant Stith,SG,6-5,208,1970-12-10,US,2,Virginia
1995,8,DEN,Denver Nuggets,34,Reggie Williams,SF,6-7,190,1964-03-05,US,7,Georgetown
