Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2000,23,309,PHI,Philadelphia 76Ers,12,Bruce Bowen,SF,6-7,185,"June 14, 1971",US,3,Cal State Fullerton
2000,23,313,PHI,Philadelphia 76Ers,11,Ira Bowman,SG,6-5,195,"June 11, 1973",US,R,"Providence, Penn"
2000,23,1016,PHI,Philadelphia 76Ers,52,Matt Geiger,C,7-0,243,"September 10, 1969",US,7,"Auburn, Georgia Tech"
2000,23,1293,PHI,Philadelphia 76Ers,40,Tyrone Hill,PF,6-9,240,"March 19, 1968",US,9,Xavier
2000,23,1355,PHI,Philadelphia 76Ers,21,Larry Hughes,SG,6-5,184,"January 23, 1979",US,1,Saint Louis
2000,23,1390,PHI,Philadelphia 76Ers,3,Allen Iverson,SG,6-0,165,"June 7, 1975",US,3,Georgetown
2000,23,1549,PHI,Philadelphia 76Ers,33,Jumaine Jones,SF,6-8,218,"February 10, 1979",US,R,Georgia
2000,23,1661,PHI,Philadelphia 76Ers,7,Toni Kukoc,SF,6-10,192,"September 18, 1968",HR,6,
2000,23,1691,PHI,Philadelphia 76Ers,41,Antonio Lang,SF,6-8,205,"May 15, 1972",US,5,Duke
2000,23,1791,PHI,Philadelphia 76Ers,9,George Lynch,SF,6-8,218,"September 3, 1970",US,6,UNC
2000,23,1794,PHI,Philadelphia 76Ers,50,Todd MacCulloch,C,7-0,280,"January 27, 1976",CA,R,Washington
2000,23,1942,PHI,Philadelphia 76Ers,8,Aaron McKie,SG,6-5,209,"October 2, 1972",US,5,Temple
2000,23,2020,PHI,Philadelphia 76Ers,14,Nazr Mohammed,C,6-10,221,"September 5, 1977",US,1,Kentucky
2000,23,2205,PHI,Philadelphia 76Ers,5,Kevin Ollie,PG,6-4,195,"December 27, 1972",US,2,UConn
2000,23,2223,PHI,Philadelphia 76Ers,30,Billy Owens,PF,6-8,220,"May 1, 1969",US,8,Syracuse
2000,23,2400,PHI,Philadelphia 76Ers,42,Theo Ratliff,PF,6-10,225,"April 17, 1973",US,4,Wyoming
2000,23,2463,PHI,Philadelphia 76Ers,53,Stanley Roberts,C,7-0,285,"February 7, 1970",US,7,LSU
2000,23,2713,PHI,Philadelphia 76Ers,20,Eric Snow,PG,6-3,190,"April 24, 1973",US,4,Michigan State
