Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2004,2,BOS,Boston Celtics,7,Chucky Atkins,PG,5-11,160,1974-08-14,US,4,South Florida
2004,2,BOS,Boston Celtics,42,Vin Baker,PF,6-11,232,1971-11-23,US,10,University of Hartford
2004,2,BOS,Boston Celtics,11,Marcus Banks,PG,6-2,200,1981-11-19,US,R,UNLV
2004,2,BOS,Boston Celtics,13,Dana Barros,SG,5-11,163,1967-04-13,US,13,Boston College
2004,2,BOS,Boston Celtics,4,Tony Battie,C,6-11,230,1976-02-11,US,6,Texas Tech
2004,2,BOS,Boston Celtics,30,Mark Blount,C,7-0,230,1975-11-30,US,3,Pitt
2004,2,BOS,Boston Celtics,5,Kedrick Brown,SF,6-7,222,1981-03-18,US,2,Okaloosa-Walton Community College
2004,2,BOS,Boston Celtics,12,Ricky Davis,SF,6-6,195,1979-09-23,US,5,Iowa
2004,2,BOS,Boston Celtics,56,Brandon Hunter,PF,6-7,260,1980-11-24,US,R,Ohio University
2004,2,BOS,Boston Celtics,13,Mike James,PG,6-2,188,1975-06-23,US,2,Duquesne
2004,2,BOS,Boston Celtics,20,Jumaine Jones,SG,6-8,218,1979-02-10,US,4,Georgia
2004,2,BOS,Boston Celtics,45,Raef LaFrentz,C,6-11,240,1976-05-29,US,5,Kansas
2004,2,BOS,Boston Celtics,0,Walter McCarty,PF,6-10,230,1974-02-01,US,7,Kentucky
2004,2,BOS,Boston Celtics,4,Chris Mihm,C,7-0,265,1979-07-16,US,3,Texas
2004,2,BOS,Boston Celtics,43,Kendrick Perkins,C,6-10,270,1984-11-10,US,R,
2004,2,BOS,Boston Celtics,34,Paul Pierce,SG,6-7,235,1977-10-13,US,5,Kansas
2004,2,BOS,Boston Celtics,5,Michael Stewart,C,6-10,230,1975-04-25,FR,6,California
2004,2,BOS,Boston Celtics,44,Jiri Welsch,SG,6-7,208,1980-01-27,CZ,1,
2004,2,BOS,Boston Celtics,55,Eric Williams,SF,6-8,220,1972-07-17,US,8,Providence
