Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2007,20,NYK,New York Knicks,32,Renaldo Balkman,SF,6-8,208,1984-07-14,US,R,South Carolina
2007,20,NYK,New York Knicks,26,Kelvin Cato,C,6-11,255,1974-08-26,US,9,"University of South Alabama, Iowa State"
2007,20,NYK,New York Knicks,25,Mardy Collins,SF,6-6,220,1984-08-04,US,R,Temple
2007,20,NYK,New York Knicks,11,Jamal Crawford,SG,6-5,185,1980-03-20,US,6,Michigan
2007,20,NYK,New York Knicks,34,Eddy Curry,C,7-0,295,1982-12-05,US,5,
2007,20,NYK,New York Knicks,1,Steve Francis,SG,6-3,195,1977-02-21,US,7,Maryland
2007,20,NYK,New York Knicks,7,Channing Frye,PF,7-0,255,1983-05-17,US,1,Arizona
2007,20,NYK,New York Knicks,13,Jerome James,C,7-0,300,1975-11-17,US,6,Florida A&M
2007,20,NYK,New York Knicks,20,Jared Jeffries,SF,6-11,230,1981-11-25,US,4,Indiana
2007,20,NYK,New York Knicks,42,David Lee,PF,6-9,245,1983-04-29,US,1,Florida
2007,20,NYK,New York Knicks,3,Stephon Marbury,PG,6-2,180,1977-02-20,US,10,Georgia Tech
2007,20,NYK,New York Knicks,5,Randolph Morris,C,6-10,266,1986-01-02,US,R,Kentucky
2007,20,NYK,New York Knicks,23,Quentin Richardson,SF,6-6,223,1980-04-13,US,6,DePaul
2007,20,NYK,New York Knicks,4,Nate Robinson,PG,5-9,180,1984-05-31,US,1,Washington
2007,20,NYK,New York Knicks,31,Malik Rose,PF,6-7,250,1974-11-23,US,10,Drexel
