Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2009,5,CHI,Charlotte Bobcats,9,Luol Deng,SF,6-9,237,1985-04-16,SS,4,Duke
2009,5,CHI,Charlotte Bobcats,90,Drew Gooden,PF,6-10,250,1981-09-24,US,6,Kansas
2009,5,CHI,Charlotte Bobcats,7,Ben Gordon,SG,6-3,200,1983-04-04,GB,4,UConn
2009,5,CHI,Charlotte Bobcats,34,Aaron Gray,C,7-0,270,1984-12-07,US,1,Pitt
2009,5,CHI,Charlotte Bobcats,12,Kirk Hinrich,SG,6-4,190,1981-01-02,US,5,Kansas
2009,5,CHI,Charlotte Bobcats,32,Larry Hughes,SF,6-5,184,1979-01-23,US,10,Saint Louis
2009,5,CHI,Charlotte Bobcats,11,Lindsey Hunter,PG,6-2,170,1970-12-03,US,15,"Alcorn State, Jackson State University"
2009,5,CHI,Charlotte Bobcats,54,Linton Johnson,PF,6-8,205,1980-06-13,US,5,Tulane
2009,5,CHI,Charlotte Bobcats,52,Brad Miller,C,6-11,244,1976-04-12,US,10,Purdue
2009,5,CHI,Charlotte Bobcats,35,Demetris Nichols,SF,6-8,216,1984-09-04,US,1,Syracuse
2009,5,CHI,Charlotte Bobcats,13,Joakim Noah,C,6-11,230,1985-02-25,US,1,Florida
2009,5,CHI,Charlotte Bobcats,5,Andres Nocioni,PF,6-7,225,1979-11-30,AR,4,
2009,5,CHI,Charlotte Bobcats,5,Anthony Roberson,PG,6-2,180,1983-02-14,US,2,Florida
2009,5,CHI,Charlotte Bobcats,1,Derrick Rose,PG,6-2,200,1988-10-04,US,R,Memphis
2009,5,CHI,Charlotte Bobcats,15,John Salmons,SF,6-7,210,1979-12-12,US,6,Miami (FL)
2009,5,CHI,Charlotte Bobcats,2,Thabo Sefolosha,SF,6-6,215,1984-05-02,CH,2,
2009,5,CHI,Charlotte Bobcats,15,Cedric Simmons,PF,6-9,235,1986-01-03,US,2,NC State
2009,5,CHI,Charlotte Bobcats,2,Tim Thomas,PF,6-10,230,1977-02-26,US,11,Villanova
2009,5,CHI,Charlotte Bobcats,24,Tyrus Thomas,PF,6-9,215,1986-08-17,US,2,LSU
