Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2013,8,342,DEN,Denver Nuggets,13,Corey Brewer,SF,6-9,186,"March 5, 1986",US,5,Florida
2013,8,515,DEN,Denver Nuggets,21,Wilson Chandler,PF,6-8,235,"May 10, 1987",US,5,DePaul
2013,8,889,DEN,Denver Nuggets,35,Kenneth Faried,PF,6-8,220,"November 19, 1989",US,1,Morehead State University
2013,8,948,DEN,Denver Nuggets,94,Evan Fournier,SG,6-7,205,"October 29, 1992",FR,R,
2013,8,983,DEN,Denver Nuggets,8,Danilo Gallinari,SF,6-10,233,"August 8, 1988",IT,4,
2013,8,1158,DEN,Denver Nuggets,1,Jordan Hamilton,SF,6-7,220,"October 6, 1990",US,1,Texas
2013,8,1376,DEN,Denver Nuggets,9,Andre Iguodala,SG,6-6,215,"January 28, 1984",US,8,Arizona
2013,8,1652,DEN,Denver Nuggets,41,Kosta Koufos,C,7-0,245,"February 24, 1989",US,4,Ohio State
2013,8,1708,DEN,Denver Nuggets,3,Ty Lawson,PG,5-11,195,"November 3, 1987",US,3,UNC
2013,8,1930,DEN,Denver Nuggets,34,JaVale McGee,C,7-0,270,"January 19, 1988",US,4,Nevada
2013,8,1987,DEN,Denver Nuggets,24,Andre Miller,PG,6-3,200,"March 19, 1976",US,13,Utah
2013,8,1996,DEN,Denver Nuggets,30,Quincy Miller,PF,6-9,210,"November 18, 1992",US,R,Baylor
2013,8,2070,DEN,Denver Nuggets,25,Timofey Mozgov,C,7-1,275,"July 16, 1986",RU,2,
2013,8,2393,DEN,Denver Nuggets,15,Anthony Randolph,PF,6-10,205,"July 15, 1989",DE,4,LSU
2013,8,2766,DEN,Denver Nuggets,10,Julyan Stone,PG,6-6,200,"December 7, 1988",US,1,Texas-El Paso
