Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2015,28,448,TOR,Toronto Raptors,5,Bruno Caboclo,SF,6-9,218,"September 21, 1995",BR,R,
2015,28,715,TOR,Toronto Raptors,10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",US,5,USC
2015,28,915,TOR,Toronto Raptors,2,Landry Fields,SF,6-7,210,"June 27, 1988",US,4,Stanford
2015,28,1173,TOR,Toronto Raptors,50,Tyler Hansbrough,PF,6-9,250,"November 3, 1985",US,5,UNC
2015,28,1231,TOR,Toronto Raptors,44,Chuck Hayes,C,6-6,240,"June 11, 1983",US,9,Kentucky
2015,28,1463,TOR,Toronto Raptors,15,Amir Johnson,PF,6-9,240,"May 1, 1987",US,9,
2015,28,1492,TOR,Toronto Raptors,3,James Johnson,PF,6-7,240,"February 20, 1987",US,5,Wake Forest
2015,28,1781,TOR,Toronto Raptors,7,Kyle Lowry,PG,6-0,196,"March 25, 1986",US,8,Villanova
2015,28,2152,TOR,Toronto Raptors,92,Lucas Nogueira,C,7-0,241,"July 26, 1992",BR,R,
2015,28,2257,TOR,Toronto Raptors,54,Patrick Patterson,PF,6-8,235,"March 14, 1989",US,4,Kentucky
2015,28,2510,TOR,Toronto Raptors,31,Terrence Ross,SF,6-6,206,"February 5, 1991",US,2,Washington
2015,28,2755,TOR,Toronto Raptors,34,Greg Stiemsma,C,6-11,260,"September 26, 1985",US,3,Wisconsin
2015,28,2945,TOR,Toronto Raptors,17,Jonas Valanciunas,C,6-11,265,"May 6, 1992",LT,2,
2015,28,2960,TOR,Toronto Raptors,21,Greivis Vasquez,PG,6-6,217,"January 16, 1987",VE,4,Maryland
2015,28,3157,TOR,Toronto Raptors,23,Lou Williams,SG,6-1,175,"October 27, 1986",US,9,
