SEASON,TEAM ID,TEAM,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1982,8,DEN,Alex English,28.0,82.0,3015.0,0.55,0.55,0.0,0.55,0.84,0.6,0.28,0.0,112.0,111.0,,111.0,113.0,111.0,88.0,20.0,174.0,199.4
1982,8,DEN,Dan Issel,33.0,81.0,2472.0,0.53,0.53,0.67,0.53,0.83,0.61,0.53,0.0,107.0,106.0,254.0,107.0,112.0,113.0,164.0,19.0,83.6,210.4
1982,8,DEN,Kiki Vandeweghe,23.0,82.0,2775.0,0.56,0.56,0.08,0.56,0.86,0.61,0.32,0.01,114.0,114.0,29.0,113.0,115.0,114.0,99.0,40.0,166.8,211.0
1982,8,DEN,David Thompson,27.0,61.0,1246.0,0.49,0.49,0.29,0.49,0.81,0.57,0.53,0.02,99.0,99.0,109.0,99.0,109.0,106.0,163.0,84.0,-6.9,51.7
1982,8,DEN,Billy McKinney,26.0,81.0,1963.0,0.53,0.54,0.0,0.53,0.81,0.56,0.24,0.02,107.0,109.0,,107.0,108.0,105.0,75.0,94.0,46.7,41.6
1982,8,DEN,T.R. Dunn,26.0,82.0,2519.0,0.51,0.51,0.0,0.51,0.71,0.56,0.43,0.0,104.0,103.0,,104.0,95.0,104.0,132.0,8.0,17.5,24.3
1982,8,DEN,Glen Gondrezick,26.0,80.0,1699.0,0.5,0.51,0.0,0.5,0.74,0.56,0.44,0.01,103.0,102.0,,102.0,99.0,104.0,135.0,23.0,10.4,24.0
1982,8,DEN,Kenny Higgs,27.0,76.0,1696.0,0.43,0.44,0.19,0.44,0.82,0.51,0.42,0.04,88.0,89.0,73.0,88.0,110.0,95.0,130.0,173.0,-54.9,-28.4
1982,8,DEN,Cedrick Hordges,25.0,77.0,1372.0,0.49,0.5,0.23,0.5,0.58,0.52,0.48,0.03,100.0,101.0,88.0,100.0,78.0,98.0,148.0,121.0,1.5,-13.2
1982,8,DEN,John Roche,32.0,39.0,501.0,0.45,0.46,0.44,0.53,0.74,0.56,0.25,0.35,92.0,92.0,169.0,107.0,99.0,104.0,78.0,1339.0,10.6,7.4
1982,8,DEN,Dave Robisch,32.0,12.0,257.0,0.45,0.45,,0.45,0.87,0.55,0.52,0.0,92.0,91.0,,92.0,117.0,103.0,160.0,,-8.8,3.8
1982,8,DEN,James Ray,24.0,40.0,262.0,0.44,0.44,1.0,0.44,0.58,0.47,0.31,0.01,90.0,87.0,382.0,90.0,78.0,87.0,96.0,33.0,-11.7,-18.0
1982,8,DEN,David Burns,23.0,6.0,53.0,0.46,0.46,,0.46,0.67,0.54,0.82,0.0,93.0,91.0,,92.0,89.0,99.0,253.0,,-0.9,-0.1
1982,8,DEN,Team,,,,0.52,0.52,0.27,0.52,0.8,0.58,0.39,0.02,106.0,106.0,102.0,106.0,107.0,107.0,120.0,75.0,428.8,714.1
1982,8,DEN,League Average,,,,0.49,0.5,0.26,0.5,0.75,0.54,0.32,0.03,,,,,,,,,,
