PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Walter Davis,28,3,,113,9.6,22.0,0.435,0.3,0.6,0.5,9.2,21.3,0.433,5.4,6.7,0.81,1.6,3.2,4.8,4.1,1.9,1.6,1.6,1.9,24.8
Dennis Johnson,28,3,,108,7.3,16.0,0.45799999999999996,0.0,0.3,0.0,7.3,15.7,0.46799999999999997,3.3,4.0,0.833,2.0,5.7,7.7,5.7,1.7,0.7,2.7,3.0,18.0
Larry Nance,23,3,,103,4.9,12.2,0.4,0.0,0.0,,4.9,12.2,0.4,2.8,3.5,0.8,3.5,5.2,8.7,1.0,1.0,2.1,2.1,4.2,12.6
Alvan Adams,28,3,,84,6.4,13.7,0.469,0.0,0.0,,6.4,13.7,0.469,2.1,3.0,0.7140000000000001,1.3,6.4,7.7,6.0,0.9,2.1,2.1,6.4,15.0
Kyle Macy,25,3,,72,7.5,17.5,0.429,0.0,1.5,0.0,7.5,16.0,0.469,2.5,3.5,0.7140000000000001,1.0,3.0,4.0,4.5,0.5,0.0,0.5,3.0,17.5
Alvin Scott,27,3,,62,3.5,7.5,0.462,0.0,0.0,,3.5,7.5,0.462,1.2,1.2,1.0,2.3,4.6,7.0,2.9,1.2,2.9,2.3,3.5,8.1
Maurice Lucas,30,2,,57,7.6,13.3,0.5710000000000001,0.0,0.0,,7.6,13.3,0.5710000000000001,1.3,2.5,0.5,3.2,4.4,7.6,5.1,1.9,0.0,2.5,3.2,16.4
James Edwards,27,3,,54,7.3,17.3,0.423,0.0,0.0,,7.3,17.3,0.423,4.0,4.0,1.0,4.0,8.0,12.0,2.7,0.7,0.7,3.3,4.7,18.7
Johnny High,25,3,,45,4.0,8.8,0.455,0.0,0.8,0.0,4.0,8.0,0.5,0.0,1.6,0.0,5.6,2.4,8.0,4.8,2.4,0.8,0.8,5.6,8.0
Rory White,23,3,,40,6.3,12.6,0.5,0.0,0.9,0.0,6.3,11.7,0.5379999999999999,1.8,3.6,0.5,0.9,8.1,9.0,0.0,0.0,0.0,0.9,3.6,14.4
Joel Kramer,27,2,,6,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Pittman,24,1,,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
