PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Kiki Vandeweghe,24,8,,39.6,10.9,20.0,0.544,0.0,0.5,0.0,10.9,19.5,0.5579999999999999,0.544,5.0,6.3,0.8,0.8,5.8,6.5,4.0,0.5,0.9,1.5,2.0,26.8
Alex English,29,7,,38.6,9.6,21.4,0.447,0.0,0.3,0.0,9.6,21.1,0.45299999999999996,0.447,6.7,7.6,0.887,2.9,3.4,6.3,6.0,0.6,1.0,3.0,3.0,25.9
T.R. Dunn,27,8,,37.5,2.3,5.1,0.439,0.0,0.0,,2.3,5.1,0.439,0.439,0.6,1.0,0.625,3.4,6.4,9.8,2.5,1.5,0.4,1.8,2.6,5.1
Dan Issel,34,8,,28.4,8.6,17.0,0.507,0.0,0.1,0.0,8.6,16.9,0.511,0.507,3.1,3.6,0.862,1.6,5.6,7.3,3.1,1.1,0.6,1.3,2.3,20.4
Mike Evans,27,8,,22.9,4.5,9.3,0.486,0.4,1.3,0.3,4.1,8.0,0.516,0.507,1.4,2.1,0.647,0.3,2.1,2.4,4.8,0.6,0.0,2.8,2.5,10.8
Danny Schayes,23,8,,20.4,2.6,5.4,0.488,0.0,0.0,,2.6,5.4,0.488,0.488,1.9,1.9,1.0,1.4,3.6,5.0,1.8,0.3,0.6,2.1,3.1,7.1
Bill Hanzlik,25,8,,19.6,2.5,6.3,0.4,0.0,0.3,0.0,2.5,6.0,0.41700000000000004,0.4,1.8,2.1,0.8240000000000001,0.4,2.8,3.1,2.6,0.8,0.6,1.4,3.3,6.8
Rob Williams,21,7,,19.1,3.4,7.7,0.444,0.3,0.4,0.667,3.1,7.3,0.431,0.46299999999999997,1.0,1.0,1.0,0.3,1.6,1.9,5.3,1.1,0.1,2.7,3.9,8.1
Billy McKinney,27,8,,14.1,3.3,5.8,0.565,0.0,0.0,,3.3,5.8,0.565,0.565,1.3,2.3,0.556,0.6,1.0,1.6,2.3,0.3,0.0,0.9,1.9,7.8
Glen Gondrezick,27,6,,11.0,1.2,3.2,0.368,0.0,0.0,,1.2,3.2,0.368,0.368,0.2,0.3,0.5,2.0,1.3,3.3,0.7,0.0,0.2,0.2,1.2,2.5
Dave Robisch,33,3,,7.3,0.3,2.3,0.14300000000000002,0.0,0.0,,0.3,2.3,0.14300000000000002,0.14300000000000002,0.0,0.7,0.0,1.0,2.0,3.0,0.3,0.0,0.3,0.0,0.7,0.7
James Ray,25,3,,6.0,0.3,2.0,0.16699999999999998,0.0,0.0,,0.3,2.0,0.16699999999999998,0.16699999999999998,0.3,1.3,0.25,0.3,0.7,1.0,0.0,0.0,0.3,0.0,1.0,1.0
