PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Moses Malone,27,78,78,37.5,8.4,16.7,0.501,0.0,0.0,0.0,8.4,16.7,0.502,0.501,7.7,10.1,0.7609999999999999,5.7,9.6,15.3,1.3,1.1,2.0,3.4,2.6,24.5
Julius Erving,32,72,72,33.6,8.4,16.3,0.517,0.0,0.1,0.28600000000000003,8.4,16.2,0.518,0.518,4.6,6.0,0.759,2.4,4.4,6.8,3.7,1.6,1.8,2.7,2.8,21.4
Maurice Cheeks,26,79,79,31.2,5.1,9.4,0.542,0.0,0.1,0.16699999999999998,5.1,9.4,0.545,0.5429999999999999,2.3,3.0,0.754,0.7,2.0,2.6,6.9,2.3,0.4,2.3,2.3,12.5
Andrew Toney,25,81,81,30.5,7.7,15.4,0.501,0.3,0.9,0.289,7.5,14.5,0.514,0.51,4.0,5.1,0.7879999999999999,0.5,2.3,2.8,4.5,1.0,0.2,3.3,3.1,19.7
Bobby Jones,31,74,0,23.6,3.4,6.2,0.5429999999999999,0.0,0.0,0.0,3.4,6.2,0.545,0.5429999999999999,2.2,2.8,0.7929999999999999,1.4,3.3,4.6,1.9,1.1,1.2,1.5,2.7,9.0
Clint Richardson,26,77,1,22.8,3.4,7.3,0.46299999999999997,0.0,0.1,0.0,3.4,7.2,0.46799999999999997,0.46299999999999997,0.9,1.4,0.64,1.3,1.9,3.2,2.2,0.9,0.2,1.3,2.1,7.6
Clemon Johnson,26,32,4,21.8,2.8,5.7,0.5,0.0,0.0,,2.8,5.7,0.5,0.5,1.1,1.8,0.586,2.3,4.1,6.4,0.8,0.5,0.9,1.1,2.6,6.8
Marc Iavaroni,26,80,77,20.2,2.0,4.4,0.462,0.0,0.0,0.0,2.0,4.4,0.46399999999999997,0.462,1.0,1.4,0.69,1.5,2.7,4.1,1.0,0.4,0.6,1.7,3.0,5.1
Reggie Johnson,25,29,8,18.9,2.4,5.3,0.44799999999999995,0.0,0.0,,2.4,5.3,0.44799999999999995,0.44799999999999995,0.8,1.0,0.733,1.1,2.0,3.1,0.8,0.3,0.6,1.2,2.8,5.5
Franklin Edwards,23,81,3,15.6,2.8,6.0,0.47200000000000003,0.0,0.1,0.0,2.8,5.9,0.48,0.47200000000000003,1.1,1.4,0.7609999999999999,0.3,0.8,1.0,2.7,1.0,0.1,1.4,1.5,6.7
Russ Schoene,22,46,2,15.3,2.3,4.5,0.512,0.0,0.0,0.0,2.3,4.5,0.515,0.512,0.5,0.6,0.75,1.1,2.2,3.3,0.7,0.3,0.2,1.0,2.6,5.1
Earl Cureton,25,73,3,13.5,1.5,3.5,0.419,0.0,0.0,,1.5,3.5,0.419,0.419,0.5,0.9,0.493,1.2,2.5,3.7,0.6,0.5,0.3,1.0,2.0,3.4
Mark McNamara,23,36,2,5.1,0.8,1.8,0.45299999999999996,0.0,0.0,,0.8,1.8,0.45299999999999996,0.45299999999999996,0.6,1.3,0.444,0.9,1.2,2.1,0.2,0.1,0.1,1.0,1.2,2.2
J.J. Anderson,22,13,0,3.7,0.6,1.7,0.364,0.0,0.1,0.0,0.6,1.6,0.381,0.364,0.1,0.2,0.33299999999999996,0.3,0.6,0.9,0.1,0.1,0.0,0.4,0.5,1.3
