PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Mark Aguirre,24.0,79.0,2900.0,0.524,0.532,0.268,0.528,0.7490000000000001,0.5720000000000001,0.35200000000000004,0.032,106.0,107.0,107.0,107.0,99.0,105.0,105.0,118.0,115.9,117.1
Rolando Blackman,24.0,81.0,3025.0,0.546,0.55,0.091,0.547,0.812,0.596,0.34700000000000003,0.008,111.0,110.0,36.0,110.0,107.0,110.0,103.0,31.0,134.9,163.1
Pat Cummings,27.0,80.0,2492.0,0.494,0.495,0.0,0.494,0.742,0.523,0.20800000000000002,0.002,100.0,99.0,,100.0,98.0,96.0,62.0,8.0,-2.7,-39.2
Brad Davis,28.0,81.0,2665.0,0.53,0.551,0.184,0.535,0.836,0.593,0.366,0.057999999999999996,108.0,111.0,74.0,108.0,110.0,109.0,109.0,217.0,51.9,75.5
Jay Vincent,24.0,61.0,1421.0,0.435,0.436,0.0,0.435,0.7809999999999999,0.499,0.371,0.002,88.0,87.0,,88.0,103.0,92.0,111.0,6.0,-69.8,-59.3
Kurt Nimphius,25.0,82.0,2284.0,0.52,0.522,0.25,0.521,0.624,0.5429999999999999,0.31,0.008,106.0,105.0,100.0,105.0,82.0,100.0,92.0,28.0,26.7,0.8
Dale Ellis,23.0,67.0,1059.0,0.456,0.45899999999999996,0.414,0.469,0.7190000000000001,0.502,0.245,0.059000000000000004,93.0,92.0,166.0,95.0,95.0,93.0,73.0,219.0,-26.6,-44.1
Derek Harper,22.0,82.0,1712.0,0.444,0.46399999999999997,0.115,0.447,0.6729999999999999,0.475,0.217,0.057999999999999996,90.0,93.0,46.0,90.0,89.0,87.0,65.0,214.0,-43.9,-67.5
Bill Garnett,23.0,80.0,1529.0,0.47200000000000003,0.475,0.0,0.47200000000000003,0.733,0.546,0.589,0.006999999999999999,96.0,95.0,,95.0,96.0,101.0,175.0,25.0,-14.3,2.3
Elston Turner,24.0,47.0,536.0,0.36,0.376,0.111,0.363,0.8240000000000001,0.415,0.22699999999999998,0.06,73.0,75.0,44.0,73.0,108.0,76.0,67.0,223.0,-39.6,-42.1
Mark West,23.0,34.0,202.0,0.35700000000000004,0.35700000000000004,,0.35700000000000004,0.318,0.358,0.524,0.0,73.0,72.0,,72.0,42.0,66.0,156.0,,-11.6,-19.1
Jim Spanarkel,26.0,7.0,54.0,0.43799999999999994,0.429,0.5,0.469,0.6920000000000001,0.552,0.812,0.125,89.0,86.0,200.0,95.0,91.0,102.0,242.0,465.0,-0.9,0.4
Roger Phegley,27.0,10.0,76.0,0.29,0.29600000000000004,0.25,0.306,1.0,0.32899999999999996,0.065,0.129,59.0,59.0,100.0,62.0,132.0,61.0,19.0,480.0,-11.7,-13.6
Team,,,,0.501,0.508,0.228,0.504,0.755,0.5479999999999999,0.326,0.025,102.0,102.0,91.0,102.0,99.0,101.0,97.0,93.0,120.0,87.9
League Average,,,,0.49200000000000005,0.499,0.25,0.495,0.76,0.5429999999999999,0.336,0.027000000000000003,,,,,,,,,,
