PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Eddie Johnson,24,82,82,35.6,9.2,18.9,0.485,0.2,0.8,0.313,8.9,18.1,0.493,0.49200000000000005,3.3,4.0,0.81,2.0,3.5,5.5,3.6,0.9,0.3,2.6,3.2,21.9
Larry Drew,25,73,73,32.4,6.5,14.1,0.462,0.0,0.1,0.3,6.5,13.9,0.46399999999999997,0.46299999999999997,3.3,4.3,0.7759999999999999,0.5,1.5,2.0,7.6,1.7,0.1,2.7,2.3,16.4
Reggie Theus,26,30,30,29.9,5.7,12.9,0.43799999999999994,0.1,0.9,0.14800000000000002,5.5,12.0,0.46,0.44299999999999995,4.3,5.8,0.7509999999999999,1.0,1.8,2.8,7.0,1.0,0.3,3.2,3.1,15.8
Mark Olberding,27,81,81,26.7,3.1,6.2,0.494,0.0,0.0,0.0,3.1,6.2,0.495,0.494,3.2,3.9,0.821,1.5,4.0,5.5,2.4,0.6,0.3,2.0,3.6,9.4
Mike Woodson,25,71,12,25.9,5.5,11.5,0.47700000000000004,0.0,0.1,0.25,5.5,11.4,0.479,0.478,3.5,4.3,0.818,0.9,1.6,2.5,2.5,1.2,0.4,1.6,2.5,14.5
Billy Knight,31,75,39,25.1,4.8,9.7,0.491,0.1,0.2,0.28600000000000003,4.7,9.5,0.495,0.494,3.2,3.8,0.8590000000000001,1.2,2.2,3.4,2.1,0.7,0.1,2.1,1.6,12.8
LaSalle Thompson,22,80,38,23.9,4.2,8.0,0.523,0.0,0.0,,4.2,8.0,0.523,0.523,2.0,2.8,0.7170000000000001,3.3,5.6,8.9,1.1,0.9,1.8,2.1,4.1,10.3
Joe Meriweather,30,73,31,20.6,2.6,5.0,0.532,0.0,0.0,,2.6,5.0,0.532,0.532,1.3,1.7,0.764,1.5,3.3,4.8,0.7,0.5,0.8,1.1,3.4,6.6
Dave Robisch,34,8,0,20.3,2.3,6.0,0.375,0.0,0.0,,2.3,6.0,0.375,0.375,1.4,1.6,0.846,1.5,2.1,3.6,0.8,0.4,0.1,0.0,1.9,5.9
Steve Johnson,26,50,12,17.9,3.8,6.8,0.5529999999999999,0.0,0.0,,3.8,6.8,0.5529999999999999,0.5529999999999999,2.0,3.5,0.5710000000000001,1.9,3.2,5.0,1.3,0.4,1.0,2.1,3.8,9.6
Don Buse,33,76,10,17.5,2.0,4.6,0.426,0.2,0.8,0.305,1.7,3.9,0.451,0.452,0.8,1.1,0.7879999999999999,0.4,1.1,1.5,4.0,1.1,0.0,1.1,0.8,5.0
Ed Nealy,23,71,1,13.5,0.9,1.8,0.5,0.0,0.0,,0.9,1.8,0.5,0.5,0.7,0.8,0.8,1.0,2.1,3.1,0.7,0.6,0.1,0.5,1.9,2.5
Kevin Loder,24,10,0,13.3,1.9,4.3,0.442,0.1,0.3,0.33299999999999996,1.8,4.0,0.45,0.45299999999999996,0.9,1.3,0.6920000000000001,0.7,1.1,1.8,1.4,0.3,0.5,1.1,1.5,4.8
Dane Suttle,22,40,1,11.7,2.7,5.4,0.509,0.0,0.1,0.0,2.7,5.3,0.517,0.509,1.0,1.2,0.851,0.5,0.6,1.2,1.2,0.5,0.0,0.8,1.2,6.5
Larry Micheaux,23,39,0,8.5,1.3,2.3,0.544,0.0,0.0,,1.3,2.3,0.544,0.544,0.5,1.0,0.5379999999999999,1.0,1.9,2.9,0.5,0.5,0.3,0.5,1.2,3.1
