PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Terry Cummings,23.0,79.0,2722.0,0.495,0.496,0.0,0.495,0.741,0.536,0.302,0.001,101.0,99.0,,100.0,97.0,99.0,92.0,2.0,-2.0,-24.7
Sidney Moncrief,27.0,73.0,2734.0,0.483,0.489,0.273,0.48700000000000004,0.8290000000000001,0.565,0.47200000000000003,0.027999999999999997,98.0,98.0,97.0,98.0,108.0,104.0,143.0,81.0,-21.9,60.6
Paul Pressey,26.0,80.0,2876.0,0.517,0.521,0.35,0.521,0.758,0.5770000000000001,0.45,0.022000000000000002,105.0,104.0,124.0,105.0,99.0,106.0,137.0,61.0,46.3,76.0
Craig Hodges,24.0,82.0,2496.0,0.49,0.523,0.348,0.523,0.815,0.552,0.17800000000000002,0.184,100.0,105.0,123.0,105.0,107.0,102.0,54.0,524.0,38.7,13.6
Alton Lister,26.0,81.0,2091.0,0.5379999999999999,0.539,0.0,0.5379999999999999,0.588,0.5589999999999999,0.43799999999999994,0.002,110.0,108.0,,109.0,77.0,103.0,133.0,5.0,50.7,23.1
Paul Mokeski,28.0,79.0,1586.0,0.478,0.48,0.0,0.478,0.698,0.511,0.27,0.005,97.0,96.0,,96.0,91.0,94.0,82.0,13.0,-15.6,-30.5
Kevin Grevey,31.0,78.0,1182.0,0.44799999999999995,0.466,0.242,0.45799999999999996,0.8220000000000001,0.505,0.252,0.078,91.0,93.0,86.0,92.0,108.0,93.0,77.0,221.0,-32.7,-35.8
Ricky Pierce,25.0,44.0,882.0,0.537,0.541,0.25,0.539,0.823,0.599,0.40399999999999997,0.013000000000000001,109.0,109.0,89.0,109.0,108.0,110.0,123.0,37.0,26.4,40.2
Randy Breuer,24.0,78.0,1083.0,0.511,0.511,,0.511,0.701,0.5539999999999999,0.401,0.0,104.0,102.0,,103.0,92.0,102.0,122.0,,9.5,7.9
Charles Davis,26.0,57.0,746.0,0.436,0.446,0.1,0.43799999999999994,0.828,0.47200000000000003,0.168,0.028999999999999998,89.0,90.0,35.0,88.0,108.0,87.0,51.0,82.0,-40.3,-52.6
Kenny Fields,22.0,51.0,535.0,0.44,0.44,,0.44,0.75,0.47100000000000003,0.18899999999999997,0.0,90.0,88.0,,89.0,98.0,87.0,57.0,,-21.5,-29.7
Mike Dunleavy,30.0,19.0,433.0,0.474,0.545,0.34,0.5329999999999999,0.862,0.5720000000000001,0.215,0.348,97.0,109.0,121.0,108.0,113.0,105.0,65.0,989.0,10.1,8.5
Paul Thompson,23.0,16.0,227.0,0.391,0.418,0.0,0.39,0.706,0.442,0.324,0.067,80.0,84.0,,79.0,92.0,81.0,98.0,189.0,-22.2,-24.3
Larry Micheaux,24.0,18.0,171.0,0.486,0.486,,0.486,0.706,0.541,0.486,0.0,99.0,97.0,,98.0,92.0,100.0,147.0,,-0.7,-0.2
David Thirdkill,24.0,6.0,16.0,0.75,0.75,,0.75,0.5,0.7170000000000001,0.5,0.0,153.0,150.0,,151.0,65.0,132.0,152.0,,2.0,1.7
Lorenzo Romar,26.0,4.0,16.0,0.125,0.14300000000000002,0.0,0.125,,0.125,0.0,0.125,25.0,29.0,,25.0,,23.0,,355.0,-5.9,-6.7
Mark West,24.0,1.0,6.0,0.0,0.0,,0.0,1.0,0.532,2.0,0.0,,,,,131.0,98.0,607.0,,-1.0,-0.0
Chris Engler,25.0,1.0,3.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,-2.0,-2.2
Team,,,,0.496,0.504,0.319,0.503,0.757,0.55,0.349,0.040999999999999995,101.0,101.0,113.0,101.0,99.0,101.0,106.0,116.0,87.8,109.2
League Average,,,,0.491,0.499,0.282,0.496,0.764,0.5429999999999999,0.33,0.035,,,,,,,,,,
