PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chuck Person,22,4,4,159,8.6,16.8,0.514,0.5,1.8,0.25,8.2,14.9,0.545,6.8,8.8,0.769,1.4,6.1,7.5,4.5,1.1,0.5,3.4,3.2,24.5
Steve Stipanovich,26,4,4,149,5.1,9.2,0.5529999999999999,0.0,0.2,0.0,5.1,8.9,0.568,3.1,4.6,0.684,1.7,5.6,7.2,0.7,0.7,0.5,1.0,3.4,13.3
Vern Fleming,24,4,4,141,3.3,9.2,0.361,0.0,0.3,0.0,3.3,8.9,0.371,5.9,7.7,0.767,2.3,4.3,6.6,6.1,1.0,0.3,2.6,3.8,12.5
Herb Williams,28,4,4,134,5.4,9.1,0.588,0.0,0.0,,5.4,9.1,0.588,1.9,3.5,0.5379999999999999,0.8,4.6,5.4,1.9,0.0,0.3,3.0,3.2,12.6
John Long,30,4,4,109,5.3,17.2,0.308,0.3,2.0,0.16699999999999998,5.0,15.2,0.326,3.6,4.3,0.846,0.7,1.3,2.0,3.0,2.0,0.0,1.7,5.3,14.5
Wayman Tisdale,22,4,0,108,6.3,10.3,0.613,0.0,0.0,,6.3,10.3,0.613,4.3,7.7,0.565,1.7,3.7,5.3,3.0,0.3,0.0,1.7,5.7,17.0
Clint Richardson,30,4,0,73,3.5,5.9,0.583,0.0,0.5,0.0,3.5,5.4,0.636,1.0,2.0,0.5,1.5,3.5,4.9,3.9,0.0,0.0,2.5,5.9,7.9
Kyle Macy,29,4,0,49,1.5,4.4,0.33299999999999996,0.0,0.7,0.0,1.5,3.7,0.4,0.0,0.7,0.0,0.0,2.2,2.2,3.7,0.7,0.0,2.2,5.1,2.9
Ron Anderson,28,4,0,24,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.0,0.0,,3.0,1.5,4.5,0.0,0.0,0.0,0.0,3.0,6.0
Stuart Gray,23,3,0,14,0.0,2.6,0.0,0.0,0.0,,0.0,2.6,0.0,5.1,10.3,0.5,5.1,12.9,18.0,0.0,0.0,0.0,0.0,7.7,5.1
