PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Karl Malone,23,5,5,40.0,7.4,17.6,0.42,0.0,0.0,,7.4,17.6,0.42,0.42,5.2,7.2,0.722,3.0,6.6,9.6,1.2,2.2,0.8,3.4,4.0,20.0
Mark Eaton,30,5,5,38.6,3.8,8.2,0.46299999999999997,0.0,0.0,,3.8,8.2,0.46299999999999997,0.46299999999999997,3.2,5.0,0.64,3.2,7.8,11.0,0.6,0.2,4.2,0.8,3.6,10.8
John Stockton,24,5,2,31.4,3.6,5.8,0.621,0.8,1.0,0.8,2.8,4.8,0.583,0.69,2.0,2.6,0.769,0.4,1.8,2.2,8.0,3.0,0.2,2.2,3.6,10.0
Thurl Bailey,25,5,0,30.2,6.0,12.6,0.47600000000000003,0.0,0.0,,6.0,12.6,0.47600000000000003,0.47600000000000003,3.6,3.6,1.0,2.8,3.2,6.0,1.8,0.6,1.2,2.4,2.4,15.6
Bob Hansen,26,5,5,28.4,4.2,9.8,0.429,0.4,1.0,0.4,3.8,8.8,0.43200000000000005,0.449,3.4,4.0,0.85,0.6,2.4,3.0,2.2,0.2,0.2,1.4,2.8,12.2
Darrell Griffith,28,5,0,20.8,4.8,13.0,0.369,1.2,3.0,0.4,3.6,10.0,0.36,0.415,2.8,3.8,0.737,1.0,1.4,2.4,1.6,1.2,0.4,2.4,1.0,13.6
Rickey Green,32,4,3,18.0,2.8,5.8,0.478,0.0,0.3,0.0,2.8,5.5,0.5,0.478,1.3,1.5,0.833,0.3,1.8,2.0,6.3,0.5,0.0,1.8,1.3,6.8
Carey Scurry,24,4,0,14.3,2.5,5.5,0.455,0.3,0.5,0.5,2.3,5.0,0.45,0.47700000000000004,0.8,1.8,0.429,1.8,1.8,3.5,0.0,1.0,1.3,0.5,2.5,6.0
Kelly Tripucka,27,5,5,14.0,2.8,4.0,0.7,0.0,0.6,0.0,2.8,3.4,0.8240000000000001,0.7,0.8,0.8,1.0,0.2,1.2,1.4,0.6,0.8,0.0,1.4,1.2,6.4
Marc Iavaroni,30,5,0,9.4,0.8,2.0,0.4,0.0,0.0,,0.8,2.0,0.4,0.4,0.4,0.6,0.667,1.6,1.0,2.6,0.8,0.0,0.6,1.2,1.4,2.0
Dell Curry,22,2,0,2.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Kent Benson,32,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
