PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Rolando Blackman,29,78,78,37.8,7.6,16.0,0.47600000000000003,0.4,1.1,0.353,7.2,14.9,0.485,0.488,4.1,4.7,0.8540000000000001,0.9,2.6,3.5,3.7,0.8,0.3,2.1,1.8,19.7
Sam Perkins,27,78,77,36.7,5.7,12.3,0.46399999999999997,0.1,0.5,0.184,5.6,11.8,0.47600000000000003,0.46799999999999997,3.5,4.2,0.833,3.0,5.8,8.8,1.6,1.0,1.2,1.8,2.9,15.0
Derek Harper,27,81,81,36.6,6.6,13.9,0.47700000000000004,1.2,3.4,0.35600000000000004,5.4,10.5,0.517,0.521,2.8,3.5,0.8059999999999999,0.6,2.2,2.8,7.0,2.1,0.5,2.5,2.7,17.3
Adrian Dantley,33,31,25,34.9,6.8,14.8,0.462,0.0,0.0,0.0,6.8,14.8,0.46299999999999997,0.462,6.6,8.5,0.7759999999999999,2.1,2.9,4.9,2.5,0.6,0.2,2.6,2.8,20.3
Mark Aguirre,29,44,44,34.8,8.5,18.8,0.45,0.7,2.3,0.293,7.8,16.6,0.47100000000000003,0.467,4.0,5.5,0.73,2.0,3.3,5.3,4.3,0.7,0.7,3.2,2.9,21.7
James Donaldson,31,53,53,32.9,3.6,6.4,0.573,0.0,0.0,,3.6,6.4,0.573,0.573,1.8,2.3,0.7659999999999999,3.0,7.8,10.8,0.7,0.5,1.5,1.6,2.1,9.1
Roy Tarpley,24,19,6,31.1,6.9,12.7,0.541,0.0,0.1,0.0,6.9,12.7,0.544,0.541,3.5,5.1,0.688,4.1,7.4,11.5,0.9,1.5,1.6,2.4,3.7,17.3
Herb Williams,30,30,20,30.1,2.6,6.6,0.396,0.0,0.1,0.0,2.6,6.5,0.4,0.396,1.4,2.3,0.632,1.6,5.0,6.6,1.2,0.5,1.8,1.4,2.7,6.6
Detlef Schrempf,26,37,1,22.8,3.0,7.1,0.426,0.1,0.4,0.125,3.0,6.7,0.445,0.43,3.4,4.4,0.789,1.5,3.0,4.5,2.3,0.6,0.2,1.5,3.2,9.5
Brad Davis,33,78,4,17.9,2.3,4.9,0.483,0.4,1.3,0.314,1.9,3.6,0.545,0.525,1.3,1.6,0.805,0.2,1.2,1.4,3.1,0.6,0.2,1.2,1.9,6.4
Bill Wennington,25,65,9,16.5,1.8,4.2,0.433,0.0,0.1,0.111,1.8,4.1,0.444,0.435,0.9,1.3,0.7440000000000001,1.3,3.1,4.4,0.7,0.2,0.5,0.8,3.2,4.6
Terry Tyler,32,70,11,15.1,2.4,5.1,0.469,0.0,0.1,0.111,2.4,5.0,0.479,0.47100000000000003,0.7,0.9,0.758,1.1,1.9,3.0,0.6,0.3,0.6,0.7,1.3,5.5
Morlon Wiley,22,51,1,8.0,0.9,2.2,0.40399999999999997,0.1,0.5,0.25,0.8,1.8,0.444,0.43,0.3,0.3,0.813,0.3,0.7,0.9,1.5,0.5,0.1,0.7,1.2,2.2
Uwe Blab,26,37,0,5.6,0.6,1.4,0.462,0.0,0.0,,0.6,1.4,0.462,0.462,0.5,0.7,0.8,0.3,0.9,1.2,0.3,0.1,0.4,0.4,1.0,1.8
Anthony Jones,26,25,0,5.2,1.0,2.6,0.375,0.2,0.6,0.267,0.8,2.0,0.408,0.406,0.5,0.6,0.857,0.4,0.4,0.8,0.5,0.4,0.1,0.2,0.5,2.6
Steve Alford,24,9,0,4.2,0.3,1.2,0.273,0.0,0.2,0.0,0.3,1.0,0.33299999999999996,0.273,0.1,0.2,0.5,0.0,0.3,0.3,1.0,0.1,0.0,0.1,0.3,0.8
