SEASON,TEAM ID,TEAM,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1990,29,UTA,Karl Malone,26.0,82.0,3122.0,0.56,0.57,0.37,0.57,0.76,0.63,0.56,0.03,118.0,116.0,113.0,116.0,100.0,117.0,172.0,35.0,253.2,362.8
1990,29,UTA,John Stockton,27.0,78.0,2915.0,0.51,0.53,0.42,0.54,0.82,0.61,0.47,0.12,108.0,108.0,126.0,110.0,107.0,113.0,144.0,163.0,93.4,155.8
1990,29,UTA,Thurl Bailey,28.0,82.0,2583.0,0.48,0.48,0.0,0.48,0.78,0.53,0.29,0.01,101.0,99.0,,98.0,102.0,98.0,89.0,11.0,-15.3,-21.1
1990,29,UTA,Darrell Griffith,31.0,82.0,1444.0,0.46,0.51,0.37,0.52,0.65,0.54,0.12,0.33,97.0,104.0,113.0,107.0,86.0,100.0,37.0,438.0,47.4,-0.3
1990,29,UTA,Blue Edwards,24.0,82.0,1889.0,0.51,0.52,0.3,0.52,0.72,0.56,0.36,0.05,106.0,106.0,91.0,105.0,94.0,104.0,110.0,70.0,29.6,25.9
1990,29,UTA,Bob Hansen,29.0,81.0,2174.0,0.47,0.51,0.35,0.51,0.52,0.52,0.11,0.27,98.0,104.0,106.0,105.0,67.0,96.0,34.0,358.0,28.6,-22.8
1990,29,UTA,Mike Brown,26.0,82.0,1397.0,0.51,0.52,0.5,0.52,0.79,0.59,0.58,0.01,108.0,105.0,151.0,106.0,103.0,111.0,177.0,8.0,18.7,48.8
1990,29,UTA,Mark Eaton,33.0,82.0,2281.0,0.53,0.53,,0.53,0.67,0.56,0.39,0.0,111.0,108.0,,108.0,88.0,105.0,120.0,,22.7,17.3
1990,29,UTA,Eric Leckner,23.0,77.0,764.0,0.56,0.56,,0.56,0.74,0.61,0.49,0.0,118.0,115.0,,115.0,97.0,114.0,150.0,,32.9,41.3
1990,29,UTA,Delaney Rudd,27.0,77.0,850.0,0.43,0.47,0.29,0.46,0.66,0.48,0.2,0.22,90.0,96.0,86.0,94.0,86.0,90.0,63.0,286.0,-15.2,-30.0
1990,29,UTA,Eric Johnson,23.0,48.0,272.0,0.24,0.24,0.17,0.24,0.76,0.3,0.2,0.07,50.0,50.0,50.0,50.0,100.0,55.0,62.0,94.0,-41.1,-44.2
1990,29,UTA,JosA Ortiz,26.0,13.0,64.0,0.45,0.45,0.5,0.46,0.6,0.48,0.12,0.05,95.0,92.0,151.0,95.0,79.0,89.0,36.0,63.0,-2.1,-5.4
1990,29,UTA,Raymond Brown,24.0,16.0,56.0,0.29,0.29,,0.29,0.0,0.28,0.07,0.0,60.0,59.0,,58.0,,52.0,22.0,,-11.4,-15.0
1990,29,UTA,Nate Johnston,23.0,6.0,13.0,0.36,0.3,1.0,0.41,1.0,0.46,0.18,0.09,76.0,61.0,303.0,84.0,131.0,86.0,56.0,120.0,-1.8,-1.7
1990,29,UTA,Jim Les,26.0,1.0,6.0,,,,,0.5,0.57,,,,,,,65.0,106.0,,,0.0,0.1
1990,29,UTA,Team,,,,0.5,0.52,0.36,0.52,0.76,0.57,0.38,0.1,106.0,107.0,108.0,107.0,99.0,106.0,115.0,126.0,441.5,513.0
1990,29,UTA,League Average,,,,0.48,0.49,0.33,0.49,0.76,0.54,0.33,0.08,,,,,,,,,,
