PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Larry Bird,33,5,207,20.7,0.539,0.192,0.32299999999999995,4.4,21.7,13.6,28.8,1.2,1.4,13.7,26.7,,0.4,0.0,0.4,0.10300000000000001,,4.3,-0.5,3.7,0.3
Reggie Lewis,24,5,200,18.2,0.652,0.016,0.565,5.8,9.2,7.6,14.4,1.7,0.6,13.4,18.8,,0.6,0.0,0.5,0.127,,2.5,-0.2,2.4,0.2
Kevin McHale,32,5,192,19.7,0.6729999999999999,0.043,0.42,5.4,18.6,12.4,9.3,0.5,3.0,14.6,21.0,,0.5,0.0,0.5,0.129,,1.9,-0.4,1.5,0.2
Robert Parish,36,5,170,19.4,0.638,0.0,0.33299999999999996,17.6,18.3,18.0,10.0,1.4,2.4,16.2,18.3,,0.5,0.0,0.5,0.14400000000000002,,1.7,-0.6,1.1,0.1
Dennis Johnson,35,5,162,12.5,0.53,0.09699999999999999,0.113,1.6,8.5,5.3,22.6,0.6,0.7,13.3,19.5,,0.2,-0.1,0.1,0.028999999999999998,,-1.0,-2.3,-3.3,-0.1
Joe Kleine,28,5,79,14.4,0.789,0.059000000000000004,0.353,4.9,16.1,10.8,3.2,1.2,2.2,16.9,12.6,,0.2,0.0,0.2,0.106,,0.0,1.0,1.0,0.1
John Bagley,29,5,70,10.5,0.5670000000000001,0.067,0.267,5.6,1.6,3.5,29.1,2.7,0.8,34.9,15.5,,0.0,0.0,0.0,-0.013999999999999999,,-1.5,-1.3,-2.8,0.0
Jim Paxson,32,5,62,11.6,0.535,0.063,0.25,0.0,0.0,0.0,13.8,3.9,0.0,14.5,14.1,,0.0,0.0,0.0,0.021,,-1.2,0.4,-0.8,0.0
Ed Pinckney,26,4,25,25.5,0.867,0.0,1.286,10.4,18.5,14.7,0.0,0.0,0.0,15.4,21.8,,0.1,0.0,0.1,0.23800000000000002,,2.6,-2.7,-0.1,0.0
Michael Smith,24,4,16,33.4,0.767,0.25,0.875,0.0,0.0,0.0,0.0,3.0,0.0,8.3,31.8,,0.1,0.0,0.1,0.33899999999999997,,5.9,-0.8,5.1,0.0
Charles Smith,22,3,9,23.6,0.5,0.0,0.0,14.4,0.0,6.8,39.7,5.3,0.0,0.0,9.4,,0.0,0.0,0.0,0.22,,7.9,3.0,10.9,0.0
Kevin Gamble,24,3,8,22.9,0.6,0.0,0.0,16.2,0.0,7.6,43.5,0.0,0.0,16.7,31.6,,0.0,0.0,0.0,0.091,,1.7,-5.0,-3.3,0.0
