PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Reggie Miller,24,82,3192,20.8,0.645,0.281,0.48700000000000004,3.7,7.0,5.4,15.1,1.7,0.3,12.4,24.2,,10.8,1.3,12.1,0.182,,4.9,-0.9,4.0,4.8
Vern Fleming,27,82,2876,16.3,0.561,0.037000000000000005,0.32,5.0,7.9,6.5,30.8,1.6,0.2,16.4,18.9,,5.6,1.2,6.7,0.11199999999999999,,1.9,-1.1,0.8,2.0
Chuck Person,25,77,2714,16.6,0.557,0.204,0.217,5.7,13.1,9.6,13.5,1.0,0.4,11.1,24.4,,4.1,1.3,5.4,0.096,,2.0,-2.0,-0.1,1.3
Detlef Schrempf,27,78,2573,17.6,0.611,0.057999999999999996,0.596,7.1,20.4,14.1,14.0,1.1,0.4,14.8,20.5,,6.1,2.0,8.1,0.151,,1.8,-0.4,1.4,2.2
Rik Smits,23,82,2404,18.1,0.579,0.001,0.307,6.9,17.5,12.5,9.3,0.9,4.2,11.5,22.4,,4.2,2.3,6.6,0.132,,0.1,0.6,0.7,1.6
LaSalle Thompson,28,82,2126,10.3,0.523,0.011000000000000001,0.285,10.1,23.9,17.3,6.7,1.5,2.0,22.1,13.9,,0.0,2.5,2.4,0.055,,-2.9,0.3,-2.6,-0.3
Mike Sanders,29,82,1531,9.1,0.498,0.028999999999999998,0.157,6.3,11.1,8.8,8.3,1.4,0.9,13.4,16.7,,0.1,0.9,1.0,0.031,,-3.0,-0.7,-3.8,-0.7
Rickey Green,35,69,927,10.9,0.48100000000000004,0.048,0.221,1.2,5.4,3.4,26.4,2.7,0.1,19.7,14.7,,0.2,0.5,0.7,0.037000000000000005,,-1.6,-0.2,-1.8,0.0
Randy Wittman,30,61,544,6.9,0.522,0.016,0.049,0.9,5.3,3.2,9.7,0.6,0.4,15.6,11.8,,0.0,0.1,0.0,0.004,,-2.6,-1.6,-4.2,-0.3
George McCloud,22,44,413,4.6,0.387,0.278,0.132,3.6,8.1,5.9,14.7,2.3,0.4,19.1,19.8,,-0.9,0.3,-0.7,-0.079,,-5.8,-1.1,-6.8,-0.5
Greg Dreiling,27,49,307,6.0,0.478,0.0,0.642,8.4,24.0,16.6,3.3,0.6,2.7,21.8,12.3,,-0.1,0.3,0.2,0.027999999999999997,,-6.0,0.1,-5.9,-0.3
Calvin Natt,33,14,164,14.4,0.701,0.0,0.71,7.5,17.0,12.5,7.5,0.3,0.0,10.9,12.1,,0.5,0.1,0.5,0.159,,0.8,-1.2,-0.4,0.1
Dyron Nix,22,20,109,8.2,0.424,0.0,0.41,9.0,18.4,14.0,6.4,1.4,0.5,13.2,21.1,,-0.1,0.1,0.0,-0.015,,-4.3,-1.5,-5.8,-0.1
