NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
23,Mark Aguirre,SF,6-6,232,1959-12-10,US,8,DePaul
20,William Bedford,C,7-0,225,1963-12-14,US,2,Memphis
4,Joe Dumars,SG,6-3,190,1963-05-24,US,4,McNeese State University
53,James Edwards,C,7-0,225,1955-11-22,US,12,Washington
33,Dave Greenwood,PF,6-9,222,1957-05-27,US,10,UCLA
35,Scott Hastings,PF,6-10,235,1960-06-03,US,7,Arkansas
12,Gerald Henderson,PG,6-2,175,1956-01-16,US,10,VCU
15,Vinnie Johnson,SG,6-2,200,1956-09-01,US,10,Baylor
3,Stan Kimbrough,PG,5-11,153,1966-04-24,US,R,"Central Florida, Xavier"
40,Bill Laimbeer,C,6-11,245,1957-05-19,US,9,Notre Dame
35,Ralph Lewis,SG,6-6,200,1963-03-28,US,2,La Salle
10,Dennis Rodman,SF,6-7,210,1961-05-13,US,3,Southeastern Oklahoma State University
22,John Salley,PF,6-11,230,1964-05-16,US,3,Georgia Tech
11,Isiah Thomas,PG,6-1,180,1961-04-30,US,8,Indiana
