PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Kevin Johnson,24,77,2772,23.7,0.604,0.038,0.5379999999999999,2.2,8.1,5.3,40.7,2.8,0.2,16.0,24.8,,9.5,3.3,12.7,0.22,,5.5,1.1,6.6,6.0
Jeff Hornacek,27,80,2733,17.8,0.5870000000000001,0.139,0.213,3.1,9.4,6.4,21.2,1.9,0.3,10.2,19.1,,6.9,2.8,9.7,0.171,,2.6,0.7,3.3,3.7
Tom Chambers,31,76,2475,16.2,0.513,0.057,0.361,4.8,16.2,10.8,11.5,1.2,1.2,10.7,27.2,,2.4,3.0,5.4,0.105,,-0.1,-0.8,-0.9,0.7
Dan Majerle,25,77,2281,16.9,0.552,0.105,0.363,8.5,11.4,10.0,12.9,2.2,1.0,10.7,19.1,,4.4,2.8,7.2,0.152,,2.0,0.7,2.7,2.7
Xavier McDaniel,27,66,2105,14.7,0.532,0.006,0.221,7.5,16.8,12.4,10.2,1.1,1.1,12.8,21.8,,1.7,2.5,4.2,0.096,,-0.5,-0.3,-0.9,0.6
Mark West,30,82,1957,14.6,0.665,0.0,0.539,10.1,20.9,15.7,2.4,0.8,4.7,15.4,11.6,,3.4,3.1,6.5,0.16,,-0.5,1.5,1.0,1.5
Andrew Lang,24,63,1152,13.6,0.632,0.005,0.688,11.3,17.2,14.4,2.9,0.7,6.3,15.5,10.3,,1.9,1.8,3.7,0.155,,-1.0,2.2,1.2,0.9
Kurt Rambis,32,62,900,11.4,0.5529999999999999,0.012,0.509,9.8,21.8,16.1,8.7,1.3,0.7,18.0,11.3,,0.9,1.3,2.2,0.115,,-1.1,0.9,-0.3,0.4
Negele Knight,23,64,792,12.1,0.47100000000000003,0.081,0.38299999999999995,2.9,6.7,4.9,32.6,1.2,0.5,17.4,22.4,,0.0,0.6,0.6,0.037000000000000005,,-0.9,-1.7,-2.7,-0.1
Cedric Ceballos,21,63,730,17.8,0.527,0.013999999999999999,0.396,12.1,10.4,11.2,7.7,1.4,0.4,12.3,31.3,,0.6,0.7,1.3,0.085,,0.3,-2.5,-2.1,0.0
Tim Perry,25,46,587,13.8,0.552,0.035,0.486,10.4,12.9,11.7,5.9,1.9,4.2,15.5,14.4,,0.5,0.9,1.4,0.11599999999999999,,-0.6,1.3,0.7,0.4
Ed Nealy,30,55,573,11.3,0.541,0.165,0.392,8.8,19.4,14.4,7.6,2.0,0.4,14.3,9.4,,0.6,0.8,1.5,0.122,,-0.3,1.4,1.1,0.4
Eddie Johnson,31,15,312,14.5,0.511,0.113,0.156,5.9,10.0,8.1,8.7,1.4,0.4,10.8,29.1,,0.0,0.3,0.3,0.051,,-1.0,-2.2,-3.2,-0.1
Kenny Battle,26,16,263,12.8,0.486,0.023,0.337,9.2,12.7,11.0,7.5,3.4,1.3,14.7,17.9,,0.0,0.4,0.4,0.081,,-1.5,1.2,-0.3,0.1
Joe Barry Carroll,32,11,96,8.6,0.44799999999999995,0.0,0.33299999999999996,3.6,22.8,13.7,14.9,0.5,4.8,22.5,22.6,,-0.2,0.2,0.0,-0.013999999999999999,,-6.8,1.5,-5.3,-0.1
Ian Lockhart,23,1,2,76.3,1.064,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,,0.0,0.0,0.0,1.084,,31.5,8.4,39.9,0.0
