SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1991,10,GSW,4,Vincent Askew,SG,6-6,210,1966-02-28,US,1,Memphis
1991,10,GSW,20,Mario Elie,SF,6-5,210,1963-11-26,US,R,American International College
1991,10,GSW,10,Tim Hardaway,PG,6-0,175,1966-09-01,US,1,Texas-El Paso
1991,10,GSW,22,Rod Higgins,SF,6-7,200,1960-01-31,US,8,Fresno State
1991,10,GSW,32,Tyrone Hill,PF,6-9,240,1968-03-19,US,R,Xavier
1991,10,GSW,51,Les Jepsen,C,7-0,237,1967-06-24,US,R,Iowa
1991,10,GSW,33,Steve Johnson,C,6-10,235,1957-11-03,US,9,Oregon State
1991,10,GSW,5,Bart Kofoed,SG,6-4,210,1964-03-24,US,2,"Hastings College, University of Nebraska at Kearney"
1991,10,GSW,53,Alton Lister,C,7-0,240,1958-10-01,US,9,Arizona State
1991,10,GSW,13,Sarunas Marciulionis,SG,6-5,200,1964-06-13,LT,1,
1991,10,GSW,44,Paul Mokeski,C,7-0,250,1957-01-03,US,11,Kansas
1991,10,GSW,17,Chris Mullin,SF,6-6,200,1963-07-30,US,5,St. John's
1991,10,GSW,43,Jim Petersen,C,6-10,235,1962-02-22,US,6,Minnesota
1991,10,GSW,2,Kevin Pritchard,PG,6-3,180,1967-07-17,US,R,Kansas
1991,10,GSW,23,Mitch Richmond,SG,6-5,215,1965-06-30,US,2,Kansas State
1991,10,GSW,3,Larry Robinson,SG,6-3,180,1968-01-11,US,R,Centenary (LA)
1991,10,GSW,52,Mike Smrek,C,7-0,250,1962-08-31,CA,5,Canisius
1991,10,GSW,3-34,Tom Tolbert,PF,6-7,235,1965-10-16,US,2,"University of California, Irvine, Arizona"
