PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Reggie Lewis,26.0,82.0,3070.0,0.503,0.507,0.23800000000000002,0.505,0.851,0.55,0.245,0.015,107.0,104.0,72.0,104.0,112.0,104.0,80.0,17.0,50.6,57.9
Robert Parish,38.0,79.0,2285.0,0.535,0.535,,0.535,0.772,0.5710000000000001,0.265,0.0,113.0,110.0,,110.0,102.0,107.0,87.0,,84.9,77.7
Kevin Gamble,26.0,82.0,2496.0,0.529,0.537,0.29,0.534,0.885,0.5670000000000001,0.17300000000000001,0.034,112.0,110.0,88.0,110.0,117.0,107.0,57.0,39.0,84.8,69.6
Larry Bird,35.0,45.0,1662.0,0.466,0.478,0.406,0.5,0.9259999999999999,0.547,0.214,0.16899999999999998,99.0,98.0,123.0,103.0,122.0,103.0,70.0,193.0,19.8,26.7
Kevin McHale,34.0,56.0,1398.0,0.509,0.52,0.0,0.509,0.8220000000000001,0.5529999999999999,0.257,0.021,108.0,107.0,,105.0,108.0,104.0,84.0,23.0,28.6,30.0
Rick Fox,22.0,81.0,1535.0,0.45899999999999996,0.479,0.32899999999999996,0.48100000000000004,0.755,0.531,0.35,0.133,97.0,99.0,99.0,99.0,100.0,100.0,115.0,153.0,-6.3,0.0
Ed Pinckney,28.0,81.0,1917.0,0.537,0.5379999999999999,0.0,0.537,0.812,0.625,0.675,0.003,114.0,111.0,,110.0,107.0,118.0,221.0,3.0,37.9,92.0
John Bagley,31.0,73.0,1742.0,0.441,0.45899999999999996,0.23800000000000002,0.451,0.716,0.478,0.188,0.083,93.0,94.0,72.0,93.0,94.0,90.0,61.0,95.0,-36.8,-58.2
Dee Brown,23.0,31.0,883.0,0.426,0.439,0.22699999999999998,0.433,0.769,0.47200000000000003,0.223,0.063,90.0,90.0,69.0,89.0,101.0,89.0,73.0,72.0,-37.8,-45.4
Joe Kleine,30.0,70.0,991.0,0.491,0.491,0.5,0.498,0.708,0.519,0.16399999999999998,0.027000000000000003,104.0,101.0,151.0,102.0,93.0,98.0,54.0,31.0,6.7,-7.8
Sherman Douglas,25.0,37.0,654.0,0.455,0.469,0.111,0.457,0.68,0.509,0.451,0.040999999999999995,96.0,97.0,34.0,94.0,90.0,96.0,147.0,46.0,-13.2,-11.7
Brian Shaw,25.0,17.0,436.0,0.42700000000000005,0.446,0.0,0.42700000000000005,0.875,0.48200000000000004,0.244,0.043,90.0,92.0,,88.0,115.0,91.0,80.0,49.0,-19.7,-18.0
Rickey Green,37.0,26.0,367.0,0.447,0.455,0.25,0.451,0.722,0.478,0.175,0.039,95.0,94.0,76.0,93.0,95.0,90.0,57.0,44.0,-7.3,-11.9
Kevin Pritchard,24.0,11.0,136.0,0.47100000000000003,0.516,0.0,0.47100000000000003,0.778,0.5489999999999999,0.529,0.08800000000000001,100.0,106.0,,97.0,103.0,103.0,173.0,101.0,-1.1,1.4
Stojko Vranković,28.0,19.0,110.0,0.469,0.469,,0.469,0.583,0.496,0.375,0.0,99.0,96.0,,96.0,77.0,93.0,123.0,,-1.2,-2.6
Kenny Battle,27.0,8.0,46.0,0.75,0.75,,0.75,1.0,0.9309999999999999,2.0,0.0,159.0,154.0,,154.0,132.0,175.0,655.0,,2.1,6.0
Tony Massenburg,24.0,7.0,46.0,0.444,0.444,,0.444,0.5,0.465,0.444,0.0,94.0,91.0,,91.0,66.0,87.0,145.0,,-0.8,-1.4
Larry Robinson,24.0,1.0,6.0,0.2,0.2,,0.2,,0.2,0.0,0.0,42.0,41.0,,41.0,,38.0,,,-2.9,-3.3
Team,,,,0.495,0.505,0.318,0.503,0.8140000000000001,0.546,0.26,0.05,105.0,104.0,96.0,103.0,107.0,103.0,85.0,58.0,219.9,226.0
League Average,,,,0.47200000000000003,0.486,0.331,0.48700000000000004,0.759,0.531,0.305,0.087,,,,,,,,,,
