PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Larry Nance,33,77,2753,19.8,0.5870000000000001,0.004,0.254,8.0,19.3,13.9,12.1,1.0,4.4,9.0,19.1,,6.3,4.4,10.7,0.187,,2.0,1.6,3.6,3.9
Brad Daugherty,27,71,2691,22.0,0.635,0.002,0.54,7.3,22.9,15.5,17.3,1.0,1.3,11.7,21.1,,8.8,3.9,12.7,0.226,,4.0,0.9,4.9,4.7
Craig Ehlo,31,82,2559,14.2,0.5660000000000001,0.311,0.153,5.3,12.4,9.0,13.9,2.1,0.5,12.9,16.7,,3.0,3.1,6.2,0.11599999999999999,,0.7,0.6,1.2,2.1
Mark Price,28,75,2380,22.1,0.609,0.297,0.309,1.9,7.6,4.8,38.1,1.9,0.3,14.9,24.5,,7.4,2.3,9.8,0.19699999999999998,,5.8,-0.6,5.3,4.4
Gerald Wilkins,29,80,2079,12.9,0.508,0.073,0.22699999999999998,4.3,7.4,5.9,12.8,1.9,0.5,9.7,20.7,,1.4,2.1,3.5,0.08,,-1.8,-0.5,-2.2,-0.1
Hot Rod Williams,30,67,2055,13.7,0.535,0.0,0.529,7.4,15.4,11.6,10.1,1.2,3.1,14.4,17.4,,1.7,2.8,4.5,0.105,,-1.0,0.8,-0.1,0.9
Terrell Brandon,22,82,1622,16.7,0.53,0.068,0.23,2.7,9.6,6.3,27.4,2.5,1.0,13.5,21.6,,1.9,2.1,3.9,0.11699999999999999,,0.5,0.8,1.3,1.3
Danny Ferry,26,76,1461,14.0,0.563,0.179,0.24600000000000002,6.6,14.9,10.9,13.2,1.0,2.0,14.0,18.0,,1.8,1.8,3.6,0.11800000000000001,,-0.4,0.2,-0.2,0.7
Mike Sanders,32,53,1189,11.8,0.528,0.01,0.19699999999999998,5.2,10.9,8.2,9.0,1.7,1.5,11.7,18.2,,0.6,1.4,2.0,0.08,,-2.4,0.1,-2.3,-0.1
John Battle,30,41,497,11.1,0.48100000000000004,0.03,0.36,1.0,5.5,3.3,15.6,0.9,0.6,8.7,22.6,,0.1,0.3,0.5,0.047,,-3.2,-1.6,-4.8,-0.4
Jay Guidinger,23,32,215,9.6,0.386,0.0,0.455,14.5,19.4,17.1,10.2,2.1,2.8,13.2,15.7,,-0.1,0.4,0.3,0.067,,-5.9,0.8,-5.1,-0.2
Jerome Lane,26,21,149,18.1,0.47,0.0,0.37,19.3,21.4,20.4,16.7,4.1,1.2,10.0,20.8,,0.2,0.3,0.5,0.155,,-1.5,1.5,-0.1,0.1
Bobby Phills,23,31,139,14.2,0.5,0.061,0.305,5.2,8.7,7.0,12.2,3.6,0.9,16.2,35.4,,-0.3,0.2,-0.1,-0.027000000000000003,,-5.5,-1.1,-6.6,-0.2
Steve Kerr,27,5,41,17.5,0.551,0.2,0.2,0.0,18.8,9.8,36.2,2.5,0.0,15.5,13.9,,0.1,0.1,0.1,0.168,,-0.2,2.0,1.8,0.0
