PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Derrick McKey,27,16,16,36.7,3.6,8.9,0.408,0.5,1.5,0.33299999999999996,3.1,7.4,0.424,0.43700000000000006,1.9,2.9,0.66,2.0,4.1,6.1,4.2,1.6,0.6,2.5,3.7,9.7
Dale Davis,24,16,16,36.1,3.5,6.6,0.528,0.0,0.1,0.0,3.5,6.6,0.5329999999999999,0.528,0.7,2.3,0.306,3.9,6.0,9.9,0.7,1.1,1.1,1.9,3.3,7.7
Reggie Miller,28,16,16,36.0,7.6,16.9,0.44799999999999995,2.2,5.2,0.42200000000000004,5.4,11.7,0.46,0.513,5.9,7.0,0.8390000000000001,0.7,2.3,3.0,2.9,1.3,0.3,2.0,2.1,23.2
Haywoode Workman,28,16,15,31.9,2.8,8.2,0.344,0.4,1.3,0.28600000000000003,2.4,6.9,0.355,0.366,2.0,2.4,0.8420000000000001,0.7,2.5,3.2,7.0,1.8,0.1,2.4,2.5,8.0
Rik Smits,27,16,16,28.1,6.4,13.6,0.47200000000000003,0.0,0.0,,6.4,13.6,0.47200000000000003,0.47200000000000003,3.1,3.9,0.8059999999999999,1.4,3.8,5.3,1.9,0.6,0.6,2.7,4.0,16.0
Antonio Davis,25,16,0,25.1,3.0,5.6,0.539,0.1,0.1,1.0,2.9,5.5,0.534,0.545,2.4,4.3,0.5589999999999999,2.3,4.3,6.6,0.4,0.7,1.1,1.4,2.9,8.4
Vern Fleming,31,16,1,15.4,2.4,4.8,0.513,0.0,0.3,0.0,2.4,4.4,0.5489999999999999,0.513,1.1,1.3,0.85,0.8,0.6,1.3,2.4,0.6,0.1,1.4,1.7,5.9
Byron Scott,32,16,0,14.9,2.4,6.0,0.396,0.6,1.2,0.474,1.8,4.8,0.377,0.44299999999999995,2.5,3.2,0.784,0.6,1.4,2.1,1.3,0.8,0.1,1.6,1.4,7.8
Kenny Williams,24,12,0,7.6,0.8,2.1,0.36,0.0,0.0,,0.8,2.1,0.36,0.36,0.2,0.2,1.0,0.5,0.9,1.4,0.4,0.4,0.3,0.4,1.5,1.7
Sam Mitchell,30,15,0,6.6,0.6,1.7,0.34600000000000003,0.0,0.1,0.0,0.6,1.7,0.36,0.34600000000000003,0.2,0.3,0.75,0.3,0.8,1.1,0.3,0.1,0.1,0.3,1.5,1.4
LaSalle Thompson,32,7,0,5.6,0.6,1.6,0.364,0.0,0.0,,0.6,1.6,0.364,0.364,0.3,0.4,0.667,0.4,1.0,1.4,0.7,0.4,0.1,0.6,1.3,1.4
Lester Conner,34,6,0,3.7,0.3,0.8,0.4,0.0,0.0,,0.3,0.8,0.4,0.4,0.3,0.3,1.0,0.2,0.5,0.7,0.0,0.2,0.0,0.0,0.3,1.0
