PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Christian Laettner,24,70,67,34.7,5.7,12.6,0.44799999999999995,0.1,0.4,0.24,5.6,12.3,0.455,0.452,5.4,6.8,0.7829999999999999,2.3,6.3,8.6,4.4,1.2,1.2,3.7,3.8,16.8
Micheal Williams,27,71,66,31.1,4.4,9.7,0.457,0.1,0.6,0.222,4.3,9.0,0.474,0.46399999999999997,4.7,5.6,0.8390000000000001,0.9,2.2,3.1,7.2,1.7,0.3,2.9,2.7,13.7
Isaiah Rider,22,79,60,30.6,6.6,14.1,0.46799999999999997,0.7,1.9,0.36,5.9,12.2,0.485,0.49200000000000005,2.7,3.4,0.8109999999999999,1.5,2.5,4.0,2.6,0.7,0.4,2.8,2.5,16.6
Doug West,26,72,61,30.3,6.0,12.4,0.48700000000000004,0.0,0.1,0.125,6.0,12.3,0.49,0.488,2.6,3.2,0.81,0.8,2.4,3.2,2.4,0.9,0.3,1.9,3.3,14.7
Stacey King,27,18,15,28.7,4.3,9.4,0.45899999999999996,0.0,0.0,,4.3,9.4,0.45899999999999996,0.45899999999999996,3.2,4.6,0.687,2.2,3.8,6.1,1.1,0.7,1.7,2.2,3.2,11.8
Chuck Person,29,77,37,26.4,4.6,10.9,0.42200000000000004,1.3,3.5,0.368,3.3,7.4,0.44799999999999995,0.48200000000000004,1.1,1.4,0.759,0.7,2.6,3.3,2.4,0.6,0.2,1.6,2.1,11.6
Mike Brown,30,82,40,23.4,1.4,3.2,0.42700000000000005,0.0,0.0,0.0,1.4,3.1,0.43,0.42700000000000005,0.9,1.4,0.653,1.5,4.0,5.5,0.9,0.6,0.4,0.9,2.7,3.6
Luc Longley,25,49,29,20.2,2.7,5.9,0.46399999999999997,0.0,0.0,0.0,2.7,5.9,0.465,0.46399999999999997,1.1,1.6,0.7,1.8,4.2,6.0,0.9,0.7,1.2,1.6,2.7,6.6
Chris Smith,23,80,16,20.2,2.3,5.3,0.435,0.1,0.5,0.256,2.2,4.8,0.45299999999999996,0.447,1.2,1.8,0.674,0.2,1.3,1.5,3.6,0.5,0.2,1.3,1.6,5.9
Thurl Bailey,32,79,3,16.4,2.9,5.8,0.51,0.0,0.0,0.0,2.9,5.7,0.512,0.51,1.5,1.9,0.799,0.8,1.9,2.7,0.7,0.3,0.7,0.7,1.2,7.4
Tellis Frank,28,67,11,14.3,1.0,2.4,0.419,0.0,0.0,0.0,1.0,2.4,0.424,0.419,0.8,1.1,0.711,1.2,2.0,3.3,0.9,0.5,0.5,0.7,2.4,2.8
Corey Williams,23,4,0,11.5,1.3,3.3,0.385,0.0,0.3,0.0,1.3,3.0,0.41700000000000004,0.385,0.3,0.3,1.0,0.3,1.3,1.5,1.5,0.5,0.0,0.5,1.5,2.8
Marlon Maxey,24,55,2,11.4,1.6,3.0,0.5329999999999999,0.0,0.0,0.0,1.6,3.0,0.539,0.5329999999999999,1.3,1.8,0.7140000000000001,1.4,2.3,3.6,0.2,0.3,0.6,0.7,2.1,4.5
Andrés Guibert,25,5,0,6.6,1.2,4.0,0.3,0.0,0.0,,1.2,4.0,0.3,0.3,0.6,1.2,0.5,2.0,1.2,3.2,0.4,0.0,0.2,1.2,1.2,3.0
Brian Davis,23,68,3,5.5,0.6,1.9,0.317,0.0,0.0,0.33299999999999996,0.6,1.8,0.317,0.321,0.7,1.0,0.735,0.3,0.5,0.8,0.3,0.2,0.1,0.3,0.5,1.9
Stanley Jackson,23,17,0,5.4,1.0,1.9,0.515,0.1,0.3,0.2,0.9,1.6,0.5710000000000001,0.53,0.2,0.2,1.0,0.7,0.9,1.6,0.9,0.3,0.0,0.6,0.8,2.2
