PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Christian Laettner,25,81,2770,17.7,0.58,0.043,0.5429999999999999,7.3,19.7,13.6,15.5,1.9,2.4,16.5,22.5,,3.6,2.6,6.2,0.10800000000000001,,0.7,0.4,1.1,2.2
Isaiah Rider,23,75,2645,15.6,0.5479999999999999,0.317,0.271,4.2,7.3,5.8,18.7,1.4,0.7,14.2,28.2,,1.4,0.4,1.9,0.034,,2.0,-2.5,-0.5,1.0
Sean Rooks,25,80,2405,12.6,0.555,0.008,0.62,8.5,16.2,12.4,6.9,0.6,2.2,15.4,17.6,,1.9,1.1,3.0,0.06,,-1.5,-1.5,-3.0,-0.6
Doug West,27,71,2328,11.6,0.528,0.08,0.32299999999999995,3.2,8.7,6.0,14.3,1.5,0.8,12.6,19.6,,1.2,0.6,1.8,0.038,,-2.2,-1.2,-3.4,-0.8
Winston Garland,30,73,1931,10.1,0.488,0.183,0.273,3.1,7.5,5.3,26.7,1.9,0.5,18.6,13.4,,0.6,0.6,1.2,0.03,,-2.2,-0.3,-2.6,-0.3
Chris Smith,24,64,1073,11.2,0.5479999999999999,0.409,0.239,1.6,6.7,4.2,22.8,1.6,1.5,14.6,14.6,,1.0,0.3,1.2,0.055999999999999994,,-0.7,-0.5,-1.1,0.2
Donyell Marshall,21,40,1036,12.7,0.452,0.251,0.28800000000000003,7.7,15.5,11.6,9.9,1.3,3.6,10.8,23.6,,-0.8,0.7,-0.1,-0.005,,-1.3,-1.5,-2.8,-0.2
Tom Gugliotta,25,31,1018,18.4,0.542,0.24600000000000002,0.342,6.0,20.6,13.4,25.0,3.1,2.1,16.5,22.1,,0.8,1.3,2.1,0.09699999999999999,,2.2,1.4,3.6,1.4
Pat Durham,27,59,852,12.2,0.541,0.11,0.405,5.4,8.1,6.8,10.9,2.2,2.8,13.9,17.4,,0.4,0.5,0.9,0.051,,-1.6,0.5,-1.2,0.2
Greg Foster,26,61,845,10.3,0.526,0.099,0.345,9.8,19.8,14.9,4.7,0.8,1.8,16.8,17.4,,-0.1,0.6,0.5,0.028999999999999998,,-3.8,-1.6,-5.4,-0.7
Darrick Martin,23,34,803,10.3,0.485,0.163,0.27899999999999997,2.2,7.6,4.9,28.2,2.2,0.0,19.2,18.4,,-0.2,0.3,0.1,0.004,,-3.1,-1.2,-4.4,-0.5
Stacey King,28,50,792,9.5,0.518,0.005,0.48100000000000004,8.5,17.0,12.8,5.7,1.6,1.9,19.9,18.5,,-0.5,0.6,0.1,0.003,,-4.7,-1.2,-5.9,-0.8
Howard Eisley,22,34,496,6.6,0.461,0.305,0.381,2.5,7.8,5.2,24.6,1.9,0.8,25.5,15.2,,-0.5,0.2,-0.3,-0.028999999999999998,,-5.3,-1.1,-6.5,-0.6
Charles Shackleford,28,21,239,16.6,0.637,0.0,0.308,8.3,25.9,17.2,6.2,1.8,1.9,9.8,15.6,,0.5,0.3,0.8,0.16,,-1.2,0.8,-0.4,0.1
Mike Brown,31,27,213,1.8,0.337,0.025,0.675,5.2,20.5,13.0,7.1,1.7,0.0,23.6,14.6,,-0.6,0.2,-0.4,-0.09699999999999999,,-8.6,-1.5,-10.1,-0.4
Andrés Guibert,26,17,167,8.3,0.406,0.085,0.40399999999999997,11.9,21.1,16.5,9.8,2.5,0.4,17.8,18.4,,-0.2,0.2,-0.1,-0.02,,-5.2,-1.6,-6.8,-0.2
Askia Jones,23,11,139,8.3,0.441,0.273,0.364,5.4,4.4,4.9,19.3,2.3,0.0,15.0,19.7,,-0.1,0.0,-0.1,-0.021,,-4.3,-2.1,-6.4,-0.2
Micheal Williams,28,1,28,5.2,0.484,0.0,1.25,0.0,4.3,2.2,16.0,3.8,0.0,32.6,15.0,,-0.1,0.0,0.0,-0.057,,-7.1,-0.8,-8.0,0.0
