PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Grant Hill,22,70,69,2678,6.8,14.3,0.47700000000000004,0.1,0.4,0.14800000000000002,6.8,13.9,0.486,5.0,6.9,0.732,1.7,4.3,6.0,4.7,1.7,0.8,2.7,2.7,18.7
Joe Dumars,31,67,67,2544,5.9,13.7,0.43,1.5,4.8,0.305,4.4,8.9,0.49700000000000005,3.9,4.9,0.805,0.7,1.6,2.2,5.2,1.0,0.1,3.1,2.2,17.2
Terry Mills,27,72,69,2514,6.0,13.4,0.447,1.6,4.1,0.382,4.4,9.3,0.475,2.5,3.1,0.799,1.8,6.2,8.0,2.3,1.0,0.5,2.1,3.6,16.0
Allan Houston,23,76,39,1996,7.2,15.5,0.46299999999999997,2.8,6.7,0.424,4.3,8.8,0.494,2.7,3.1,0.86,0.5,2.5,3.0,3.0,1.1,0.3,2.0,3.3,19.9
Rafael Addison,30,79,16,1776,5.7,11.9,0.47600000000000003,0.5,1.7,0.289,5.2,10.2,0.507,1.5,2.0,0.747,1.4,3.5,4.9,2.2,1.1,0.5,1.5,4.8,13.3
Oliver Miller,24,64,22,1558,5.4,9.7,0.555,0.1,0.3,0.231,5.3,9.4,0.565,1.8,2.9,0.629,3.7,7.2,11.0,2.1,1.4,2.7,2.7,5.0,12.6
Mark West,34,67,58,1543,5.1,9.1,0.556,0.0,0.0,,5.1,9.1,0.556,1.5,3.2,0.478,3.7,5.8,9.5,0.4,0.6,2.4,2.0,5.8,11.7
Johnny Dawkins,31,50,9,1170,3.8,8.3,0.46299999999999997,0.8,2.2,0.342,3.1,6.1,0.508,1.5,1.7,0.909,0.9,2.6,3.5,6.3,1.6,0.0,2.6,2.3,10.0
Lindsey Hunter,24,42,26,944,4.5,12.1,0.374,1.4,4.1,0.33299999999999996,3.2,8.0,0.395,1.5,2.1,0.727,0.9,1.9,2.9,6.1,1.9,0.3,3.0,3.6,12.0
Mark Macon,25,55,6,721,5.0,13.2,0.381,1.0,3.1,0.32299999999999995,4.0,10.1,0.39899999999999997,2.7,3.4,0.794,1.4,2.3,3.8,3.1,3.3,0.0,2.0,4.8,13.8
Negele Knight,27,44,17,665,4.2,10.8,0.392,0.6,1.5,0.39299999999999996,3.6,9.3,0.392,0.8,1.1,0.667,1.1,2.1,3.1,6.3,1.1,0.3,2.4,3.5,9.8
Eric Leckner,28,57,11,623,5.0,9.5,0.527,0.0,0.1,0.0,5.0,9.4,0.534,2.9,4.2,0.708,2.7,7.3,10.1,0.8,0.9,0.9,2.3,7.0,13.0
Bill Curley,22,53,1,595,3.5,8.1,0.433,0.0,0.0,,3.5,8.1,0.433,1.6,2.2,0.75,3.3,4.2,7.5,1.5,1.3,1.3,1.5,7.7,8.7
Ivano Newbill,24,34,0,331,1.7,4.9,0.35600000000000004,0.0,0.0,,1.7,4.9,0.35600000000000004,0.9,2.4,0.364,4.4,4.5,8.8,1.8,1.3,1.2,1.3,6.5,4.4
Walter Bond,25,5,0,51,2.1,8.5,0.25,0.7,2.8,0.25,1.4,5.6,0.25,2.1,2.8,0.75,0.7,2.8,3.5,4.9,0.7,0.0,2.1,7.1,7.1
Mike Peplowski,24,6,0,21,8.6,8.6,1.0,0.0,0.0,,8.6,8.6,1.0,1.7,3.4,0.5,1.7,3.4,5.1,1.7,1.7,0.0,3.4,17.1,18.9
