PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Latrell Sprewell,24,69,69,40.2,7.1,17.0,0.418,1.3,4.7,0.276,5.8,12.2,0.473,0.457,5.1,6.5,0.7809999999999999,0.8,2.9,3.7,4.0,1.6,0.7,3.3,1.6,20.6
Tim Hardaway,28,62,62,37.4,6.9,16.2,0.42700000000000005,2.7,7.2,0.37799999999999995,4.2,9.1,0.465,0.51,3.5,4.6,0.76,0.7,2.3,3.1,9.3,1.4,0.2,3.5,2.5,20.1
Chris Mullin,31,25,23,35.6,6.8,13.9,0.489,1.7,3.7,0.452,5.1,10.2,0.502,0.5489999999999999,3.8,4.3,0.879,1.0,3.6,4.6,5.0,1.5,0.8,3.7,2.1,19.0
Tom Gugliotta,25,40,40,33.1,4.4,9.9,0.44299999999999995,0.7,2.3,0.311,3.7,7.7,0.48200000000000004,0.479,1.4,2.4,0.5670000000000001,2.5,4.9,7.4,3.1,1.3,0.6,2.3,2.5,10.9
Donyell Marshall,21,32,23,32.8,5.8,14.2,0.413,1.2,4.3,0.27,4.7,9.9,0.475,0.45399999999999996,2.0,3.1,0.64,2.3,4.3,6.5,1.5,0.6,1.2,1.8,2.9,14.8
Rony Seikaly,29,36,35,28.8,4.5,8.7,0.516,0.0,0.0,,4.5,8.7,0.516,0.516,3.1,4.4,0.6940000000000001,2.1,5.3,7.4,1.3,0.6,1.0,2.9,3.4,12.1
Chris Gatling,27,58,22,25.3,5.6,8.8,0.633,0.0,0.0,0.0,5.6,8.8,0.634,0.633,2.6,4.3,0.5920000000000001,2.5,5.2,7.6,0.9,0.7,0.9,2.0,3.2,13.7
Ricky Pierce,35,27,6,24.9,4.1,9.4,0.43700000000000006,0.9,2.6,0.32899999999999996,3.3,6.8,0.478,0.48200000000000004,3.4,3.9,0.877,0.4,1.9,2.4,1.5,0.8,0.1,0.9,1.4,12.5
Victor Alexander,25,50,29,24.7,4.6,8.9,0.515,0.1,0.5,0.24,4.5,8.4,0.531,0.521,0.7,1.2,0.6,1.7,4.1,5.8,1.2,0.6,0.6,1.5,2.9,10.0
Clifford Rozier,22,66,34,22.6,2.9,5.9,0.485,0.0,0.1,0.28600000000000003,2.8,5.8,0.488,0.48700000000000004,1.0,2.3,0.447,3.0,4.3,7.4,0.7,0.5,0.6,1.3,3.0,6.8
Keith Jennings,26,80,24,21.5,2.4,5.3,0.447,0.9,2.6,0.368,1.4,2.8,0.52,0.535,1.7,1.9,0.8759999999999999,0.3,1.5,1.9,4.7,1.2,0.0,1.5,1.7,7.4
Carlos Rogers,23,49,18,20.8,3.7,6.9,0.529,0.0,0.3,0.14300000000000002,3.6,6.7,0.546,0.532,1.6,3.0,0.521,2.2,3.5,5.7,0.8,0.4,1.1,1.7,2.5,8.9
Ryan Lorthridge,22,37,2,18.2,2.9,6.0,0.475,0.1,0.4,0.214,2.8,5.6,0.493,0.48200000000000004,1.5,2.4,0.648,0.6,1.3,1.9,2.7,0.8,0.0,1.5,1.1,7.4
David Wood,30,78,13,17.1,2.0,4.2,0.469,0.4,1.2,0.341,1.6,3.0,0.519,0.517,1.2,1.5,0.778,1.1,2.0,3.1,0.8,0.4,0.2,0.7,2.8,5.5
Manute Bol,32,5,2,16.2,1.2,2.0,0.6,0.6,1.0,0.6,0.6,1.0,0.6,0.75,0.0,0.0,,0.2,2.2,2.4,0.0,0.0,1.8,0.2,2.0,3.0
Tim Legler,28,24,0,15.5,2.5,4.8,0.522,1.1,2.1,0.52,1.4,2.7,0.523,0.635,1.3,1.4,0.882,0.5,1.2,1.7,1.1,0.5,0.0,0.8,1.4,7.3
Dwayne Morton,23,41,6,9.6,1.2,3.1,0.38799999999999996,0.2,0.6,0.36,1.0,2.5,0.39399999999999996,0.42200000000000004,1.4,2.1,0.682,0.5,0.9,1.4,0.4,0.3,0.4,0.7,1.1,4.1
Rod Higgins,35,5,2,9.2,0.6,2.4,0.25,0.2,1.2,0.16699999999999998,0.4,1.2,0.33299999999999996,0.292,0.6,0.8,0.75,0.8,0.6,1.4,0.6,0.2,0.2,0.2,1.4,2.0
