PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Grant Hill,22.0,70,69.0,2678,508,1064,0.47700000000000004,4,27,0.14800000000000002,504,1037,0.486,0.479,374,511,0.732,125,320,445,353,124,62,202,203,1394
Joe Dumars,31.0,67,67.0,2544,417,970,0.43,103,338,0.305,314,632,0.49700000000000005,0.483,277,344,0.805,47,111,158,368,72,7,219,153,1214
Terry Mills,27.0,72,69.0,2514,417,933,0.447,109,285,0.382,308,648,0.475,0.505,175,219,0.799,124,434,558,160,68,33,144,253,1118
Allan Houston,23.0,76,39.0,1996,398,859,0.46299999999999997,158,373,0.424,240,486,0.494,0.555,147,171,0.86,29,138,167,164,61,14,113,182,1101
Rafael Addison,30.0,79,16.0,1776,279,586,0.47600000000000003,24,83,0.289,255,503,0.507,0.49700000000000005,74,99,0.747,67,175,242,109,53,25,76,236,656
Oliver Miller,24.0,64,22.0,1558,232,418,0.555,3,13,0.231,229,405,0.565,0.5589999999999999,78,124,0.629,162,313,475,93,60,116,115,217,545
Mark West,34.0,67,58.0,1543,217,390,0.556,0,0,,217,390,0.556,0.556,66,138,0.478,160,248,408,18,27,102,85,247,500
Johnny Dawkins,31.0,50,9.0,1170,125,270,0.46299999999999997,25,73,0.342,100,197,0.508,0.509,50,55,0.909,28,85,113,205,52,1,86,74,325
Lindsey Hunter,24.0,42,26.0,944,119,318,0.374,36,108,0.33299999999999996,83,210,0.395,0.431,40,55,0.727,24,51,75,159,51,7,79,94,314
Mark Macon,25.0,55,6.0,721,101,265,0.381,20,62,0.32299999999999995,81,203,0.39899999999999997,0.419,54,68,0.794,29,47,76,63,67,1,41,97,276
Negele Knight,27.0,44,17.0,665,78,199,0.392,11,28,0.39299999999999996,67,171,0.392,0.42,14,21,0.667,20,38,58,116,20,5,45,65,181
Eric Leckner,28.0,57,11.0,623,87,165,0.527,0,2,0.0,87,163,0.534,0.527,51,72,0.708,47,127,174,14,15,15,39,122,225
Bill Curley,22.0,53,1.0,595,58,134,0.433,0,0,,58,134,0.433,0.433,27,36,0.75,54,70,124,25,21,21,25,128,143
Ivano Newbill,24.0,34,0.0,331,16,45,0.35600000000000004,0,0,,16,45,0.35600000000000004,0.35600000000000004,8,22,0.364,40,41,81,17,12,11,12,60,40
Walter Bond,25.0,5,0.0,51,3,12,0.25,1,4,0.25,2,8,0.25,0.292,3,4,0.75,1,4,5,7,1,0,3,10,10
Mike Peplowski,24.0,6,0.0,21,5,5,1.0,0,0,,5,5,1.0,1.0,1,2,0.5,1,2,3,1,1,0,2,10,11
Team Totals,,82,,19730,3060,6633,0.461,494,1396,0.354,2566,5237,0.49,0.499,1439,1941,0.741,958,2204,3162,1872,705,420,1318,2151,8053
