PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Karl Malone,32,82,82,38.0,9.6,18.5,0.519,0.2,0.5,0.4,9.4,18.0,0.522,0.524,6.2,8.6,0.723,2.1,7.7,9.8,4.2,1.7,0.7,2.4,3.0,25.7
John Stockton,33,82,82,35.5,5.4,10.0,0.5379999999999999,1.2,2.7,0.42200000000000004,4.2,7.2,0.5820000000000001,0.596,2.9,3.4,0.83,0.7,2.1,2.8,11.2,1.7,0.2,3.0,2.5,14.7
Jeff Hornacek,32,82,59,31.6,5.4,10.7,0.502,1.3,2.7,0.466,4.1,8.0,0.514,0.561,3.2,3.5,0.893,0.8,1.8,2.5,4.1,1.3,0.2,1.5,2.1,15.2
David Benoit,27,81,63,24.2,3.1,7.2,0.439,0.8,2.4,0.33299999999999996,2.4,4.8,0.491,0.494,1.1,1.4,0.777,1.1,3.6,4.7,1.0,0.5,0.6,0.9,2.0,8.2
Chris Morris,30,66,33,21.6,4.0,9.2,0.43700000000000006,1.0,3.0,0.32,3.1,6.2,0.494,0.489,1.5,1.9,0.772,1.5,2.0,3.5,1.2,1.0,0.3,1.1,2.1,10.5
Adam Keefe,25,82,0,20.8,2.2,4.2,0.52,0.0,0.0,0.0,2.2,4.2,0.526,0.52,1.7,2.5,0.6920000000000001,2.1,3.4,5.5,0.8,0.6,0.5,1.1,2.1,6.1
Antoine Carr,34,80,0,19.2,2.9,6.4,0.457,0.0,0.0,0.0,2.9,6.3,0.46,0.457,1.4,1.8,0.792,0.9,1.6,2.5,0.9,0.4,0.8,1.0,3.2,7.3
Felton Spencer,28,71,70,17.8,2.1,4.0,0.52,0.0,0.0,,2.1,4.0,0.52,0.52,1.5,2.1,0.6890000000000001,1.4,2.9,4.3,0.2,0.3,0.8,1.1,3.4,5.6
Howard Eisley,23,65,0,14.8,1.6,3.7,0.43,0.2,1.0,0.226,1.4,2.8,0.5,0.45899999999999996,1.0,1.2,0.8440000000000001,0.3,0.9,1.2,2.2,0.4,0.0,1.2,2.0,4.4
Jamie Watson,23,16,0,13.6,1.1,2.7,0.419,0.2,0.4,0.429,0.9,2.3,0.41700000000000004,0.45299999999999996,0.6,0.8,0.6920000000000001,0.3,1.4,1.7,1.5,0.5,0.1,1.1,1.9,3.0
Greg Ostertag,22,57,10,11.6,1.5,3.2,0.473,0.0,0.0,,1.5,3.2,0.473,0.473,0.6,0.9,0.667,1.0,2.1,3.1,0.1,0.1,1.1,0.4,1.6,3.6
Greg Foster,27,73,2,11.0,1.5,3.3,0.439,0.0,0.1,0.125,1.5,3.2,0.449,0.441,0.8,1.0,0.847,0.7,1.7,2.4,0.3,0.1,0.3,0.8,1.6,3.8
Bryon Russell,25,59,9,9.8,0.9,2.4,0.39399999999999996,0.2,0.7,0.35,0.7,1.7,0.41200000000000003,0.444,0.8,1.1,0.716,0.5,1.1,1.5,0.5,0.5,0.1,0.6,1.1,2.9
Andy Toolson,30,13,0,4.1,0.6,1.7,0.364,0.2,0.9,0.25,0.4,0.8,0.5,0.43200000000000005,0.2,0.3,0.75,0.0,0.5,0.5,0.1,0.0,0.0,0.2,0.9,1.7
