PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jerry Stackhouse,22,81,81,3166,6.1,14.9,0.40700000000000003,1.2,3.9,0.298,4.9,11.0,0.446,5.8,7.6,0.7659999999999999,1.8,2.1,3.8,2.9,1.1,0.7,3.6,2.5,19.1
Allen Iverson,21,76,74,3045,7.4,17.8,0.41600000000000004,1.8,5.4,0.341,5.6,12.4,0.44799999999999995,4.5,6.4,0.7020000000000001,1.4,2.3,3.7,6.7,1.9,0.3,4.0,2.8,21.1
Clarence Weatherspoon,26,82,82,2949,4.9,9.9,0.491,0.0,0.1,0.16699999999999998,4.8,9.8,0.493,2.5,3.4,0.738,2.7,5.6,8.3,1.7,0.9,1.0,1.7,2.3,12.2
Derrick Coleman,29,57,54,2102,6.2,14.3,0.435,0.5,2.0,0.26899999999999996,5.7,12.3,0.46299999999999997,4.7,6.3,0.745,2.7,7.1,9.8,3.3,0.9,1.3,3.2,2.8,17.7
Mark Davis,23,75,17,1705,5.3,11.3,0.469,0.5,2.0,0.258,4.8,9.3,0.514,2.4,3.5,0.6729999999999999,2.9,3.9,6.8,2.9,1.8,0.7,2.5,4.9,13.5
Scott Williams,28,62,52,1317,4.4,8.7,0.509,0.0,0.1,0.0,4.4,8.6,0.513,1.0,1.5,0.691,4.2,6.6,10.9,1.1,1.2,1.1,1.4,5.6,9.9
Michael Cage,35,82,24,1247,1.9,4.1,0.46799999999999997,0.0,0.0,,1.9,4.1,0.46799999999999997,0.5,1.2,0.46299999999999997,3.2,6.0,9.2,1.2,1.4,1.2,0.5,3.4,4.4
Rex Walters,26,59,16,1041,5.1,11.2,0.455,2.0,5.1,0.385,3.1,6.1,0.514,1.7,2.1,0.79,0.7,3.0,3.7,3.9,1.0,0.1,2.1,2.6,13.9
Lucious Harris,26,54,3,813,5.0,13.0,0.381,1.6,4.4,0.364,3.4,8.6,0.39,1.5,2.1,0.7020000000000001,1.2,1.9,3.1,2.2,1.8,0.1,1.5,2.0,13.0
Don MacLean,27,37,2,733,8.0,17.9,0.447,0.6,1.9,0.316,7.4,16.1,0.462,3.1,4.8,0.66,2.0,4.9,6.9,1.8,0.6,0.5,2.3,3.5,19.7
Doug Overton,27,61,4,634,4.6,10.8,0.426,0.6,2.3,0.25,4.0,8.5,0.473,2.6,2.7,0.938,1.0,2.8,3.9,5.7,1.4,0.0,2.2,2.5,12.3
Adrian Caldwell,30,27,0,365,3.0,5.6,0.526,0.0,0.0,,3.0,5.6,0.526,1.2,3.3,0.364,3.7,7.2,10.9,0.7,0.8,0.7,1.6,5.9,7.1
Mark Hendrickson,22,29,1,301,3.8,9.2,0.41600000000000004,0.4,1.4,0.25,3.5,7.8,0.446,2.2,3.1,0.6920000000000001,4.2,6.8,11.0,0.4,1.2,0.5,1.7,3.8,10.2
Mark Bradtke,28,36,0,251,3.6,8.3,0.431,0.0,0.0,,3.6,8.3,0.431,1.3,1.9,0.6920000000000001,3.7,6.0,9.8,1.0,0.7,0.7,1.3,4.9,8.5
Frankie King,24,7,0,59,4.3,10.4,0.41200000000000003,0.6,1.2,0.5,3.7,9.2,0.4,3.1,3.1,1.0,2.4,6.1,8.5,3.1,2.4,0.0,1.8,4.3,12.2
Joe Courtney,27,4,0,52,4.2,9.7,0.429,0.0,0.0,,4.2,9.7,0.429,0.0,0.0,,3.5,2.8,6.2,0.0,0.0,0.0,0.7,5.5,8.3
