PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Jason Kidd,25.0,50.0,2060.0,0.444,0.461,0.366,0.47600000000000003,0.757,0.527,0.342,0.17600000000000002,102.0,101.0,108.0,102.0,104.0,103.0,104.0,105.0,15.1,24.5
Clifford Robinson,32.0,50.0,1740.0,0.475,0.49200000000000005,0.41700000000000004,0.521,0.6970000000000001,0.5589999999999999,0.37200000000000005,0.221,109.0,108.0,123.0,112.0,96.0,109.0,113.0,131.0,70.4,70.4
Tom Gugliotta,29.0,43.0,1563.0,0.483,0.486,0.28600000000000003,0.485,0.794,0.545,0.381,0.012,111.0,106.0,84.0,104.0,109.0,107.0,115.0,7.0,22.5,44.8
Rex Chapman,31.0,38.0,1183.0,0.359,0.364,0.35100000000000003,0.41700000000000004,0.835,0.46,0.198,0.32899999999999996,82.0,80.0,104.0,90.0,115.0,90.0,60.0,195.0,-44.3,-51.4
Danny Manning,32.0,50.0,1184.0,0.484,0.493,0.111,0.486,0.696,0.52,0.29,0.023,111.0,108.0,33.0,104.0,96.0,102.0,88.0,14.0,15.6,7.8
George McCloud,31.0,48.0,1245.0,0.43799999999999994,0.462,0.41600000000000004,0.545,0.862,0.591,0.26899999999999996,0.512,100.0,101.0,123.0,117.0,118.0,116.0,81.0,304.0,51.3,57.5
Luc Longley,30.0,39.0,933.0,0.483,0.483,,0.483,0.7759999999999999,0.524,0.262,0.0,110.0,106.0,,104.0,107.0,102.0,79.0,,10.0,8.2
Pat Garrity,22.0,39.0,538.0,0.5,0.513,0.389,0.521,0.7140000000000001,0.557,0.32899999999999996,0.106,114.0,112.0,115.0,112.0,98.0,109.0,100.0,63.0,18.7,17.9
Chris Morris,33.0,44.0,535.0,0.429,0.516,0.28600000000000003,0.483,0.87,0.544,0.309,0.376,98.0,113.0,84.0,104.0,119.0,106.0,94.0,223.0,5.3,10.9
Gerald Brown,23.0,33.0,236.0,0.371,0.38,0.3,0.38799999999999996,0.7859999999999999,0.42,0.157,0.11199999999999999,85.0,83.0,89.0,83.0,108.0,82.0,48.0,67.0,-13.9,-17.3
Toby Bailey,23.0,27.0,249.0,0.395,0.40700000000000003,0.2,0.401,0.6920000000000001,0.425,0.151,0.057999999999999996,90.0,89.0,59.0,86.0,95.0,83.0,46.0,35.0,-11.1,-15.8
Joe Kleine,37.0,31.0,374.0,0.405,0.41700000000000004,0.0,0.405,0.667,0.429,0.162,0.027000000000000003,93.0,91.0,,87.0,92.0,84.0,49.0,16.0,-8.9,-13.1
Shawn Respert,26.0,12.0,99.0,0.361,0.391,0.308,0.41700000000000004,0.7,0.45799999999999996,0.278,0.361,83.0,86.0,91.0,90.0,96.0,90.0,84.0,215.0,-3.5,-4.3
Marko Milič,21.0,11.0,53.0,0.4,0.42100000000000004,0.0,0.4,,0.4,0.0,0.05,92.0,92.0,,86.0,,78.0,,30.0,-2.6,-4.5
Randy Livingston,23.0,1.0,22.0,0.625,0.625,,0.625,1.0,0.6759999999999999,0.25,0.0,143.0,137.0,,134.0,137.0,132.0,76.0,,2.6,2.9
Alvin Sims,24.0,4.0,25.0,0.4,0.33299999999999996,1.0,0.45,0.4,0.451,0.5,0.1,92.0,73.0,295.0,97.0,55.0,88.0,152.0,59.0,-0.3,-1.5
Jimmy Oliver,29.0,2.0,11.0,0.33299999999999996,0.0,1.0,0.5,,0.5,0.0,0.33299999999999996,76.0,,295.0,107.0,,98.0,,198.0,0.2,-0.1
Team,,,,0.449,0.465,0.37200000000000005,0.48100000000000004,0.7609999999999999,0.527,0.303,0.175,103.0,102.0,110.0,103.0,104.0,103.0,92.0,104.0,127.1,137.0
League Average,,,,0.43700000000000006,0.457,0.33899999999999997,0.466,0.728,0.511,0.33,0.168,,,,,,,,,,
