PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ray Allen,23,3,3,120,7.5,14.1,0.532,2.7,5.7,0.474,4.8,8.4,0.5710000000000001,2.4,3.9,0.615,2.4,4.2,6.6,3.9,0.9,0.3,3.3,2.7,20.1
Glenn Robinson,26,3,3,118,6.4,15.6,0.41200000000000003,1.2,2.4,0.5,5.2,13.1,0.395,4.9,5.5,0.889,1.2,6.4,7.6,1.5,0.9,0.6,3.1,1.5,18.9
Sam Cassell,29,3,3,102,5.6,11.3,0.5,0.0,0.4,0.0,5.6,10.9,0.516,4.9,5.6,0.875,0.0,2.1,2.1,9.2,1.1,0.0,2.5,4.9,16.2
Ervin Johnson,31,3,2,92,2.3,5.1,0.462,0.0,0.0,,2.3,5.1,0.462,0.4,0.8,0.5,3.1,3.9,7.0,0.4,0.8,2.0,0.0,3.5,5.1
Tim Thomas,21,3,3,60,4.8,10.8,0.444,0.0,1.2,0.0,4.8,9.6,0.5,4.2,7.2,0.583,2.4,4.8,7.2,0.6,0.6,0.6,3.0,6.6,13.8
Michael Curry,30,3,0,59,4.3,7.3,0.583,0.0,0.6,0.0,4.3,6.7,0.636,3.7,3.7,1.0,0.6,1.8,2.4,1.8,1.2,0.6,1.2,4.9,12.2
Haywoode Workman,33,3,0,53,2.7,7.5,0.364,0.0,2.0,0.0,2.7,5.4,0.5,3.4,4.1,0.833,0.7,1.4,2.0,4.8,2.0,0.0,4.8,4.8,8.8
Dell Curry,34,3,0,49,1.5,11.0,0.133,0.7,5.9,0.125,0.7,5.1,0.14300000000000002,2.9,2.9,1.0,0.0,2.9,2.9,0.7,2.2,0.0,0.0,3.7,6.6
Robert Traylor,21,3,1,45,5.6,7.2,0.778,0.0,0.0,,5.6,7.2,0.778,1.6,3.2,0.5,4.8,4.8,9.6,1.6,1.6,3.2,3.2,12.0,12.8
Armen Gilliam,34,3,0,35,6.2,15.4,0.4,0.0,0.0,,6.2,15.4,0.4,5.1,5.1,1.0,0.0,5.1,5.1,1.0,2.1,1.0,1.0,4.1,17.5
Chris Gatling,31,2,0,12,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,6.0,0.0,3.0,6.0,9.0,0.0,3.0,0.0,6.0,9.0,0.0
