PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Allen Iverson,23,8,8,358,8.8,21.5,0.41100000000000003,1.5,5.3,0.28300000000000003,7.3,16.2,0.45299999999999996,3.7,5.2,0.7120000000000001,1.4,1.9,3.3,3.9,2.0,0.2,2.4,1.9,22.9
Eric Snow,25,8,8,306,4.4,10.4,0.42,0.4,1.5,0.231,4.0,8.8,0.45299999999999996,2.6,3.2,0.815,0.4,3.5,3.9,6.7,0.9,0.1,2.9,3.1,11.6
George Lynch,28,8,6,249,4.2,9.4,0.446,0.3,0.9,0.33299999999999996,3.9,8.5,0.45799999999999996,1.7,2.5,0.706,4.0,3.6,7.7,2.3,2.6,0.3,1.9,4.3,10.4
Matt Geiger,29,8,8,239,6.3,14.5,0.43799999999999994,0.0,0.2,0.0,6.3,14.3,0.442,3.6,4.4,0.828,3.5,5.7,9.2,0.9,1.4,0.9,2.0,4.4,16.3
Theo Ratliff,25,7,7,204,3.5,7.6,0.465,0.0,0.0,,3.5,7.6,0.465,1.9,3.4,0.579,4.1,4.9,9.0,1.1,0.9,3.2,1.2,3.4,9.0
Larry Hughes,20,8,2,198,5.6,14.0,0.40299999999999997,0.0,1.3,0.0,5.6,12.7,0.44299999999999995,3.6,4.4,0.833,3.1,3.6,6.7,2.9,2.7,1.6,2.2,3.8,14.9
Tyrone Hill,30,8,1,196,3.5,7.2,0.48700000000000004,0.0,0.0,,3.5,7.2,0.48700000000000004,1.3,3.5,0.368,3.5,7.3,10.8,0.0,0.6,0.4,1.1,6.1,8.3
Aaron McKie,26,6,0,97,2.6,8.5,0.304,0.0,0.4,0.0,2.6,8.2,0.318,2.2,2.6,0.857,1.5,4.1,5.6,4.1,1.5,0.0,0.4,6.3,7.4
Harvey Grant,33,4,0,29,1.2,1.2,1.0,0.0,0.0,,1.2,1.2,1.0,0.0,0.0,,1.2,3.7,5.0,0.0,0.0,1.2,0.0,1.2,2.5
Rick Mahorn,40,5,0,29,2.5,7.4,0.33299999999999996,0.0,0.0,,2.5,7.4,0.33299999999999996,1.2,2.5,0.5,2.5,7.4,9.9,1.2,1.2,0.0,1.2,7.4,6.2
Jerald Honeycutt,24,6,0,12,3.0,15.0,0.2,0.0,9.0,0.0,3.0,6.0,0.5,0.0,0.0,,3.0,0.0,3.0,0.0,0.0,0.0,3.0,9.0,6.0
Nazr Mohammed,21,3,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
