SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999,12,IND,Reggie Miller,33,50,50,1787,5.9,13.5,0.44,2.1,5.5,0.38,3.8,8.0,0.48,4.6,5.0,0.92,0.5,2.2,2.7,2.3,0.7,0.2,1.5,2.0,18.5
1999,12,IND,Mark Jackson,33,49,49,1382,3.6,8.6,0.42,0.8,2.7,0.31,2.8,5.9,0.47,1.7,2.1,0.82,0.9,3.9,4.8,10.1,1.1,0.1,2.6,1.5,9.7
1999,12,IND,Dale Davis,29,50,50,1374,4.2,7.9,0.53,0.0,0.0,,4.2,7.9,0.53,2.0,3.2,0.62,4.1,6.8,10.9,0.6,0.5,1.5,1.1,3.0,10.4
1999,12,IND,Antonio Davis,30,49,1,1271,4.6,9.9,0.47,0.0,0.0,,4.6,9.9,0.47,3.8,5.4,0.7,3.3,6.5,9.7,0.9,0.6,1.2,1.4,3.9,13.1
1999,12,IND,Rik Smits,32,49,49,1271,8.8,17.9,0.49,0.0,0.1,0.0,8.8,17.9,0.49,3.1,3.7,0.82,2.1,5.7,7.8,1.5,0.5,1.5,2.1,4.5,20.6
1999,12,IND,Jalen Rose,26,49,1,1238,5.8,14.4,0.4,0.5,1.9,0.26,5.3,12.5,0.42,3.6,4.6,0.79,1.0,3.5,4.5,2.7,1.5,0.4,2.1,3.7,15.8
1999,12,IND,Chris Mullin,35,50,50,1179,5.4,11.3,0.48,2.2,4.8,0.46,3.2,6.5,0.49,2.4,2.8,0.87,0.8,4.1,4.9,2.5,1.4,0.4,1.8,3.1,15.5
1999,12,IND,Travis Best,26,49,0,1043,4.4,10.5,0.42,0.8,2.0,0.37,3.6,8.5,0.43,2.4,2.9,0.84,0.7,2.1,2.8,5.8,1.4,0.1,2.1,3.8,11.9
1999,12,IND,Sam Perkins,37,48,0,789,3.7,9.1,0.4,1.6,4.1,0.39,2.1,5.0,0.41,2.0,2.7,0.72,1.6,4.7,6.3,1.1,0.7,0.6,1.0,3.4,10.9
1999,12,IND,Austin Croshere,23,27,0,249,4.6,10.8,0.43,1.2,4.2,0.28,3.5,6.7,0.52,2.9,3.3,0.87,2.3,4.2,6.5,1.4,1.0,1.2,3.3,4.6,13.3
1999,12,IND,Derrick McKey,32,13,0,244,3.4,7.7,0.44,0.0,0.1,0.0,3.4,7.5,0.45,2.1,2.5,0.82,2.7,3.4,6.0,1.9,1.8,0.6,1.8,3.5,8.9
1999,12,IND,Al Harrington,18,21,0,160,4.1,12.6,0.32,0.0,1.1,0.0,4.1,11.5,0.35,2.0,3.4,0.6,4.5,4.3,8.8,1.1,0.9,0.5,2.5,5.9,10.1
1999,12,IND,Fred Hoiberg,26,12,0,87,2.5,8.7,0.29,0.4,3.7,0.11,2.1,5.0,0.42,2.5,2.5,1.0,0.8,3.7,4.6,1.7,0.0,0.0,1.2,4.6,7.9
1999,12,IND,Mark Pope,26,4,0,26,1.4,9.7,0.14,0.0,5.5,0.0,1.4,4.2,0.33,0.0,1.4,0.0,2.8,2.8,5.5,0.0,0.0,0.0,1.4,8.3,2.8
