PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Allan Houston,27,20,20,783,9.7,22.0,0.44299999999999995,0.6,2.6,0.25,9.1,19.4,0.46799999999999997,6.6,7.4,0.883,0.4,3.5,3.9,3.7,0.6,0.1,3.6,2.9,26.7,,102,104
Latrell Sprewell,28,20,8,743,11.0,26.3,0.419,0.3,1.9,0.16,10.7,24.4,0.439,8.6,10.1,0.85,1.8,5.5,7.3,3.3,1.4,0.5,4.4,3.0,31.0,,98,100
Larry Johnson,29,20,20,683,7.2,16.9,0.426,2.0,6.8,0.293,5.2,10.1,0.516,2.6,3.8,0.674,1.8,6.2,8.0,2.6,1.7,0.1,2.7,5.3,19.0,,99,99
Marcus Camby,24,20,3,509,9.0,15.9,0.5660000000000001,0.0,0.1,0.0,9.0,15.8,0.57,5.0,8.1,0.616,5.7,11.3,17.0,0.7,2.7,4.2,1.7,8.4,23.0,,121,90
Chris Childs,31,20,0,494,3.8,10.6,0.355,1.0,3.2,0.321,2.7,7.4,0.369,2.2,3.0,0.731,0.9,4.5,5.4,8.4,1.5,0.1,3.4,7.3,10.8,,92,101
Charlie Ward,28,20,20,494,3.9,10.6,0.366,2.1,6.4,0.321,1.8,4.2,0.43200000000000005,0.7,0.9,0.75,1.4,3.9,5.3,8.6,4.0,0.3,2.7,5.2,10.5,,101,96
Kurt Thomas,26,20,12,419,6.1,15.9,0.381,0.0,0.0,,6.1,15.9,0.381,2.2,3.1,0.696,5.1,9.7,14.8,0.9,2.0,1.6,2.6,10.3,14.3,,89,95
Patrick Ewing,36,11,11,347,9.5,22.0,0.43,0.0,0.0,,9.5,22.0,0.43,4.6,5.9,0.778,2.3,13.4,15.6,1.0,1.1,1.3,1.6,5.7,23.5,,100,94
Chris Dudley,33,18,6,294,3.1,7.3,0.42100000000000004,0.0,0.0,,3.1,7.3,0.42100000000000004,2.1,5.4,0.39299999999999996,5.2,10.6,15.8,1.0,1.7,1.5,1.7,12.1,8.3,,96,95
Rick Brunson,26,9,0,18,6.3,15.7,0.4,0.0,0.0,,6.3,15.7,0.4,6.3,6.3,1.0,3.1,0.0,3.1,6.3,0.0,0.0,12.6,9.4,18.8,,73,107
Herb Williams,40,8,0,16,3.5,17.7,0.2,0.0,0.0,,3.5,17.7,0.2,0.0,0.0,,0.0,10.6,10.6,0.0,0.0,0.0,0.0,10.6,7.1,,47,100
