PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Shawn Kemp,30,82,82,2492,9.7,23.3,0.41700000000000004,0.0,0.1,0.33299999999999996,9.7,23.2,0.418,9.9,12.8,0.7759999999999999,4.6,9.9,14.6,2.8,2.0,1.9,5.9,7.5,29.4,,96,100
Lamond Murray,26,74,72,2365,9.8,21.6,0.451,1.1,2.9,0.36700000000000005,8.7,18.7,0.465,4.3,5.7,0.7609999999999999,2.7,6.3,9.0,2.8,2.2,0.8,3.9,4.4,24.9,,98,104
Bob Sura,26,73,45,2216,8.1,18.4,0.43700000000000006,2.8,7.5,0.36700000000000005,5.3,10.9,0.484,4.0,5.7,0.6970000000000001,1.1,5.4,6.5,6.4,2.1,0.4,3.3,4.5,22.8,,106,105
Andre Miller,23,82,36,2093,8.1,18.1,0.449,0.2,1.2,0.204,7.9,16.9,0.466,5.4,7.0,0.774,2.0,4.7,6.7,11.4,2.0,0.4,4.0,4.6,21.9,,107,105
Wesley Person,28,79,38,2056,6.8,16.0,0.428,2.6,6.1,0.424,4.2,9.9,0.431,1.5,1.9,0.792,1.1,5.4,6.5,3.6,1.0,0.5,1.5,2.9,17.7,,108,107
Andrew DeClercq,26,82,31,1831,6.2,12.1,0.508,0.0,0.0,,6.2,12.1,0.508,2.6,4.4,0.588,4.3,7.8,12.0,1.6,1.7,1.8,3.0,7.5,14.9,,100,102
Brevin Knight,24,65,46,1754,6.6,16.0,0.41200000000000003,0.1,0.3,0.2,6.5,15.7,0.41600000000000004,4.0,5.3,0.7609999999999999,1.1,4.4,5.5,13.1,3.1,0.6,4.5,5.3,17.2,,99,103
Mark Bryant,34,75,50,1712,5.1,10.1,0.503,0.0,0.0,,5.1,10.1,0.503,2.2,2.8,0.809,3.7,6.6,10.3,1.8,0.9,0.9,2.5,7.3,12.4,,103,106
Danny Ferry,33,63,3,1326,7.1,14.4,0.49700000000000005,1.2,2.8,0.44,5.9,11.5,0.511,2.0,2.2,0.912,2.1,6.9,9.0,2.5,0.8,0.9,2.1,6.8,17.5,,110,106
Cedric Henderson,24,61,7,1107,5.8,14.8,0.396,0.0,0.7,0.067,5.8,14.1,0.41200000000000003,3.1,4.7,0.6629999999999999,1.5,4.8,6.3,2.5,1.8,0.8,3.1,4.5,14.9,,86,106
Earl Boykins,23,25,0,253,10.5,22.2,0.473,1.6,4.0,0.4,8.9,18.2,0.489,3.6,4.6,0.7829999999999999,2.2,2.8,5.0,8.9,2.4,0.2,3.4,4.6,26.2,,110,106
Ryan Stack,24,25,0,198,4.3,12.9,0.33299999999999996,0.0,0.3,0.0,4.3,12.7,0.34,4.6,6.8,0.667,3.8,7.6,11.4,1.3,1.0,2.8,4.3,11.9,13.2,,79,103
Trajan Langdon,23,10,0,145,5.2,13.8,0.375,2.8,6.6,0.42100000000000004,2.4,7.3,0.33299999999999996,3.8,3.8,1.0,1.4,3.8,5.2,3.8,1.7,0.0,2.1,5.5,16.9,,111,107
Lari Ketner,22,16,0,91,5.0,12.1,0.409,0.0,0.0,,5.0,12.1,0.409,3.3,5.5,0.6,6.6,8.3,14.9,0.0,1.7,1.1,3.9,6.6,13.2,,88,103
A.J. Bramlett,23,8,0,61,3.3,17.3,0.19,0.0,0.0,,3.3,17.3,0.19,0.0,0.0,,9.9,8.2,18.1,0.0,0.8,0.0,2.5,10.7,6.6,,64,106
Mark Hendrickson,25,10,0,47,5.3,7.5,0.7140000000000001,0.0,0.0,,5.3,7.5,0.7140000000000001,2.1,2.1,1.0,2.1,9.6,11.7,3.2,2.1,1.1,3.2,7.5,12.8,,116,101
Donny Marshall,27,6,0,39,3.9,14.1,0.273,0.0,3.9,0.0,3.9,10.3,0.375,6.4,7.7,0.833,0.0,1.3,1.3,0.0,2.6,0.0,3.9,9.0,14.1,,72,107
Kornél Dávid,28,6,0,31,6.5,14.6,0.444,0.0,0.0,,6.5,14.6,0.444,4.9,6.5,0.75,6.5,6.5,12.9,1.6,6.5,1.6,3.2,11.3,17.8,,103,93
Pete Chilcutt,31,6,0,30,0.0,3.3,0.0,0.0,0.0,,0.0,3.3,0.0,0.0,0.0,,6.7,8.4,15.0,1.7,0.0,0.0,0.0,5.0,0.0,,101,107
Benoit Benjamin,35,3,0,8,6.3,18.8,0.33299999999999996,0.0,0.0,,6.3,18.8,0.33299999999999996,0.0,0.0,,0.0,6.3,6.3,0.0,0.0,6.3,0.0,6.3,12.5,,73,103
