NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,Benoit Benjamin,C,7-0,250,1964-11-22,US,14,Creighton
5,Earl Boykins,PG,5-5,135,1976-06-02,US,1,Eastern Michigan
47,A.J. Bramlett,C,6-10,227,1977-01-10,US,R,Arizona
2,Mark Bryant,PF,6-9,245,1965-04-25,US,11,Seton Hall
32,Pete Chilcutt,PF,6-10,230,1968-09-14,US,8,UNC
18,Kornél Dávid,SF,6-9,235,1971-10-22,HU,1,
55,Andrew DeClercq,C,6-10,230,1973-02-01,US,4,Florida
35,Danny Ferry,PF,6-10,230,1966-10-17,US,9,Duke
45,Cedric Henderson,SF,6-7,215,1975-03-11,US,2,Memphis
14,Mark Hendrickson,PF,6-9,220,1974-06-23,US,3,Washington State
4,Shawn Kemp,C,6-10,230,1969-11-26,US,10,Trinity Valley CC
0,Lari Ketner,PF,6-9,277,1977-02-01,US,R,UMass
12,Brevin Knight,PG,5-10,173,1975-11-08,US,2,Stanford
21,Trajan Langdon,SG,6-3,197,1976-05-13,US,R,Duke
13,Donny Marshall,SF,6-7,230,1972-07-17,US,2,UConn
24,Andre Miller,PG,6-3,200,1976-03-19,US,R,Utah
30,Lamond Murray,SF,6-7,236,1973-04-20,US,5,California
1,Wesley Person,SG,6-6,195,1971-03-28,US,5,Auburn
10,Ryan Stack,PF,6-11,215,1975-07-24,US,1,South Carolina
3,Bob Sura,SG,6-5,200,1973-03-25,US,4,Florida State
