PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shaquille O'Neal,28,74,74,2924,10.0,17.5,0.5720000000000001,0.0,0.0,0.0,10.0,17.5,0.573,6.1,12.0,0.513,3.6,8.0,11.6,3.4,0.6,2.5,2.7,3.2,26.2
Kobe Bryant,22,68,68,2783,9.1,19.5,0.46399999999999997,0.8,2.6,0.305,8.3,16.9,0.489,6.1,7.2,0.853,1.3,3.8,5.2,4.4,1.5,0.6,2.8,2.9,25.1
Horace Grant,35,77,77,2390,4.0,8.6,0.462,0.0,0.0,0.0,4.0,8.5,0.465,2.0,2.5,0.775,3.3,4.9,8.2,1.8,0.8,0.9,0.7,2.7,9.9
Rick Fox,31,82,77,2291,4.5,10.2,0.444,1.9,4.7,0.39299999999999996,2.7,5.4,0.488,1.5,1.9,0.779,1.3,3.8,5.1,4.1,1.1,0.5,2.1,3.5,12.4
Brian Shaw,34,80,28,1833,3.2,8.1,0.39899999999999997,0.8,2.7,0.311,2.4,5.4,0.442,1.0,1.3,0.797,0.9,5.0,6.0,5.1,1.0,0.5,1.9,3.1,8.3
Robert Horry,30,79,1,1587,3.3,8.6,0.387,1.2,3.5,0.34600000000000003,2.1,5.1,0.415,1.3,1.9,0.711,2.1,4.6,6.7,2.9,1.2,1.2,1.8,4.8,9.2
Isaiah Rider,29,67,6,1206,6.0,14.1,0.426,1.0,2.7,0.37,5.0,11.3,0.439,2.1,2.5,0.855,1.3,3.3,4.7,3.3,0.8,0.2,2.9,3.1,15.1
Ron Harper,37,47,46,1139,4.0,8.6,0.469,0.6,2.3,0.264,3.4,6.3,0.5429999999999999,1.1,1.5,0.708,1.5,3.8,5.2,3.6,1.2,0.8,2.0,2.2,9.7
Mike Penberthy,26,53,0,851,3.9,9.4,0.414,2.3,5.9,0.396,1.6,3.5,0.446,1.2,1.3,0.903,0.4,2.2,2.7,3.0,0.9,0.1,1.4,2.4,11.3
Derek Fisher,26,20,20,709,3.9,9.5,0.41200000000000003,1.3,3.2,0.397,2.6,6.3,0.419,2.5,3.1,0.8059999999999999,0.3,2.7,3.0,4.4,2.0,0.1,1.5,2.5,11.6
Mark Madsen,25,70,3,641,3.1,6.3,0.48700000000000004,0.1,0.1,1.0,3.0,6.3,0.48200000000000004,1.5,2.1,0.703,4.2,4.4,8.5,1.3,0.4,0.4,1.5,6.2,7.7
Devean George,23,59,1,593,3.9,12.6,0.309,0.9,4.1,0.221,3.0,8.4,0.353,2.4,3.3,0.7090000000000001,2.1,4.6,6.7,1.2,0.9,0.9,2.1,5.3,11.0
Tyronn Lue,23,38,1,468,3.8,9.0,0.42700000000000005,0.8,2.6,0.324,3.0,6.4,0.47,1.5,1.8,0.792,0.4,2.1,2.5,3.5,1.5,0.0,2.1,4.2,10.0
Greg Foster,32,62,8,451,4.5,10.6,0.42100000000000004,0.2,0.7,0.33299999999999996,4.2,9.9,0.42700000000000005,0.8,1.1,0.7140000000000001,2.3,6.6,8.9,2.6,0.7,1.0,2.0,6.1,10.0
Stanislav Medvedenko,21,7,0,39,11.1,23.1,0.48,0.9,0.9,1.0,10.2,22.2,0.45799999999999996,6.5,11.1,0.583,0.9,7.4,8.3,1.8,0.9,0.9,2.8,8.3,29.5
