SEASON,TEAM ID,TEAM,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
2002,12,IND,Jermaine O'Neal,23.0,72.0,2707.0,0.48,0.48,0.07,0.48,0.69,0.52,0.36,0.01,108.0,104.0,20.0,101.0,91.0,100.0,124.0,7.0,5.8,2.9
2002,12,IND,Reggie Miller,36.0,79.0,2889.0,0.45,0.5,0.41,0.55,0.91,0.62,0.36,0.48,102.0,107.0,115.0,116.0,121.0,119.0,121.0,267.0,136.8,205.1
2002,12,IND,Jalen Rose,29.0,53.0,1937.0,0.44,0.46,0.36,0.47,0.84,0.52,0.21,0.17,100.0,99.0,101.0,99.0,111.0,99.0,73.0,92.0,-5.2,-9.5
2002,12,IND,Jamaal Tinsley,23.0,80.0,2442.0,0.38,0.42,0.24,0.41,0.7,0.45,0.24,0.23,85.0,91.0,68.0,85.0,94.0,86.0,83.0,127.0,-105.2,-125.0
2002,12,IND,Jonathan Bender,21.0,78.0,1647.0,0.43,0.46,0.36,0.48,0.77,0.54,0.39,0.27,97.0,98.0,102.0,100.0,103.0,103.0,134.0,150.0,2.0,19.5
2002,12,IND,Al Harrington,21.0,44.0,1313.0,0.48,0.48,0.33,0.48,0.8,0.53,0.3,0.01,107.0,102.0,94.0,100.0,106.0,101.0,101.0,3.0,-0.9,6.4
2002,12,IND,Austin Croshere,26.0,76.0,1286.0,0.41,0.45,0.34,0.47,0.85,0.52,0.26,0.32,93.0,96.0,96.0,98.0,113.0,100.0,87.0,178.0,-8.5,-2.4
2002,12,IND,Jeff Foster,25.0,82.0,1786.0,0.45,0.46,0.13,0.45,0.61,0.49,0.46,0.04,101.0,99.0,38.0,95.0,81.0,95.0,158.0,21.0,-20.0,-26.3
2002,12,IND,Brad Miller,25.0,28.0,872.0,0.56,0.56,0.33,0.56,0.82,0.63,0.46,0.01,126.0,121.0,94.0,118.0,109.0,120.0,158.0,6.0,48.9,72.1
2002,12,IND,Metta World Peace,22.0,28.0,819.0,0.41,0.48,0.22,0.44,0.73,0.48,0.26,0.28,92.0,104.0,61.0,92.0,97.0,92.0,90.0,153.0,-21.0,-24.9
2002,12,IND,Travis Best,29.0,44.0,954.0,0.44,0.45,0.38,0.46,0.88,0.52,0.25,0.13,99.0,96.0,108.0,97.0,117.0,99.0,84.0,71.0,-6.9,-2.5
2002,12,IND,Kevin Ollie,29.0,29.0,577.0,0.4,0.4,,0.4,0.8,0.55,0.97,0.0,90.0,86.0,,84.0,107.0,106.0,331.0,,-15.4,9.5
2002,12,IND,Ron Mercer,25.0,13.0,213.0,0.37,0.39,0.2,0.38,1.0,0.43,0.16,0.08,84.0,83.0,57.0,80.0,133.0,83.0,56.0,41.0,-12.9,-12.8
2002,12,IND,Carlos Rogers,30.0,22.0,168.0,0.56,0.62,0.17,0.57,0.53,0.57,0.44,0.14,125.0,134.0,47.0,119.0,70.0,110.0,151.0,77.0,8.0,5.6
2002,12,IND,Primoz Brezec,22.0,22.0,160.0,0.48,0.48,,0.48,0.6,0.54,0.86,0.0,108.0,104.0,,101.0,80.0,103.0,294.0,,0.3,1.4
2002,12,IND,Bruno Å undov,21.0,22.0,88.0,0.4,0.41,0.0,0.4,0.0,0.39,0.05,0.02,90.0,88.0,,84.0,,75.0,17.0,14.0,-6.2,-10.5
2002,12,IND,Jamison Brewer,21.0,13.0,43.0,0.4,0.5,0.0,0.4,,0.4,0.0,0.2,90.0,107.0,,84.0,,77.0,,110.0,-0.8,-1.2
2002,12,IND,Norm Richardson,22.0,3.0,4.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,-2.9,-3.1
2002,12,IND,Team,,,,0.44,0.47,0.35,0.48,0.75,0.53,0.34,0.2,100.0,101.0,98.0,100.0,100.0,101.0,115.0,109.0,11.4,75.5
2002,12,IND,League Average,,,,0.44,0.46,0.35,0.48,0.75,0.52,0.29,0.18,,,,,,,,,,
