SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002,18,MIN,Chauncey Billups,25,3,3,44.7,7.7,17.0,0.45,2.0,5.0,0.4,5.7,12.0,0.47,0.51,4.7,6.7,0.7,0.3,4.7,5.0,5.7,1.0,0.3,3.0,4.7,22.0
2002,18,MIN,Wally Szczerbiak,24,3,3,43.7,7.0,14.7,0.48,0.7,3.0,0.22,6.3,11.7,0.54,0.5,5.3,6.0,0.89,3.0,4.0,7.0,2.0,0.7,0.0,2.7,2.7,20.0
2002,18,MIN,Kevin Garnett,25,3,3,43.3,8.0,18.7,0.43,0.3,0.7,0.5,7.7,18.0,0.43,0.44,7.7,10.7,0.72,5.3,13.3,18.7,5.0,1.7,1.7,4.0,3.7,24.0
2002,18,MIN,Rasho NesteroviA,25,3,3,30.7,5.0,10.3,0.48,0.0,0.0,,5.0,10.3,0.48,0.48,1.3,3.0,0.44,2.0,4.7,6.7,1.0,0.3,0.0,1.3,3.3,11.3
2002,18,MIN,Anthony Peeler,32,3,0,22.3,3.0,6.7,0.45,1.7,3.0,0.56,1.3,3.7,0.36,0.57,1.3,2.0,0.67,0.3,4.0,4.3,0.7,1.3,0.0,2.0,1.7,9.0
2002,18,MIN,Gary Trent,27,3,0,16.0,2.7,5.3,0.5,0.0,0.0,,2.7,5.3,0.5,0.5,1.0,2.0,0.5,1.7,1.3,3.0,0.3,0.0,0.0,1.0,2.7,6.3
2002,18,MIN,Joe Smith,26,3,1,14.3,1.0,2.3,0.43,0.0,0.0,,1.0,2.3,0.43,0.43,2.3,2.7,0.88,1.3,2.3,3.7,0.0,0.0,0.3,0.3,2.7,4.3
2002,18,MIN,Sam Mitchell,38,3,2,11.3,1.0,3.0,0.33,0.0,0.0,,1.0,3.0,0.33,0.33,0.7,0.7,1.0,0.0,0.7,0.7,1.0,0.3,0.3,0.0,1.7,2.7
2002,18,MIN,Felipe LApez,27,3,0,10.0,0.3,1.3,0.25,0.3,0.7,0.5,0.0,0.7,0.0,0.38,0.3,0.7,0.5,0.3,0.0,0.3,0.3,0.3,0.0,0.3,2.0,1.3
2002,18,MIN,Robert Pack,32,3,0,3.3,0.3,1.7,0.2,0.0,0.3,0.0,0.3,1.3,0.25,0.2,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,1.0
2002,18,MIN,Marc Jackson,27,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
