PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Jermaine O'Neal,24.0,77.0,2864.0,0.484,0.48700000000000004,0.33299999999999996,0.48700000000000004,0.731,0.539,0.405,0.017,109.0,105.0,95.0,103.0,97.0,104.0,134.0,9.0,32.8,58.1
Metta World Peace,23.0,69.0,2317.0,0.428,0.45799999999999996,0.337,0.47,0.736,0.529,0.439,0.249,97.0,99.0,96.0,99.0,97.0,102.0,145.0,137.0,-6.8,19.7
Al Harrington,22.0,82.0,2467.0,0.434,0.442,0.28300000000000003,0.441,0.77,0.493,0.306,0.051,98.0,96.0,81.0,93.0,102.0,95.0,101.0,28.0,-58.2,-53.9
Brad Miller,26.0,73.0,2270.0,0.493,0.498,0.312,0.49700000000000005,0.818,0.579,0.535,0.024,112.0,108.0,89.0,105.0,108.0,112.0,177.0,13.0,30.8,99.0
Reggie Miller,37.0,70.0,2117.0,0.441,0.527,0.355,0.53,0.9,0.597,0.361,0.499,100.0,114.0,102.0,112.0,119.0,115.0,119.0,275.0,71.3,115.2
Jamaal Tinsley,24.0,73.0,2237.0,0.396,0.446,0.27699999999999997,0.43700000000000006,0.7140000000000001,0.46799999999999997,0.201,0.299,89.0,96.0,79.0,92.0,94.0,90.0,67.0,164.0,-41.0,-62.7
Ron Mercer,26.0,72.0,1671.0,0.409,0.415,0.188,0.41100000000000003,0.802,0.439,0.136,0.027000000000000003,92.0,90.0,54.0,87.0,106.0,85.0,45.0,15.0,-74.8,-101.1
Erick Strickland,29.0,71.0,1275.0,0.429,0.45899999999999996,0.38799999999999996,0.511,0.805,0.547,0.22899999999999998,0.42100000000000004,97.0,99.0,111.0,108.0,106.0,105.0,76.0,232.0,27.8,23.5
Jonathan Bender,22.0,46.0,819.0,0.441,0.46299999999999997,0.358,0.478,0.7140000000000001,0.521,0.331,0.209,100.0,100.0,103.0,101.0,94.0,100.0,109.0,115.0,2.3,0.8
Austin Croshere,27.0,49.0,633.0,0.41100000000000003,0.42100000000000004,0.391,0.47600000000000003,0.815,0.53,0.311,0.33,93.0,91.0,112.0,100.0,108.0,102.0,103.0,182.0,0.9,5.2
Jeff Foster,26.0,77.0,802.0,0.36,0.364,0.0,0.36,0.54,0.39399999999999996,0.354,0.011000000000000001,81.0,79.0,,76.0,71.0,76.0,117.0,6.0,-40.7,-51.7
Tim Hardaway,36.0,10.0,127.0,0.36700000000000005,0.389,0.355,0.48,0.5,0.483,0.08199999999999999,0.633,83.0,84.0,102.0,101.0,66.0,93.0,27.0,348.0,0.6,-3.7
Jamison Brewer,23.0,22.0,111.0,0.395,0.405,0.0,0.395,0.6,0.449,0.526,0.026000000000000002,89.0,88.0,,83.0,79.0,86.0,174.0,14.0,-6.0,-6.6
Fred Jones,23.0,19.0,115.0,0.375,0.41200000000000003,0.28600000000000003,0.41700000000000004,0.75,0.446,0.16699999999999998,0.292,85.0,89.0,82.0,88.0,99.0,86.0,55.0,160.0,-2.7,-3.8
Jamison Brewer,22.0,10.0,80.0,0.529,0.6,0.0,0.529,0.444,0.525,0.529,0.11800000000000001,120.0,130.0,,112.0,59.0,101.0,175.0,65.0,1.9,0.2
Team,,,,0.441,0.461,0.33899999999999997,0.469,0.7659999999999999,0.522,0.344,0.16899999999999998,100.0,100.0,97.0,99.0,101.0,100.0,114.0,93.0,-61.8,38.2
League Average,,,,0.442,0.46299999999999997,0.349,0.474,0.758,0.519,0.302,0.182,,,,,,,,,,
