PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Tracy McGrady,25,7,301,27.2,0.556,0.26899999999999996,0.298,5.0,15.8,10.5,33.2,2.0,2.7,11.8,34.7,,0.9,0.1,1.0,0.165,,8.4,1.2,9.7,0.9
David Wesley,34,7,280,7.8,0.47700000000000004,0.389,0.24100000000000002,1.8,7.2,4.6,12.4,1.8,0.3,13.1,11.7,,0.1,-0.1,0.0,0.003,,-1.3,0.2,-1.1,0.1
Yao Ming,24,7,220,29.0,0.693,0.0,0.655,13.0,16.7,14.9,4.7,0.5,7.0,14.9,27.5,,0.9,0.1,1.0,0.222,,4.5,1.1,5.6,0.4
Jon Barry,35,7,183,12.5,0.5820000000000001,0.479,0.16699999999999998,0.7,18.2,9.6,8.0,1.5,0.0,10.4,15.0,,0.2,0.0,0.3,0.07,,-0.2,0.2,0.1,0.1
Bob Sura,31,7,182,11.3,0.536,0.28300000000000003,0.261,4.1,13.7,9.0,12.4,2.1,0.0,17.7,16.3,,0.1,0.0,0.1,0.025,,-0.7,-0.3,-1.0,0.0
Mike James,29,7,171,16.5,0.5579999999999999,0.145,0.387,1.5,7.6,4.6,16.7,1.9,1.0,12.1,23.0,,0.3,0.0,0.3,0.078,,0.4,0.2,0.6,0.1
Ryan Bowen,29,7,125,2.6,0.342,0.0,0.12,7.0,6.6,6.8,7.2,2.6,0.0,18.6,12.3,,-0.2,0.0,-0.2,-0.075,,-6.6,0.3,-6.3,-0.1
Scott Padgett,28,7,109,9.3,0.502,0.5,0.083,10.3,10.9,10.6,5.7,1.5,1.5,10.8,12.2,,0.1,0.0,0.1,0.05,,-1.1,-0.3,-1.4,0.0
Dikembe Mutombo,38,7,101,14.0,0.6579999999999999,0.0,1.182,13.6,28.2,21.1,3.0,1.1,5.6,29.5,11.2,,0.1,0.1,0.2,0.099,,-0.9,2.3,1.4,0.1
Moochie Norris,31,2,7,-5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,,0.0,0.0,0.0,-0.20800000000000002,,-9.1,-4.5,-13.6,0.0
Clarence Weatherspoon,34,1,1,-17.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.038,,-159.0,22.3,-136.6,0.0
