PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Jason Kidd,31,4,4,182,7.5,19.3,0.38799999999999996,3.2,8.7,0.36700000000000005,4.3,10.7,0.405,1.7,3.2,0.545,2.9,7.5,10.4,8.4,2.9,0.0,2.6,4.6,19.9,,104.0,111
Vince Carter,28,4,4,179,10.3,28.2,0.365,1.8,5.6,0.316,8.5,22.6,0.377,9.1,10.6,0.861,2.6,7.3,10.0,6.7,2.6,0.0,4.4,5.0,31.4,,99.0,111
Nenad Krstić,21,4,4,154,9.2,16.4,0.563,0.0,0.0,,9.2,16.4,0.563,6.5,8.2,0.792,3.4,6.8,10.2,2.4,0.3,0.7,2.0,6.8,24.9,,123.0,115
Richard Jefferson,24,4,1,140,7.5,18.8,0.4,0.8,3.8,0.2,6.8,15.0,0.45,7.9,11.6,0.677,3.0,5.3,8.3,3.4,1.1,0.0,3.0,5.3,23.6,,101.0,115
Jason Collins,26,4,4,128,1.6,7.0,0.235,0.0,0.0,,1.6,7.0,0.235,1.2,3.3,0.375,3.7,7.0,10.7,0.4,0.8,0.0,2.1,7.8,4.5,,65.0,115
Travis Best,32,4,0,82,5.8,14.1,0.409,0.6,5.8,0.111,5.1,8.3,0.615,5.1,5.8,0.889,1.3,2.6,3.8,5.8,0.6,0.0,1.9,5.8,17.3,,110.0,118
Clifford Robinson,38,4,0,71,8.1,20.0,0.40700000000000003,3.0,10.4,0.28600000000000003,5.2,9.6,0.5379999999999999,1.5,1.5,1.0,1.5,5.9,7.4,3.7,2.2,0.7,0.0,14.8,20.7,,113.0,111
Brian Scalabrine,26,4,3,61,1.7,9.5,0.182,0.9,3.4,0.25,0.9,6.0,0.14300000000000002,3.4,3.4,1.0,1.7,4.3,6.0,1.7,0.9,1.7,3.4,5.2,7.7,,69.0,114
Rodney Buford,27,3,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,121
Jabari Smith,27,3,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,,,118
Zoran Planinić,22,3,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,121
Billy Thomas,29,2,0,2,0.0,26.3,0.0,0.0,0.0,,0.0,26.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,121
