SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
2006,8,DEN,Carmelo Anthony,21,80,80,36.8,9.5,19.7,0.48,0.5,1.9,0.24,9.0,17.8,0.51,0.49,7.2,8.9,0.81,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9,26.5
2006,8,DEN,Andre Miller,29,82,82,35.8,4.9,10.6,0.46,0.1,0.3,0.18,4.9,10.3,0.47,0.47,3.8,5.2,0.74,1.1,3.2,4.3,8.2,1.3,0.2,3.1,2.6,13.7
2006,8,DEN,Marcus Camby,31,56,54,33.2,5.4,11.6,0.46,0.0,0.2,0.09,5.4,11.4,0.47,0.47,2.0,2.8,0.71,2.4,9.6,11.9,2.1,1.4,3.3,1.6,2.8,12.8
2006,8,DEN,Ruben Patterson,30,26,20,28.3,5.3,9.8,0.54,0.0,0.2,0.17,5.3,9.6,0.55,0.55,2.5,4.3,0.58,1.7,1.7,3.5,2.6,1.3,0.3,2.6,2.7,13.2
2006,8,DEN,Kenyon Martin,28,56,49,27.6,5.3,10.7,0.5,0.1,0.4,0.23,5.2,10.3,0.5,0.5,2.2,3.0,0.71,1.7,4.6,6.3,1.4,0.8,0.9,1.3,3.1,12.9
2006,8,DEN,Earl Boykins,29,60,0,25.7,4.5,11.0,0.41,1.0,3.0,0.35,3.5,8.0,0.43,0.46,2.5,2.9,0.87,0.4,1.0,1.4,3.8,0.8,0.1,1.4,1.2,12.6
2006,8,DEN,Greg Buckner,29,73,27,24.1,2.5,5.7,0.43,1.2,3.3,0.35,1.3,2.4,0.55,0.54,0.6,0.8,0.78,0.4,2.4,2.9,1.7,1.2,0.3,0.7,2.5,6.7
2006,8,DEN,Reggie Evans,25,26,2,23.3,1.7,3.7,0.45,0.0,0.0,,1.7,3.7,0.45,0.45,1.9,3.7,0.5,2.2,6.5,8.7,0.6,0.6,0.2,1.7,2.7,5.2
2006,8,DEN,Eduardo NAjera,29,64,3,22.6,2.0,4.7,0.42,0.1,0.2,0.33,1.9,4.5,0.43,0.43,1.4,1.8,0.78,2.0,3.1,5.1,0.8,0.8,0.5,0.8,2.6,5.4
2006,8,DEN,Francisco Elson,29,72,54,21.9,2.1,3.9,0.53,0.0,0.1,0.2,2.1,3.9,0.54,0.53,0.7,1.0,0.66,1.4,3.3,4.7,0.7,0.8,0.6,0.9,2.9,4.9
2006,8,DEN,Earl Watson,26,46,10,21.2,2.6,6.1,0.43,1.5,3.7,0.4,1.2,2.4,0.48,0.55,0.8,1.3,0.63,0.4,1.5,1.9,3.5,0.8,0.2,1.6,2.1,7.5
2006,8,DEN,Voshon Lenard,32,12,6,19.8,3.5,8.6,0.41,0.8,2.9,0.29,2.7,5.7,0.47,0.46,0.4,1.1,0.38,0.2,2.2,2.3,1.5,0.7,0.2,0.9,1.8,8.3
2006,8,DEN,DerMarr Johnson,25,58,21,15.9,2.3,5.3,0.43,1.0,2.8,0.35,1.3,2.5,0.52,0.52,0.6,0.7,0.81,0.3,1.3,1.7,0.9,0.4,0.4,0.8,1.5,6.1
2006,8,DEN,Howard Eisley,33,19,0,14.8,1.6,4.5,0.35,0.6,2.0,0.32,0.9,2.5,0.38,0.42,1.1,1.3,0.83,0.1,0.9,1.0,2.3,0.4,0.1,0.9,1.2,4.8
2006,8,DEN,Linas Kleiza,21,61,2,8.5,1.3,2.8,0.44,0.0,0.2,0.15,1.2,2.6,0.47,0.45,0.9,1.3,0.7,0.6,1.3,1.9,0.2,0.2,0.2,0.3,1.4,3.5
2006,8,DEN,NenA HilArio,23,1,0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2006,8,DEN,Bryon Russell,35,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2006,8,DEN,Julius Hodge,22,14,0,2.4,0.4,0.9,0.38,0.0,0.0,,0.4,0.9,0.38,0.38,0.2,0.6,0.38,0.4,0.1,0.5,0.4,0.1,0.0,0.6,0.5,0.9
2006,8,DEN,Charles Smith,30,1,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
